gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.178597,0.345634,-0.921216,-0.041775,0.262144,-0.964124,0.068411,0.30388899999999996,-0.94267
0.18124,0.343429,-0.921525,-0.10569,0.267561,-0.957727,0.037775,0.30549499999999996,-0.9396260000000001
0.175103,0.342396,-0.923095,-0.042608,0.295937,-0.954257,0.0662475,0.3191665,-0.9386760000000001
0.188474,0.281303,-0.940929,-0.035166,0.254288,-0.966489,0.076654,0.2677955,-0.953709
0.189096,0.267529,-0.944813,-0.015279,0.185263,-0.98257,0.0869085,0.22639600000000001,-0.9636915
0.17959,0.253583,-0.950496,-0.030827,0.127345,-0.991379,0.0743815,0.19046400000000002,-0.9709375
0.202051,0.238962,-0.949775,0.025851,0.156812,-0.98729,0.113951,0.197887,-0.9685325
0.176398,0.20838,-0.962009,0.021329,0.147779,-0.98879,0.09886349999999999,0.1780795,-0.9753995
0.1727,0.229223,-0.957931,0.007533,0.095318,-0.995418,0.0901165,0.1622705,-0.9766745
0.158101,0.222327,-0.962068,0.018307,0.086932,-0.996046,0.08820399999999999,0.1546295,-0.9790570000000001
0.186731,0.201878,-0.961445,0.021769,0.17355,-0.984584,0.10425000000000001,0.187714,-0.9730145
0.180911,0.21449,-0.959826,0.011523,0.125189,-0.992066,0.096217,0.16983949999999998,-0.975946
0.18365,0.198926,-0.962653,-0.005916,0.120134,-0.99274,0.088867,0.15953,-0.9776965
0.160536,0.221571,-0.961839,-0.012227,0.116277,-0.993142,0.07415450000000001,0.168924,-0.9774905
0.14377,0.244884,-0.958834,-0.011287,0.183645,-0.982928,0.06624150000000001,0.2142645,-0.970881
0.19751,0.239528,-0.950587,-0.023121,0.155957,-0.987493,0.0871945,0.1977425,-0.9690399999999999
0.184138,0.271982,-0.94452,-0.008439,0.194522,-0.980862,0.0878495,0.23325200000000001,-0.962691
0.133357,0.231864,-0.963564,-0.023617,0.111542,-0.993479,0.05487,0.171703,-0.9785215
0.128316,0.254631,-0.958487,-0.022906,0.109247,-0.993751,0.05270500000000001,0.181939,-0.976119
0.145115,0.251533,-0.956908,-0.006115,0.130596,-0.991417,0.06949999999999999,0.1910645,-0.9741625
0.147753,0.275796,-0.949792,-0.011497,0.159128,-0.987191,0.068128,0.217462,-0.9684915000000001
0.157925,0.245859,-0.956354,0.029556,0.143667,-0.989185,0.0937405,0.194763,-0.9727695000000001
0.17458,0.243396,-0.954086,0.026465,0.146103,-0.988915,0.1005225,0.19474950000000002,-0.9715005
0.150016,0.254069,-0.955481,-0.012275,0.159974,-0.987045,0.0688705,0.2070215,-0.971263
0.155059,0.254953,-0.95444,0.031977,0.136304,-0.990151,0.093518,0.19562849999999998,-0.9722955
0.142977,0.264824,-0.953638,-0.003652,0.147142,-0.989109,0.0696625,0.205983,-0.9713735
0.1699,0.242513,-0.955155,0.038739,0.196367,-0.979765,0.1043195,0.21944000000000002,-0.96746
0.151124,0.228573,-0.961725,-0.014578,0.181714,-0.983243,0.068273,0.20514349999999998,-0.972484
0.168232,0.198006,-0.965656,0.021205,0.16016,-0.986863,0.0947185,0.179083,-0.9762595000000001
0.14987,0.172406,-0.973558,-0.009097,0.168443,-0.985669,0.0703865,0.1704245,-0.9796135
0.175535,0.177843,-0.968277,-0.005203,0.150656,-0.988572,0.08516599999999999,0.1642495,-0.9784245
0.168349,0.132221,-0.97682,-0.043357,0.143451,-0.988707,0.062495999999999996,0.13783600000000001,-0.9827635
0.173031,0.110515,-0.978696,0.068241,0.129467,-0.989233,0.120636,0.119991,-0.9839645
0.18052,0.172784,-0.968276,0.063697,0.164904,-0.984251,0.12210850000000001,0.168844,-0.9762635
0.141155,0.209241,-0.967623,0.042611,0.164602,-0.985439,0.091883,0.18692150000000002,-0.976531
0.143046,0.152387,-0.977914,0.017833,0.117765,-0.992881,0.0804395,0.135076,-0.9853974999999999
0.121505,0.178936,-0.976329,0.044476,0.152997,-0.987225,0.0829905,0.16596650000000002,-0.981777
0.101604,0.191064,-0.976305,-0.030419,0.176598,-0.983813,0.0355925,0.18383100000000002,-0.980059
0.095793,0.210567,-0.972875,-0.024488,0.185749,-0.982292,0.035652500000000004,0.198158,-0.9775835
0.102403,0.178056,-0.978677,-0.022909,0.167736,-0.985566,0.039747,0.172896,-0.9821215000000001
0.110655,0.225851,-0.967857,0.00208,0.206171,-0.978514,0.0563675,0.216011,-0.9731855
0.087507,0.240582,-0.966676,-0.030533,0.202696,-0.978766,0.028487,0.22163899999999997,-0.972721
0.109382,0.243556,-0.963699,-0.009755,0.206608,-0.978375,0.0498135,0.225082,-0.9710369999999999
