gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
-0.057485,0.19874,-0.978365,-0.185859,0.187044,-0.964609,-0.121672,0.192892,-0.971487
-0.057833,0.200165,-0.978054,-0.18697,0.190284,-0.96376,-0.1224015,0.19522450000000002,-0.970907
-0.060586,0.201622,-0.977588,-0.185052,0.19544,-0.963099,-0.122819,0.198531,-0.9703435
-0.047659,0.206483,-0.977289,-0.186807,0.202917,-0.961212,-0.117233,0.2047,-0.9692505
-0.044686,0.193351,-0.980111,-0.193534,0.178434,-0.964731,-0.11911000000000001,0.18589250000000002,-0.972421
-0.022962,0.180563,-0.983295,-0.201146,0.155641,-0.967117,-0.112054,0.168102,-0.975206
-0.019439,0.185059,-0.982535,-0.152702,0.139153,-0.978427,-0.08607050000000001,0.162106,-0.980481
-0.020526,0.165879,-0.985932,-0.128509,0.137376,-0.982147,-0.0745175,0.1516275,-0.9840395
-0.048172,0.181744,-0.982165,-0.129274,0.162376,-0.978224,-0.088723,0.17206,-0.9801945
-0.042661,0.178179,-0.983073,-0.135153,0.12837,-0.982474,-0.088907,0.1532745,-0.9827735
-0.010939,0.188886,-0.981938,-0.136176,0.159934,-0.97769,-0.0735575,0.17441,-0.979814
-0.03753,0.18794,-0.981463,-0.19422,0.165093,-0.966966,-0.115875,0.1765165,-0.9742145
-0.073831,0.2066,-0.975636,-0.16958,0.116259,-0.978635,-0.1217055,0.1614295,-0.9771354999999999
-0.04834,0.183996,-0.981738,-0.137686,0.158399,-0.977728,-0.093013,0.1711975,-0.979733
-0.050145,0.206006,-0.977265,-0.13881,0.172643,-0.975154,-0.09447749999999999,0.1893245,-0.9762095
-0.046871,0.208793,-0.976836,-0.169475,0.171366,-0.970522,-0.10817299999999999,0.1900795,-0.973679
-0.03424,0.210847,-0.976919,-0.187565,0.209425,-0.959667,-0.1109025,0.210136,-0.9682930000000001
-0.032589,0.200376,-0.979177,-0.219548,0.202205,-0.954417,-0.1260685,0.20129049999999998,-0.9667969999999999
-0.016444,0.186455,-0.982326,-0.185639,0.200779,-0.961887,-0.1010415,0.193617,-0.9721065
-0.021919,0.192861,-0.980981,-0.197186,0.188578,-0.962058,-0.1095525,0.1907195,-0.9715195
-0.024162,0.1991,-0.979681,-0.194776,0.198102,-0.960634,-0.109469,0.198601,-0.9701575
-0.035121,0.194219,-0.980329,-0.219783,0.194263,-0.956011,-0.127452,0.194241,-0.96817
-0.042527,0.197447,-0.979391,-0.204503,0.198156,-0.958599,-0.123515,0.19780150000000002,-0.968995
-0.0591,0.214276,-0.974984,-0.197,0.167981,-0.965906,-0.12805,0.19112849999999998,-0.970445
-0.0683,0.225276,-0.971898,-0.225789,0.205266,-0.952305,-0.1470445,0.215271,-0.9621014999999999
-0.082015,0.213664,-0.973458,-0.221754,0.195441,-0.955316,-0.1518845,0.2045525,-0.9643870000000001
-0.061349,0.229247,-0.971433,-0.210007,0.201613,-0.956686,-0.135678,0.21543,-0.9640595000000001
-0.110963,0.206672,-0.972098,-0.170115,0.203884,-0.964102,-0.140539,0.20527800000000002,-0.9681
-0.060155,0.208942,-0.976076,-0.184272,0.17214,-0.967684,-0.1222135,0.190541,-0.9718800000000001
-0.056295,0.192238,-0.979732,-0.180087,0.155357,-0.971305,-0.11819099999999999,0.1737975,-0.9755185
-0.040004,0.171087,-0.984443,-0.158892,0.140851,-0.977197,-0.09944800000000001,0.155969,-0.98082
-0.062168,0.183286,-0.981092,-0.163954,0.132852,-0.977481,-0.113061,0.15806900000000002,-0.9792865
-0.060338,0.183543,-0.981158,-0.201203,0.146081,-0.968596,-0.1307705,0.16481200000000001,-0.974877
-0.059428,0.183368,-0.981246,-0.247141,0.152719,-0.956869,-0.1532845,0.1680435,-0.9690574999999999
-0.057754,0.180844,-0.981815,-0.24391,0.153206,-0.95762,-0.150832,0.167025,-0.9697175
-0.086742,0.183039,-0.979271,-0.241492,0.143619,-0.959716,-0.164117,0.163329,-0.9694935
-0.102224,0.180399,-0.978267,-0.23095,0.148571,-0.961556,-0.16658699999999999,0.164485,-0.9699115
-0.102297,0.187974,-0.976832,-0.247447,0.19048,-0.949993,-0.174872,0.189227,-0.9634125
-0.104789,0.193569,-0.975474,-0.218503,0.182721,-0.958577,-0.161646,0.188145,-0.9670255
-0.107467,0.185421,-0.976765,-0.223552,0.18015,-0.957899,-0.1655095,0.1827855,-0.967332
-0.072314,0.190744,-0.978973,-0.206014,0.173387,-0.963066,-0.139164,0.1820655,-0.9710194999999999
-0.051053,0.198357,-0.978799,-0.217203,0.184305,-0.958569,-0.134128,0.191331,-0.968684
-0.040306,0.17779,-0.983243,-0.241443,0.160167,-0.957106,-0.14087449999999999,0.1689785,-0.9701744999999999
