gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
-0.009099,0.232688,-0.972509,-0.050175,0.233686,-0.971017,-0.029636999999999997,0.233187,-0.9717629999999999
-0.006423,0.234249,-0.972155,-0.048643,0.232434,-0.971395,-0.027533,0.2333415,-0.971775
-0.001755,0.298406,-0.954437,-0.068671,0.299037,-0.951767,-0.035213,0.2987215,-0.953102
-0.005851,0.286419,-0.958086,-0.067899,0.294582,-0.953211,-0.036875,0.2905005,-0.9556485
-0.004348,0.290222,-0.956949,-0.090257,0.287312,-0.953575,-0.047302500000000004,0.288767,-0.9552620000000001
-0.008664,0.290021,-0.956981,-0.089644,0.283423,-0.954796,-0.049154,0.286722,-0.9558884999999999
0.016712,0.291363,-0.956466,-0.123995,0.314897,-0.940992,-0.053641499999999995,0.30313,-0.948729
-0.000471,0.267708,-0.9635,-0.133053,0.326793,-0.935683,-0.066762,0.2972505,-0.9495915
0.00059,0.26921,-0.963081,-0.130382,0.328481,-0.935468,-0.064896,0.2988455,-0.9492745
0.013405,0.275991,-0.961067,-0.129379,0.33132,-0.934606,-0.057987,0.30365549999999997,-0.9478365
0.033931,0.270557,-0.962106,-0.110302,0.338373,-0.934525,-0.0381855,0.304465,-0.9483155000000001
0.030618,0.271718,-0.96189,-0.107214,0.338769,-0.934741,-0.038298,0.3052435,-0.9483155000000001
0.029474,0.27204,-0.961835,-0.107228,0.339898,-0.93433,-0.038877,0.305969,-0.9480824999999999
0.003944,0.287195,-0.957864,-0.081614,0.264876,-0.960822,-0.038835,0.2760355,-0.9593430000000001
0.001742,0.288464,-0.957489,-0.085441,0.265032,-0.960447,-0.041849500000000005,0.276748,-0.958968
0.002672,0.285419,-0.958399,-0.086431,0.263311,-0.960831,-0.0418795,0.27436499999999997,-0.959615
0.004763,0.285057,-0.958499,-0.085211,0.262689,-0.961111,-0.040223999999999996,0.27387300000000003,-0.959805
0.003105,0.289378,-0.95721,-0.086204,0.26234,-0.961117,-0.0415495,0.275859,-0.9591635000000001
0.005405,0.287654,-0.957719,-0.087268,0.261492,-0.961252,-0.040931499999999996,0.274573,-0.9594855
0.009215,0.281517,-0.959512,-0.084224,0.262385,-0.961281,-0.037504499999999996,0.271951,-0.9603965000000001
0.010077,0.282637,-0.959174,-0.085851,0.259064,-0.962037,-0.037887,0.2708505,-0.9606055
0.008149,0.286428,-0.958067,-0.084968,0.262965,-0.961057,-0.0384095,0.2746965,-0.959562
0.043707,0.268686,-0.962236,-0.092496,0.257881,-0.961739,-0.024394499999999996,0.2632835,-0.9619875
0.046332,0.269045,-0.962012,-0.091792,0.26166,-0.960785,-0.02273,0.2653525,-0.9613985
0.046456,0.271334,-0.961363,-0.088168,0.26743,-0.959535,-0.020856,0.269382,-0.960449
0.024039,0.275981,-0.960862,-0.089539,0.269515,-0.958824,-0.032749999999999994,0.272748,-0.959843
0.024283,0.275621,-0.96096,-0.093423,0.269428,-0.958478,-0.034570000000000004,0.2725245,-0.959719
0.023166,0.279535,-0.959856,-0.091193,0.271246,-0.95818,-0.0340135,0.2753905,-0.959018
-0.010153,0.289218,-0.957209,-0.085969,0.295484,-0.951472,-0.048061,0.292351,-0.9543405
-0.00885,0.289647,-0.957093,-0.087008,0.296049,-0.951202,-0.047929,0.292848,-0.9541474999999999
-0.006775,0.290181,-0.956948,-0.084847,0.295615,-0.951532,-0.045811000000000004,0.292898,-0.95424
-0.007124,0.290055,-0.956983,-0.08541,0.295177,-0.951617,-0.046267,0.292616,-0.9543
-0.008066,0.291065,-0.956669,-0.08502,0.296611,-0.951206,-0.046543,0.29383800000000004,-0.9539375
-0.007843,0.291239,-0.956618,-0.084381,0.295683,-0.951552,-0.046112,0.29346099999999997,-0.954085
-0.010912,0.301408,-0.953433,-0.08334,0.296472,-0.951398,-0.047126,0.29894,-0.9524155
-0.009925,0.300857,-0.953618,-0.084783,0.297997,-0.950794,-0.047354,0.299427,-0.952206
-0.01044,0.305017,-0.95229,-0.084025,0.298924,-0.95057,-0.047232500000000004,0.30197050000000003,-0.95143
-0.007545,0.303969,-0.952652,-0.085027,0.298444,-0.950632,-0.046286,0.3012065,-0.9516420000000001
-0.006267,0.300423,-0.953786,-0.085586,0.298568,-0.950543,-0.045926499999999995,0.2994955,-0.9521645000000001
-0.007947,0.307534,-0.951504,-0.08598,0.303557,-0.948926,-0.0469635,0.3055455,-0.950215
-0.007516,0.302158,-0.953228,-0.086014,0.302506,-0.949258,-0.046764999999999994,0.302332,-0.9512430000000001
-0.005756,0.306071,-0.951991,-0.087482,0.303492,-0.94881,-0.046619,0.3047815,-0.9504005
-0.00503,0.304777,-0.952411,-0.086956,0.303312,-0.948915,-0.045993000000000006,0.30404450000000005,-0.950663
0.003936,0.29569,-0.955276,-0.092155,0.296659,-0.950527,-0.0441095,0.2961745,-0.9529015000000001
0.001268,0.293356,-0.956002,-0.090849,0.294713,-0.951257,-0.0447905,0.2940345,-0.9536295
0.001383,0.29503,-0.955487,-0.090981,0.293201,-0.951712,-0.044799000000000005,0.2941155,-0.9535994999999999
0.001018,0.299062,-0.954233,-0.089655,0.294086,-0.951565,-0.0443185,0.296574,-0.9528989999999999
0.004433,0.29964,-0.954042,-0.089458,0.29287,-0.951958,-0.042512499999999995,0.29625500000000005,-0.953
0.007526,0.299393,-0.9541,-0.092219,0.290005,-0.952572,-0.042346499999999995,0.29469900000000004,-0.953336
0.005937,0.298869,-0.954276,-0.091383,0.290726,-0.952433,-0.042723000000000004,0.2947975,-0.9533545
0.005818,0.298297,-0.954455,-0.090451,0.291474,-0.952293,-0.0423165,0.2948855,-0.9533739999999999
-8.5e-05,0.298337,-0.954461,-0.092219,0.289842,-0.952621,-0.046152,0.2940895,-0.953541
-0.0002,0.298187,-0.954507,-0.091697,0.288033,-0.95322,-0.0459485,0.29311,-0.9538635
-0.000243,0.297687,-0.954664,-0.091544,0.288866,-0.952983,-0.0458935,0.2932765,-0.9538234999999999
0.001049,0.29946,-0.954108,-0.091963,0.288828,-0.952954,-0.045457000000000004,0.29414399999999996,-0.9535309999999999
0.004963,0.300553,-0.953752,-0.091918,0.290289,-0.952514,-0.0434775,0.29542100000000004,-0.953133
