gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.01881,0.320565,-0.94704,0.005531,0.331674,-0.943378,0.0121705,0.3261195,-0.945209
0.014796,0.314214,-0.949237,-0.022571,0.275145,-0.961138,-0.0038875000000000003,0.2946795,-0.9551875000000001
0.042741,0.286936,-0.956996,0.018551,0.30535,-0.952059,0.030646,0.29614300000000005,-0.9545275
0.070016,0.301588,-0.950864,0.000285,0.203268,-0.979123,0.035150499999999994,0.252428,-0.9649935000000001
0.060255,0.257521,-0.964392,-0.002087,0.253402,-0.967359,0.029084000000000002,0.2554615,-0.9658755
0.036448,0.253261,-0.966711,-0.046957,0.265767,-0.962893,-0.005254499999999999,0.259514,-0.9648019999999999
0.025256,0.285463,-0.958057,0.001712,0.235754,-0.971811,0.013484,0.2606085,-0.964934
0.103947,0.292361,-0.950642,0.021817,0.261412,-0.964981,0.062882,0.2768865,-0.9578115
0.127943,0.325379,-0.936888,0.033478,0.246211,-0.968638,0.0807105,0.285795,-0.952763
0.069478,0.298596,-0.951847,0.024503,0.265064,-0.963919,0.0469905,0.28183,-0.957883
0.109337,0.30489,-0.946091,-0.094101,0.285469,-0.953757,0.007618,0.2951795,-0.949924
0.034923,0.291334,-0.955984,-0.057698,0.189409,-0.980202,-0.011387499999999998,0.2403715,-0.968093
0.036576,0.289838,-0.956376,-0.057109,0.179455,-0.982107,-0.010266500000000001,0.23464649999999998,-0.9692415
0.025389,0.298701,-0.954009,-0.019998,0.208927,-0.977727,0.0026955,0.253814,-0.965868
0.037803,0.286699,-0.957275,-0.032911,0.169514,-0.984978,0.0024460000000000003,0.2281065,-0.9711265
0.006923,0.295842,-0.955212,-0.0599,0.260081,-0.963727,-0.0264885,0.2779615,-0.9594695
-0.00691,0.300392,-0.953791,-0.070142,0.264112,-0.961938,-0.038526,0.282252,-0.9578645
-0.000349,0.30435,-0.95256,-0.096633,0.2473,-0.964108,-0.048491,0.275825,-0.958334
-0.018116,0.326427,-0.945049,-0.113489,0.268909,-0.956456,-0.0658025,0.29766800000000004,-0.9507525
0.030847,0.332655,-0.942544,0.027481,0.244791,-0.969186,0.029164,0.288723,-0.955865
0.037414,0.295315,-0.954667,-0.007339,0.272165,-0.962223,0.015037500000000002,0.28374,-0.958445
0.053354,0.299084,-0.952734,-0.002356,0.32017,-0.947357,0.025499,0.309627,-0.9500455
0.054327,0.304937,-0.950822,0.029757,0.337226,-0.940953,0.042041999999999996,0.3210815,-0.9458875
0.028922,0.320353,-0.946857,0.052631,0.316636,-0.947086,0.0407765,0.3184945,-0.9469715
0.04176,0.334049,-0.94163,0.013675,0.334129,-0.942428,0.0277175,0.33408899999999997,-0.942029
0.029815,0.319241,-0.947204,0.019654,0.308611,-0.950985,0.0247345,0.31392600000000004,-0.9490945
0.044451,0.309461,-0.949873,0.030518,0.300486,-0.953298,0.0374845,0.3049735,-0.9515855
0.025889,0.29803,-0.954206,0.011489,0.307072,-0.951617,0.018688999999999997,0.302551,-0.9529115
0.00739,0.337984,-0.941123,0.036588,0.294712,-0.954885,0.021989,0.31634799999999996,-0.9480040000000001
0.001138,0.340272,-0.940326,0.02357,0.292515,-0.95597,0.012354,0.3163935,-0.948148
0.047756,0.349417,-0.935749,-0.007869,0.307935,-0.951375,0.0199435,0.32867599999999997,-0.943562
0.018945,0.339808,-0.940304,-0.00307,0.306649,-0.951818,0.0079375,0.32322850000000003,-0.946061
0.057841,0.324266,-0.944196,-0.002038,0.270319,-0.962769,0.0279015,0.29729249999999996,-0.9534825
0.042135,0.31923,-0.94674,0.000821,0.284444,-0.958692,0.021478,0.301837,-0.952716
0.056595,0.320218,-0.945652,0.024119,0.259649,-0.965402,0.040357000000000004,0.2899335,-0.955527
0.031164,0.341774,-0.939265,0.027759,0.251815,-0.967377,0.0294615,0.2967945,-0.9533210000000001
0.028354,0.335614,-0.941573,0.025014,0.254875,-0.96665,0.026684,0.2952445,-0.9541115
0.068139,0.306452,-0.949444,0.095666,0.220418,-0.970703,0.0819025,0.263435,-0.9600735
0.079612,0.348164,-0.934047,0.06628,0.267622,-0.961241,0.07294600000000001,0.307893,-0.9476439999999999
0.089091,0.282444,-0.955138,-0.039242,0.255525,-0.966006,0.024924500000000002,0.26898449999999996,-0.960572
0.0873,0.294004,-0.951809,-0.05241,0.270608,-0.961262,0.017445000000000002,0.282306,-0.9565355
0.12191,0.332442,-0.935211,-0.093132,0.214321,-0.972313,0.014388999999999999,0.2733815,-0.953762
0.107924,0.325617,-0.939322,-0.033275,0.287825,-0.957105,0.037324500000000004,0.306721,-0.9482135
0.070184,0.355615,-0.931994,0.036735,0.273457,-0.961183,0.05345949999999999,0.31453600000000004,-0.9465885
0.063138,0.352111,-0.933826,0.024056,0.319239,-0.947369,0.043597,0.335675,-0.9405975
0.083916,0.364355,-0.927472,0.00199,0.374774,-0.927114,0.042953000000000005,0.36956449999999996,-0.9272929999999999
0.067156,0.298923,-0.951911,-0.015784,0.298792,-0.954188,0.025685999999999997,0.2988575,-0.9530495
0.031165,0.304629,-0.951961,0.004139,0.304897,-0.952376,0.017652,0.304763,-0.9521685
0.022806,0.301495,-0.953195,-0.007305,0.331221,-0.943525,0.0077505000000000004,0.31635800000000003,-0.94836
0.039674,0.312524,-0.949081,0.006673,0.332185,-0.94319,0.0231735,0.3223545,-0.9461355
0.054774,0.33012,-0.942348,-0.041414,0.335754,-0.941039,0.006680000000000002,0.33293700000000004,-0.9416935
0.072812,0.36961,-0.92633,-0.025989,0.398641,-0.916739,0.023411500000000002,0.3841255,-0.9215344999999999
0.103575,0.354845,-0.92917,0.050096,0.342476,-0.93819,0.0768355,0.34866050000000004,-0.9336800000000001
0.092363,0.344681,-0.934165,0.040642,0.361505,-0.931484,0.06650249999999999,0.353093,-0.9328245
0.118251,0.373651,-0.920001,-0.002837,0.380836,-0.924638,0.057706999999999994,0.3772435,-0.9223195
0.110548,0.376016,-0.919995,0.019154,0.34973,-0.936655,0.06485099999999999,0.362873,-0.9283250000000001
0.060171,0.339081,-0.938831,0.022796,0.348417,-0.937063,0.0414835,0.34374899999999997,-0.937947
0.073979,0.343647,-0.93618,0.051043,0.351247,-0.934891,0.062511,0.34744699999999995,-0.9355355000000001
0.069801,0.354045,-0.93262,0.024378,0.322282,-0.94633,0.0470895,0.3381635,-0.9394750000000001
0.043778,0.37335,-0.926657,0.066838,0.332597,-0.940697,0.055307999999999996,0.3529735,-0.933677
0.056745,0.366162,-0.928819,0.094534,0.321795,-0.942078,0.0756395,0.34397849999999996,-0.9354484999999999
0.097788,0.364517,-0.926048,0.103425,0.295878,-0.94961,0.1006065,0.3301975,-0.937829
0.072874,0.320041,-0.944597,0.047591,0.339909,-0.939253,0.060232499999999994,0.329975,-0.941925
0.060586,0.332438,-0.941177,0.025913,0.357895,-0.933402,0.043249499999999996,0.34516650000000004,-0.9372895
0.075228,0.321526,-0.943908,0.037018,0.317044,-0.947688,0.056123000000000006,0.319285,-0.9457979999999999
0.06761,0.351539,-0.933728,-0.031623,0.31925,-0.947143,0.017993500000000003,0.3353945,-0.9404355
0.047382,0.313521,-0.948399,-0.015301,0.313168,-0.949575,0.0160405,0.3133445,-0.948987
0.01682,0.32693,-0.944899,0.029746,0.327289,-0.944456,0.023283,0.3271095,-0.9446775000000001
0.021038,0.318627,-0.947646,0.019413,0.323399,-0.946063,0.0202255,0.321013,-0.9468544999999999
0.02048,0.309837,-0.950569,0.007476,0.32461,-0.945818,0.013978,0.3172235,-0.9481935
0.032908,0.297753,-0.954075,-0.031815,0.340525,-0.939697,0.0005464999999999984,0.319139,-0.946886
0.052694,0.32224,-0.94519,-0.002496,0.308202,-0.951318,0.025099,0.315221,-0.9482539999999999
0.078498,0.3453,-0.935204,0.034665,0.395877,-0.917649,0.0565815,0.3705885,-0.9264265
0.058156,0.374724,-0.925311,-0.027109,0.368831,-0.929101,0.015523499999999999,0.3717775,-0.927206
0.050547,0.372572,-0.926626,-0.029328,0.367182,-0.929687,0.010609500000000001,0.369877,-0.9281565
0.005,0.337211,-0.941416,0.009292,0.37143,-0.928414,0.007146,0.3543205,-0.9349149999999999
-0.004221,0.346574,-0.938013,0.001403,0.368939,-0.929453,-0.001409,0.35775650000000003,-0.9337329999999999
