gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
-0.011297,0.237477,-0.971327,-0.166158,0.220169,-0.961206,-0.0887275,0.228823,-0.9662665
-0.004525,0.214982,-0.976607,-0.153449,0.205455,-0.966562,-0.078987,0.2102185,-0.9715845000000001
0.011706,0.219708,-0.975496,-0.136068,0.205827,-0.969082,-0.062181,0.2127675,-0.972289
0.02722,0.347323,-0.937351,-0.188023,0.317331,-0.929488,-0.0804015,0.332327,-0.9334195000000001
-0.013601,0.246797,-0.968972,-0.066591,0.158105,-0.985174,-0.040096,0.202451,-0.9770730000000001
-0.026209,0.27139,-0.962112,-0.058448,0.235409,-0.970137,-0.0423285,0.2533995,-0.9661245
-0.00025,0.258454,-0.966024,-0.076038,0.257313,-0.963332,-0.038144,0.25788350000000004,-0.9646779999999999
0.0123,0.239697,-0.97077,-0.120676,0.219147,-0.9682,-0.054188,0.22942200000000001,-0.9694849999999999
0.06993,0.185891,-0.980079,-0.167363,0.185561,-0.968275,-0.0487165,0.185726,-0.9741770000000001
0.068061,0.190309,-0.979362,-0.152065,0.097645,-0.983535,-0.042002000000000005,0.143977,-0.9814485
0.052772,0.184928,-0.981334,-0.155243,0.09579,-0.983221,-0.051235499999999996,0.140359,-0.9822775
0.000743,0.21241,-0.97718,-0.137542,0.107287,-0.984668,-0.0683995,0.1598485,-0.980924
0.054749,0.210007,-0.976166,-0.142435,0.102016,-0.984533,-0.04384300000000001,0.1560115,-0.9803495
0.040123,0.149719,-0.987914,-0.138534,0.114051,-0.983769,-0.0492055,0.131885,-0.9858415
0.04887,0.155452,-0.986634,-0.128052,0.139094,-0.981965,-0.039591,0.147273,-0.9842995
0.056613,0.160505,-0.98541,-0.124308,0.142941,-0.981894,-0.0338475,0.151723,-0.983652
-0.001781,0.167862,-0.985809,-0.116378,0.196056,-0.973662,-0.0590795,0.181959,-0.9797355000000001
-0.008248,0.161013,-0.986918,-0.139327,0.165543,-0.976311,-0.0737875,0.16327799999999998,-0.9816145000000001
-0.009178,0.162746,-0.986625,-0.126807,0.183002,-0.9749,-0.0679925,0.172874,-0.9807625
-0.010808,0.166075,-0.986054,-0.121272,0.188872,-0.974485,-0.06604,0.1774735,-0.9802695
