gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.186257,0.187975,-0.964351,-0.118575,0.218667,-0.968569,0.033841,0.203321,-0.96646
0.187054,0.185713,-0.964635,-0.099163,0.208421,-0.972999,0.0439455,0.197067,-0.968817
0.192631,0.185452,-0.963588,-0.097953,0.205413,-0.973761,0.047339,0.1954325,-0.9686745
0.19222,0.162336,-0.967832,0.024652,0.197397,-0.980014,0.108436,0.17986649999999998,-0.9739230000000001
0.200495,0.128509,-0.97123,0.094079,0.189552,-0.977353,0.147287,0.15903050000000002,-0.9742915000000001
0.23518,0.135992,-0.962391,0.131949,0.133446,-0.982233,0.18356450000000002,0.134719,-0.9723120000000001
0.162523,0.188125,-0.968605,0.062918,0.149443,-0.986767,0.1127205,0.168784,-0.977686
0.13813,0.16809,-0.976046,0.047723,0.132766,-0.989998,0.0929265,0.150428,-0.9830220000000001
0.188184,0.181126,-0.965288,0.059094,0.132959,-0.989358,0.123639,0.1570425,-0.9773229999999999
0.169294,0.194333,-0.966217,0.029529,0.16825,-0.985302,0.0994115,0.1812915,-0.9757595
0.184779,0.191108,-0.96402,0.026364,0.168041,-0.985427,0.1055715,0.1795745,-0.9747235000000001
0.137598,0.167242,-0.976267,0.032594,0.156062,-0.987209,0.085096,0.16165200000000002,-0.981738
0.157126,0.134601,-0.978363,0.038836,0.134113,-0.990205,0.097981,0.134357,-0.9842839999999999
0.141887,0.14588,-0.979075,0.083701,0.093319,-0.992112,0.112794,0.1195995,-0.9855935
0.21225,0.084354,-0.973568,0.001281,0.067317,-0.997731,0.1067655,0.0758355,-0.9856495000000001
0.170803,0.29477,-0.940179,0.089103,0.253295,-0.963277,0.129953,0.2740325,-0.951728
0.110744,0.258124,-0.959744,0.06416,0.235086,-0.969855,0.087452,0.24660500000000002,-0.9647995
0.13857,0.197031,-0.970555,0.049217,0.176929,-0.982992,0.09389349999999999,0.18698,-0.9767735
0.136673,0.199226,-0.970376,0.030035,0.16441,-0.985935,0.083354,0.18181799999999998,-0.9781555
