gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.023386,0.371502,-0.928137,0.004285,0.306702,-0.951796,0.0138355,0.339102,-0.9399664999999999
0.024677,0.367563,-0.929671,0.00639,0.305442,-0.952189,0.0155335,0.3365025,-0.94093
0.028852,0.372456,-0.927601,-0.014353,0.326168,-0.945203,0.0072495,0.349312,-0.936402
0.028826,0.372695,-0.927506,-0.013917,0.327385,-0.944789,0.0074545,0.35004,-0.9361475
0.077567,0.343384,-0.935986,-0.053446,0.342906,-0.937848,0.012060499999999998,0.34314500000000003,-0.936917
0.076196,0.347601,-0.934541,-0.052772,0.340863,-0.938631,0.011712,0.344232,-0.9365859999999999
0.078421,0.330472,-0.940552,-0.03811,0.318661,-0.947102,0.020155500000000003,0.3245665,-0.943827
0.083181,0.335415,-0.938391,-0.037174,0.306169,-0.951251,0.023003500000000003,0.320792,-0.9448209999999999
0.080872,0.344668,-0.935234,-0.024168,0.311704,-0.949872,0.028352000000000002,0.328186,-0.942553
-0.028781,0.339149,-0.940292,-0.050846,0.316809,-0.947125,-0.0398135,0.327979,-0.9437085000000001
-0.039707,0.33758,-0.940459,-0.043284,0.316227,-0.947696,-0.041495500000000005,0.3269035,-0.9440775
-0.051567,0.375324,-0.925458,-0.076296,0.340552,-0.937125,-0.0639315,0.357938,-0.9312914999999999
-0.033875,0.367073,-0.929575,-0.040573,0.328311,-0.943698,-0.037224,0.347692,-0.9366365000000001
-0.015361,0.350369,-0.936486,-0.036768,0.325555,-0.944808,-0.0260645,0.337962,-0.940647
-0.015476,0.345566,-0.938267,-0.037462,0.327489,-0.944112,-0.026469,0.3365275,-0.9411894999999999
-0.022556,0.343002,-0.939064,-0.0449,0.309974,-0.949684,-0.033728,0.326488,-0.944374
0.064204,0.423006,-0.903849,-0.133459,0.434297,-0.890828,-0.0346275,0.42865149999999996,-0.8973385
0.068534,0.427977,-0.901188,-0.091439,0.419141,-0.903305,-0.011452500000000004,0.423559,-0.9022465
0.029521,0.333826,-0.942172,-0.121039,0.323289,-0.938528,-0.045758999999999994,0.3285575,-0.94035
-0.000927,0.34284,-0.939393,-0.083531,0.327331,-0.94121,-0.042228999999999996,0.3350855,-0.9403015
-0.00319,0.338713,-0.940884,-0.094599,0.309931,-0.946041,-0.0488945,0.324322,-0.9434625000000001
-0.025104,0.349593,-0.936565,-0.054906,0.318993,-0.946165,-0.040005,0.334293,-0.941365
-0.025774,0.356094,-0.934095,-0.073042,0.354011,-0.932385,-0.049407999999999994,0.3550525,-0.9332400000000001
-0.011115,0.352532,-0.935734,-0.019662,0.329392,-0.943989,-0.0153885,0.340962,-0.9398614999999999
-0.01197,0.354483,-0.934986,-0.012561,0.323193,-0.94625,-0.012265499999999999,0.338838,-0.940618
0.005061,0.332923,-0.94294,-0.033741,0.307342,-0.951001,-0.01434,0.32013250000000004,-0.9469704999999999
0.003313,0.322546,-0.946548,-0.023313,0.305894,-0.95178,-0.01,0.31422,-0.9491639999999999
-0.020104,0.317612,-0.948008,-0.029239,0.295832,-0.954792,-0.0246715,0.306722,-0.9514
-0.019363,0.32262,-0.946331,-0.02249,0.287082,-0.957642,-0.0209265,0.304851,-0.9519865000000001
-0.037978,0.365708,-0.929955,-0.058864,0.322779,-0.944642,-0.048421,0.3442435,-0.9372985
-0.033946,0.362666,-0.931301,-0.043264,0.330087,-0.942959,-0.038605,0.3463765,-0.93713
-0.024887,0.35034,-0.936292,-0.046305,0.314082,-0.948266,-0.035596,0.332211,-0.9422790000000001
-0.040022,0.351405,-0.935368,-0.06047,0.32423,-0.944044,-0.050246,0.3378175,-0.9397059999999999
-0.035123,0.349167,-0.936402,-0.064379,0.331311,-0.941323,-0.049751000000000004,0.340239,-0.9388624999999999
-0.033222,0.382544,-0.92334,-0.095055,0.37905,-0.920481,-0.0641385,0.380797,-0.9219105000000001
-0.01733,0.378215,-0.925556,-0.090325,0.383204,-0.919237,-0.0538275,0.38070950000000003,-0.9223965000000001
0.040136,0.326696,-0.944277,-0.051606,0.309536,-0.949486,-0.0057350000000000005,0.31811599999999995,-0.9468815
-0.009427,0.323816,-0.946073,-0.056906,0.30956,-0.949176,-0.0331665,0.31668799999999997,-0.9476245000000001
-0.019533,0.324216,-0.945781,-0.059252,0.309183,-0.949155,-0.0393925,0.3166995,-0.947468
-0.028997,0.321953,-0.946311,-0.053366,0.310415,-0.949102,-0.041181499999999996,0.316184,-0.9477065
-0.039896,0.327711,-0.943935,-0.077489,0.308856,-0.947947,-0.0586925,0.3182835,-0.9459409999999999
0.007933,0.312697,-0.94982,-0.060766,0.269277,-0.961144,-0.0264165,0.290987,-0.9554819999999999
-0.010812,0.310471,-0.950521,-0.04745,0.282412,-0.958119,-0.029131,0.2964415,-0.9543200000000001
-0.016987,0.328728,-0.944272,-0.106852,0.290329,-0.950943,-0.0619195,0.3095285,-0.9476074999999999
0.002001,0.337057,-0.941482,-0.098313,0.299148,-0.949128,-0.048156,0.3181025,-0.9453050000000001
-0.006367,0.333334,-0.942787,-0.101142,0.300111,-0.948527,-0.0537545,0.3167225,-0.945657
-0.035203,0.35985,-0.932346,-0.083674,0.336425,-0.937985,-0.0594385,0.3481375,-0.9351655
-0.030306,0.353617,-0.934899,-0.070941,0.320301,-0.944656,-0.0506235,0.336959,-0.9397775
-0.037853,0.347871,-0.936778,-0.077558,0.31347,-0.946425,-0.0577055,0.3306705,-0.9416015
