gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.027007,0.416488,-0.90874,-0.093484,0.422572,-0.901495,-0.0332385,0.41953,-0.9051175
0.03329,0.42201,-0.90598,-0.087227,0.434504,-0.896436,-0.0269685,0.428257,-0.901208
0.022543,0.410456,-0.911602,-0.073612,0.436408,-0.896732,-0.025534499999999998,0.42343200000000003,-0.9041669999999999
0.074248,0.455074,-0.887353,-0.088751,0.501453,-0.86062,-0.007251500000000001,0.4782635,-0.8739865
0.058328,0.457923,-0.887076,-0.146396,0.536272,-0.831252,-0.044034000000000004,0.49709749999999997,-0.859164
0.066321,0.491531,-0.868331,-0.112231,0.516724,-0.848764,-0.022954999999999996,0.5041275,-0.8585475
0.018582,0.418216,-0.908158,-0.07345,0.467998,-0.880672,-0.027434,0.44310700000000003,-0.894415
0.028386,0.423191,-0.905596,-0.091486,0.476712,-0.874286,-0.031549999999999995,0.4499515,-0.889941
0.038079,0.419352,-0.907025,-0.045517,0.440673,-0.896513,-0.003719,0.4300125,-0.901769
0.032745,0.417057,-0.90829,-0.038656,0.453059,-0.890642,-0.0029555,0.435058,-0.8994660000000001
0.046928,0.404968,-0.913126,-0.07083,0.459429,-0.885386,-0.011951000000000003,0.4321985,-0.899256
0.026208,0.424472,-0.905062,-0.064183,0.453861,-0.888758,-0.018987500000000004,0.4391665,-0.8969100000000001
0.030617,0.435181,-0.899822,-0.082469,0.468376,-0.879672,-0.025926,0.45177849999999997,-0.8897470000000001
0.03545,0.43152,-0.901407,-0.074907,0.467184,-0.880981,-0.0197285,0.449352,-0.891194
0.024445,0.434104,-0.900531,-0.06541,0.47557,-0.877243,-0.020482499999999997,0.454837,-0.888887
0.036859,0.429094,-0.902508,-0.061786,0.471491,-0.879704,-0.012463499999999999,0.4502925,-0.891106
0.024996,0.412321,-0.910696,-0.067585,0.42851,-0.901006,-0.0212945,0.4204155,-0.905851
0.030043,0.422226,-0.905993,-0.061917,0.444953,-0.893411,-0.015937,0.43358949999999996,-0.899702
0.027664,0.427253,-0.903709,-0.08702,0.457861,-0.884755,-0.029678,0.442557,-0.8942319999999999
0.031917,0.43794,-0.898438,-0.075369,0.469792,-0.879554,-0.021726000000000002,0.453866,-0.8889959999999999
0.028866,0.443169,-0.895973,-0.110733,0.446513,-0.887899,-0.0409335,0.444841,-0.8919360000000001
0.001477,0.440652,-0.897677,-0.084034,0.463309,-0.882204,-0.041278499999999996,0.4519805,-0.8899405
0.027744,0.457173,-0.888945,-0.068933,0.472845,-0.878445,-0.020594499999999995,0.465009,-0.883695
0.036942,0.432612,-0.900823,-0.077493,0.487531,-0.86966,-0.020275500000000002,0.46007149999999997,-0.8852415
0.033995,0.457048,-0.888792,-0.095563,0.496053,-0.863018,-0.030784,0.4765505,-0.8759049999999999
0.036359,0.446443,-0.894073,-0.071639,0.489613,-0.868992,-0.017639999999999996,0.468028,-0.8815325
0.035604,0.445622,-0.894513,-0.092126,0.486212,-0.868971,-0.028261,0.465917,-0.881742
0.010886,0.44375,-0.896084,-0.091394,0.467162,-0.879435,-0.040254,0.45545599999999997,-0.8877595
0.020147,0.447181,-0.894217,-0.093618,0.453287,-0.886435,-0.036735500000000004,0.450234,-0.890326
0.029986,0.428839,-0.902883,-0.093382,0.448774,-0.888753,-0.031698000000000004,0.4388065,-0.895818
0.023032,0.425072,-0.904867,-0.114189,0.462802,-0.879076,-0.0455785,0.443937,-0.8919714999999999
0.032108,0.424657,-0.904785,-0.092265,0.452679,-0.886887,-0.0300785,0.438668,-0.895836
0.022592,0.44753,-0.893984,-0.104649,0.481786,-0.870018,-0.0410285,0.464658,-0.882001
0.02287,0.443518,-0.895974,-0.109101,0.491351,-0.864101,-0.0431155,0.4674345,-0.8800375
0.038451,0.440411,-0.896973,-0.092501,0.485703,-0.869216,-0.027025,0.463057,-0.8830945
0.01812,0.410641,-0.911617,-0.081541,0.465929,-0.881057,-0.0317105,0.438285,-0.8963369999999999
0.019821,0.473751,-0.880436,-0.084953,0.495177,-0.864629,-0.032566,0.484464,-0.8725324999999999
0.058889,0.464103,-0.883822,0.005202,0.461704,-0.887019,0.0320455,0.4629035,-0.8854204999999999
0.110385,0.433248,-0.894489,-0.06666,0.467233,-0.881618,0.0218625,0.45024050000000004,-0.8880535
0.099416,0.415961,-0.903932,-0.081181,0.488404,-0.868833,0.0091175,0.45218250000000004,-0.8863825
0.031649,0.450468,-0.892231,-0.088856,0.460283,-0.883314,-0.028603500000000004,0.4553755,-0.8877725000000001
0.028834,0.478948,-0.877369,-0.100702,0.484859,-0.868776,-0.035934,0.4819035,-0.8730724999999999
0.00847,0.450255,-0.89286,-0.100199,0.48693,-0.867675,-0.045864499999999996,0.46859249999999997,-0.8802675
0.032975,0.447901,-0.893475,-0.08947,0.487409,-0.868578,-0.0282475,0.467655,-0.8810264999999999
0.082743,0.421718,-0.902944,-0.132801,0.527629,-0.83903,-0.025029000000000003,0.47467349999999997,-0.870987
0.026187,0.444656,-0.895318,-0.07962,0.479562,-0.873889,-0.026716499999999997,0.462109,-0.8846035
0.00365,0.451601,-0.892212,-0.117872,0.476234,-0.871382,-0.057111,0.4639175,-0.8817969999999999
0.016779,0.441004,-0.897348,-0.112015,0.497465,-0.860222,-0.047618,0.4692345,-0.878785
-0.000188,0.432112,-0.90182,-0.1433,0.45782,-0.87742,-0.071744,0.444966,-0.88962
-0.007159,0.423821,-0.905717,-0.112896,0.44863,-0.886558,-0.0600275,0.4362255,-0.8961375
0.009061,0.428784,-0.903362,-0.11954,0.459346,-0.880177,-0.0552395,0.444065,-0.8917695
0.015783,0.441224,-0.897258,-0.139891,0.473001,-0.869885,-0.062054,0.45711250000000003,-0.8835715
0.029152,0.442299,-0.896394,-0.097307,0.498855,-0.861205,-0.034077500000000004,0.470577,-0.8787995
0.007447,0.449105,-0.893448,-0.09557,0.484172,-0.869738,-0.0440615,0.46663849999999996,-0.8815930000000001
0.009583,0.445824,-0.895069,-0.112108,0.468823,-0.876149,-0.0512625,0.4573235,-0.885609
0.006044,0.442566,-0.896716,-0.129682,0.46259,-0.877036,-0.061819,0.45257800000000004,-0.886876
