gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.106597,0.19477,-0.975039,0.002884,0.237245,-0.971445,0.0547405,0.21600750000000002,-0.9732419999999999
0.110375,0.214284,-0.970515,-0.044842,0.210066,-0.976658,0.032766500000000004,0.212175,-0.9735865
0.110432,0.23006,-0.966891,-0.013799,0.23073,-0.97292,0.0483165,0.230395,-0.9699055
0.225073,0.228849,-0.947085,0.069628,0.265279,-0.961654,0.1473505,0.247064,-0.9543695
0.219741,0.201961,-0.954424,0.072811,0.218159,-0.973193,0.146276,0.21006,-0.9638085000000001
0.239827,0.157446,-0.957963,0.146245,0.230086,-0.962119,0.193036,0.193766,-0.9600409999999999
0.23036,0.166096,-0.958826,0.144474,0.247334,-0.958099,0.187417,0.20671499999999998,-0.9584625
0.227655,0.175506,-0.957795,0.14666,0.250361,-0.95698,0.1871575,0.2129335,-0.9573875000000001
0.229234,0.216076,-0.949085,0.111438,0.198549,-0.973735,0.170336,0.2073125,-0.96141
0.181558,0.145491,-0.972558,0.129074,0.176543,-0.975793,0.155316,0.16101700000000002,-0.9741755000000001
0.176706,0.182015,-0.967288,0.157705,0.177679,-0.97137,0.1672055,0.179847,-0.969329
0.175413,0.191576,-0.965676,0.158815,0.187659,-0.96931,0.167114,0.1896175,-0.9674929999999999
0.218146,0.165175,-0.961837,0.140418,0.176929,-0.974156,0.179282,0.17105199999999998,-0.9679965
0.196244,0.229839,-0.953238,0.1988,0.224105,-0.954073,0.197522,0.226972,-0.9536555
0.261154,0.194178,-0.945565,0.262193,0.169366,-0.950037,0.2616735,0.181772,-0.947801
0.216209,0.183681,-0.958914,0.177947,0.100903,-0.978853,0.197078,0.142292,-0.9688835
0.061483,0.20188,-0.977478,0.241029,0.105048,-0.964816,0.151256,0.153464,-0.971147
0.108314,0.199948,-0.973801,0.234254,0.153692,-0.95995,0.171284,0.17681999999999998,-0.9668755
0.17536,0.192522,-0.965497,0.229388,0.149297,-0.961817,0.202374,0.1709095,-0.963657
0.175419,0.137174,-0.974891,0.220063,0.139364,-0.965479,0.197741,0.13826899999999998,-0.970185
0.12552,0.196204,-0.972496,0.1779,0.169232,-0.969388,0.15171,0.182718,-0.970942
0.140105,0.217968,-0.965847,0.08084,0.180278,-0.980288,0.1104725,0.199123,-0.9730675
0.181611,0.233056,-0.955355,0.181108,0.140096,-0.973434,0.1813595,0.18657600000000002,-0.9643945
0.149687,0.191024,-0.970105,0.071227,0.17323,-0.982302,0.110457,0.18212699999999998,-0.9762035
0.12426,0.185466,-0.974762,0.176662,0.055346,-0.982714,0.150461,0.120406,-0.978738
0.06852,0.198225,-0.977759,0.073781,0.089157,-0.993281,0.0711505,0.143691,-0.98552
0.075098,0.259119,-0.962921,0.011812,0.149969,-0.98862,0.043455,0.204544,-0.9757705000000001
0.1102,0.254287,-0.96083,0.03295,0.190824,-0.981071,0.071575,0.2225555,-0.9709505
0.09126,0.219403,-0.971357,0.013436,0.224189,-0.974453,0.052348,0.221796,-0.972905
0.096789,0.251356,-0.963043,-0.03251,0.223987,-0.97405,0.0321395,0.2376715,-0.9685465
0.034567,0.214911,-0.976022,-0.089032,0.210488,-0.973534,-0.0272325,0.21269949999999999,-0.9747779999999999
0.034174,0.220307,-0.974832,-0.138313,0.275866,-0.951193,-0.05206949999999999,0.2480865,-0.9630125
0.017285,0.177167,-0.984029,-0.116175,0.259555,-0.958715,-0.049445,0.21836099999999997,-0.971372
0.022719,0.195866,-0.980368,-0.061538,0.240815,-0.968618,-0.019409500000000003,0.2183405,-0.974493
0.063463,0.180762,-0.981477,0.024628,0.221394,-0.974873,0.0440455,0.201078,-0.978175
-0.016452,0.193029,-0.981055,0.058401,0.18428,-0.981137,0.0209745,0.1886545,-0.981096
-0.067793,0.219762,-0.973195,0.074012,0.217772,-0.973189,0.003109499999999994,0.218767,-0.9731920000000001
0.002188,0.176947,-0.984218,0.073999,0.206221,-0.975703,0.038093499999999995,0.19158399999999998,-0.9799605
-0.017345,0.199159,-0.979814,0.022728,0.183022,-0.982846,0.002691500000000001,0.1910905,-0.98133
0.010483,0.164392,-0.986339,0.039979,0.151806,-0.987601,0.025231,0.158099,-0.9869699999999999
0.040844,0.166478,-0.985199,0.052719,0.158989,-0.985872,0.046781500000000004,0.16273349999999998,-0.9855355
0.071604,0.188695,-0.979422,0.0043,0.178454,-0.983939,0.037952,0.1835745,-0.9816805
0.074473,0.164466,-0.983567,-0.004662,0.137062,-0.990551,0.0349055,0.150764,-0.9870589999999999
-0.010301,0.210499,-0.97754,0.074303,0.195233,-0.977938,0.032000999999999995,0.202866,-0.9777389999999999
0.000203,0.197222,-0.980359,0.073188,0.181148,-0.980729,0.0366955,0.189185,-0.980544
0.041753,0.222748,-0.973981,0.053526,0.171109,-0.983797,0.0476395,0.1969285,-0.978889
0.037033,0.216216,-0.975643,0.046963,0.256462,-0.965413,0.041998,0.23633900000000002,-0.9705280000000001
0.211943,0.265069,-0.940648,0.10308,0.281783,-0.953925,0.1575115,0.273426,-0.9472865
0.227297,0.249293,-0.941376,0.052158,0.18593,-0.981178,0.1397275,0.2176115,-0.9612769999999999
0.151897,0.244029,-0.957798,0.049912,0.192017,-0.980121,0.10090450000000001,0.218023,-0.9689595
0.189184,0.14839,-0.970665,0.083126,0.241938,-0.966724,0.136155,0.195164,-0.9686945
0.181281,0.212836,-0.960124,0.106677,0.286621,-0.952086,0.143979,0.24972850000000002,-0.956105
0.184841,0.236749,-0.953826,0.151207,0.254209,-0.955256,0.168024,0.245479,-0.954541
0.202464,0.241009,-0.94917,0.158199,0.268407,-0.950227,0.1803315,0.254708,-0.9496985
0.198196,0.182103,-0.963097,0.147936,0.287075,-0.946416,0.173066,0.234589,-0.9547565
0.194608,0.203243,-0.959594,0.067422,0.274617,-0.959187,0.131015,0.23893,-0.9593905
0.126034,0.193475,-0.972976,0.033827,0.209423,-0.97724,0.0799305,0.201449,-0.975108
0.109769,0.193232,-0.974993,0.100416,0.21739,-0.970906,0.1050925,0.205311,-0.9729495
0.146889,0.221862,-0.963951,0.05698,0.229012,-0.971754,0.1019345,0.225437,-0.9678525
0.146927,0.187664,-0.971182,0.074524,0.228588,-0.970667,0.1107255,0.208126,-0.9709245
0.147556,0.217473,-0.964849,0.045443,0.235653,-0.970774,0.09649949999999999,0.22656300000000001,-0.9678115
0.129967,0.220226,-0.966752,0.069247,0.230155,-0.970687,0.099607,0.22519050000000002,-0.9687195
0.135781,0.225671,-0.964695,0.041975,0.23886,-0.970146,0.08887800000000001,0.2322655,-0.9674205
0.133833,0.188892,-0.972835,0.028593,0.212849,-0.976667,0.08121300000000001,0.2008705,-0.9747509999999999
0.150143,0.232156,-0.961021,0.0313,0.218769,-0.975275,0.0907215,0.2254625,-0.968148
0.123833,0.212085,-0.969374,0.045156,0.234077,-0.971169,0.0844945,0.223081,-0.9702715
0.090129,0.224434,-0.970312,0.059446,0.221665,-0.973309,0.0747875,0.2230495,-0.9718104999999999
0.118245,0.240009,-0.963542,0.059242,0.225588,-0.97242,0.0887435,0.23279850000000002,-0.967981
0.109943,0.228236,-0.967378,0.022815,0.206709,-0.978136,0.066379,0.2174725,-0.972757
0.11595,0.243865,-0.962853,0.001141,0.222448,-0.974944,0.0585455,0.2331565,-0.9688985
0.033335,0.158415,-0.98681,0.087909,0.235318,-0.967935,0.060621999999999995,0.1968665,-0.9773725
0.075036,0.203096,-0.976279,-0.054521,0.221261,-0.973689,0.010257500000000003,0.2121785,-0.9749840000000001
0.044739,0.209656,-0.976751,-0.100988,0.204972,-0.973544,-0.028124499999999997,0.207314,-0.9751475000000001
0.072223,0.182574,-0.980536,-0.097558,0.233607,-0.967424,-0.012667500000000005,0.2080905,-0.97398
0.077144,0.18027,-0.980587,0.058351,0.247965,-0.96701,0.0677475,0.21411750000000002,-0.9737985
0.050571,0.189343,-0.980608,-0.084716,0.216649,-0.972567,-0.0170725,0.202996,-0.9765874999999999
0.056182,0.196116,-0.97897,-0.097688,0.238525,-0.966211,-0.020752999999999997,0.2173205,-0.9725905
0.055531,0.153033,-0.98666,-0.016659,0.25221,-0.967529,0.019436,0.2026215,-0.9770945
0.024577,0.160454,-0.986737,0.001408,0.209,-0.977915,0.0129925,0.184727,-0.982326
0.050542,0.220908,-0.973984,0.036437,0.222225,-0.974314,0.0434895,0.2215665,-0.9741489999999999
0.002843,0.174462,-0.98466,0.109492,0.163214,-0.980496,0.0561675,0.168838,-0.982578
0.000739,0.193664,-0.981068,0.050147,0.227948,-0.972381,0.025442999999999997,0.210806,-0.9767245
0.026765,0.172528,-0.984641,0.02213,0.185784,-0.982341,0.0244475,0.17915599999999998,-0.983491
-0.011062,0.208592,-0.97794,-0.089328,0.216474,-0.972193,-0.050195000000000004,0.212533,-0.9750665000000001
0.044509,0.205709,-0.977601,-0.106876,0.226029,-0.96824,-0.0311835,0.215869,-0.9729205000000001
0.034012,0.164139,-0.985851,-0.055704,0.194496,-0.97932,-0.010845999999999998,0.17931750000000002,-0.9825855
-0.004901,0.134455,-0.990908,-0.009902,0.184169,-0.982845,-0.0074015,0.159312,-0.9868764999999999
0.084977,0.198669,-0.976376,0.07805,0.224124,-0.97143,0.08151349999999999,0.2113965,-0.973903
0.10924,0.161632,-0.980786,0.036089,0.220617,-0.974693,0.0726645,0.1911245,-0.9777395
0.200615,0.202292,-0.958557,0.071699,0.22901,-0.97078,0.136157,0.21565099999999998,-0.9646684999999999
0.131126,0.160209,-0.978335,0.097893,0.164079,-0.981578,0.11450949999999999,0.162144,-0.9799564999999999
0.164452,0.16117,-0.973129,0.037344,0.197735,-0.979544,0.10089799999999999,0.17945250000000001,-0.9763364999999999
0.164256,0.30488,-0.938119,0.073969,0.262593,-0.962067,0.11911250000000001,0.2837365,-0.9500930000000001
0.126936,0.21837,-0.967575,0.011543,0.240632,-0.970548,0.0692395,0.229501,-0.9690615
0.190637,0.212371,-0.958413,0.03657,0.256138,-0.965948,0.1136035,0.23425449999999998,-0.9621805
0.12744,0.179868,-0.975401,-0.055328,0.210424,-0.976043,0.036056,0.195146,-0.975722
0.092122,0.144652,-0.985185,-0.024668,0.215728,-0.976142,0.033727,0.18019000000000002,-0.9806634999999999
0.086559,0.159564,-0.983385,-0.052646,0.246083,-0.967818,0.0169565,0.2028235,-0.9756015
0.063628,0.211809,-0.975238,-0.017129,0.255051,-0.966776,0.023249500000000003,0.23343000000000003,-0.971007
0.054426,0.212316,-0.975684,-0.034753,0.276021,-0.960523,0.009836500000000001,0.2441685,-0.9681035
0.071707,0.220775,-0.972685,0.040507,0.244447,-0.968816,0.056107000000000004,0.232611,-0.9707505000000001
0.06412,0.237933,-0.969163,-0.029701,0.246516,-0.968683,0.017209499999999996,0.2422245,-0.968923
0.042316,0.210989,-0.976572,0.036633,0.23783,-0.970616,0.039474499999999996,0.2244095,-0.9735940000000001
0.063867,0.237714,-0.969233,-0.166971,0.21755,-0.961661,-0.05155200000000001,0.227632,-0.9654469999999999
0.061709,0.235096,-0.970011,-0.169107,0.183064,-0.968447,-0.053699000000000004,0.20908,-0.9692289999999999
0.046211,0.218093,-0.974833,-0.134179,0.173019,-0.975736,-0.043983999999999995,0.195556,-0.9752845
0.032487,0.210926,-0.976962,-0.167022,0.182183,-0.968975,-0.06726750000000001,0.19655450000000002,-0.9729685
0.013736,0.183672,-0.982892,-0.048431,0.230922,-0.971766,-0.017347500000000002,0.207297,-0.977329
0.077933,0.17916,-0.980728,-0.056385,0.260817,-0.96374,0.010774000000000002,0.21998850000000003,-0.972234
0.098749,0.160428,-0.982095,-0.045237,0.26371,-0.963541,0.026756000000000002,0.212069,-0.972818
0.105827,0.174828,-0.978895,-0.030015,0.280338,-0.959432,0.037906,0.22758299999999998,-0.9691635
0.116605,0.166754,-0.979079,0.063056,0.263694,-0.962543,0.08983050000000001,0.215224,-0.9708110000000001
0.068356,0.148391,-0.986564,0.081692,0.205838,-0.97517,0.07502400000000001,0.1771145,-0.9808669999999999
0.042076,0.145094,-0.988523,0.091342,0.186461,-0.978207,0.066709,0.1657775,-0.983365
0.023732,0.187217,-0.982032,0.061558,0.220879,-0.973357,0.042645,0.204048,-0.9776945
0.054353,0.231056,-0.971421,0.058013,0.235156,-0.970225,0.056183,0.233106,-0.970823
0.046284,0.1819,-0.982227,0.118553,0.196802,-0.973249,0.0824185,0.189351,-0.977738
0.015169,0.252871,-0.967381,0.06321,0.289252,-0.955164,0.0391895,0.2710615,-0.9612725
-0.029395,0.195128,-0.980337,-0.033609,0.240514,-0.970064,-0.031502,0.217821,-0.9752005
0.082403,0.201143,-0.97609,0.012663,0.213205,-0.976925,0.047533000000000006,0.207174,-0.9765075000000001
0.066447,0.209255,-0.975601,0.032841,0.220939,-0.974734,0.04964400000000001,0.21509699999999998,-0.9751675
0.058617,0.218251,-0.974131,-0.016801,0.204944,-0.97863,0.020908000000000003,0.2115975,-0.9763805
0.041474,0.153217,-0.987322,-0.064759,0.181909,-0.981181,-0.0116425,0.167563,-0.9842515000000001
0.045617,0.139508,-0.98917,-0.024039,0.195611,-0.980387,0.010788999999999998,0.1675595,-0.9847785
0.030525,0.19421,-0.980485,-0.030396,0.22656,-0.973523,6.450000000000032e-05,0.210385,-0.977004
-0.001269,0.196848,-0.980433,-0.036541,0.200429,-0.979027,-0.018904999999999998,0.1986385,-0.97973
0.004867,0.186773,-0.982391,-0.207768,0.216709,-0.953871,-0.1014505,0.201741,-0.9681310000000001
0.038473,0.165225,-0.985505,-0.182066,0.169977,-0.968483,-0.0717965,0.167601,-0.9769939999999999
0.094517,0.221311,-0.970612,0.044274,0.218773,-0.974771,0.0693955,0.22004200000000002,-0.9726915
0.129143,0.221825,-0.966497,0.062746,0.237899,-0.969261,0.0959445,0.229862,-0.967879
