gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.053598,0.399279,-0.915261,-0.099214,0.350439,-0.931316,-0.022808,0.374859,-0.9232885
0.069232,0.393269,-0.916813,-0.089661,0.377605,-0.921615,-0.010214500000000001,0.38543700000000003,-0.919214
0.020611,0.32661,-0.944934,-0.131344,0.327895,-0.935539,-0.05536649999999999,0.3272525,-0.9402365
0.03194,0.342744,-0.938886,-0.126406,0.333813,-0.934125,-0.047233,0.33827850000000004,-0.9365055
0.027467,0.343,-0.938934,-0.132836,0.320508,-0.937885,-0.05268450000000001,0.331754,-0.9384095
0.033693,0.327721,-0.944174,-0.129148,0.316773,-0.939668,-0.047727500000000006,0.322247,-0.941921
0.027534,0.319503,-0.947185,-0.131825,0.31273,-0.94065,-0.0521455,0.3161165,-0.9439175
0.030371,0.315094,-0.948575,-0.130032,0.310804,-0.941537,-0.04983050000000001,0.31294900000000003,-0.9450559999999999
0.016736,0.316145,-0.948563,-0.133178,0.304873,-0.943035,-0.058220999999999995,0.31050900000000003,-0.9457990000000001
0.019012,0.311929,-0.949915,-0.132129,0.315603,-0.939647,-0.0565585,0.313766,-0.944781
0.019352,0.318172,-0.947836,-0.156297,0.283314,-0.946205,-0.06847249999999999,0.300743,-0.9470205
0.023157,0.312887,-0.949508,-0.139693,0.293411,-0.945725,-0.05826800000000001,0.303149,-0.9476165000000001
0.028052,0.319123,-0.947298,-0.130574,0.298758,-0.945354,-0.051261,0.3089405,-0.946326
0.025211,0.318097,-0.947723,-0.152037,0.284926,-0.946415,-0.063413,0.30151150000000004,-0.9470689999999999
0.017483,0.323988,-0.945899,-0.150229,0.286976,-0.946085,-0.066373,0.30548200000000003,-0.9459919999999999
0.018869,0.330595,-0.943584,-0.123187,0.294644,-0.947634,-0.052159000000000004,0.31261950000000005,-0.9456089999999999
0.022967,0.326011,-0.945087,-0.145161,0.277929,-0.94957,-0.061097000000000005,0.30196999999999996,-0.9473285
0.021074,0.328614,-0.944229,-0.126579,0.295178,-0.947021,-0.0527525,0.311896,-0.9456249999999999
0.045444,0.388664,-0.920258,-0.166909,0.395363,-0.903233,-0.0607325,0.3920135,-0.9117455
0.05741,0.405021,-0.912503,-0.198682,0.430458,-0.880472,-0.070636,0.41773950000000004,-0.8964875
0.035351,0.392186,-0.919207,-0.135233,0.347446,-0.927897,-0.049941,0.369816,-0.9235519999999999
0.013038,0.392017,-0.919866,-0.12863,0.357081,-0.925174,-0.057796,0.374549,-0.92252
0.013713,0.376159,-0.926454,-0.124006,0.328484,-0.936334,-0.0551465,0.3523215,-0.931394
0.017062,0.351071,-0.936194,-0.12339,0.341781,-0.931644,-0.053164,0.346426,-0.9339189999999999
0.001283,0.341624,-0.939836,-0.121589,0.324557,-0.938019,-0.060153,0.33309049999999996,-0.9389275
0.008477,0.329192,-0.944225,-0.098257,0.322471,-0.941466,-0.04489,0.3258315,-0.9428455
0.01126,0.334717,-0.942252,-0.098031,0.325956,-0.940289,-0.043385499999999994,0.33033650000000003,-0.9412705
0.010809,0.332069,-0.943193,-0.09459,0.322215,-0.941929,-0.0418905,0.327142,-0.942561
0.008892,0.32974,-0.94403,-0.093752,0.321285,-0.94233,-0.04243,0.3255125,-0.94318
0.008226,0.331779,-0.943321,-0.101325,0.314702,-0.943767,-0.0465495,0.3232405,-0.9435439999999999
0.00994,0.334225,-0.942441,-0.111875,0.335857,-0.935245,-0.0509675,0.33504100000000003,-0.938843
0.048698,0.408405,-0.911501,-0.099578,0.390935,-0.915016,-0.02544,0.39966999999999997,-0.9132585
0.026873,0.393162,-0.919077,-0.123558,0.347186,-0.929621,-0.0483425,0.370174,-0.9243490000000001
0.019332,0.383839,-0.923198,-0.149695,0.326553,-0.933249,-0.0651815,0.35519599999999996,-0.9282235
0.016694,0.38077,-0.924519,-0.153453,0.325199,-0.933112,-0.06837950000000001,0.35298450000000003,-0.9288155
0.019662,0.363124,-0.931533,-0.16721,0.31814,-0.933181,-0.073774,0.340632,-0.9323570000000001
0.063663,0.409395,-0.910133,-0.182819,0.39558,-0.900052,-0.059578000000000006,0.4024875,-0.9050925
0.027054,0.399174,-0.916476,-0.09309,0.342946,-0.934731,-0.033018000000000006,0.37105999999999995,-0.9256035
0.020911,0.3839,-0.923138,-0.094458,0.326351,-0.940517,-0.0367735,0.3551255,-0.9318275
0.027153,0.377569,-0.925583,-0.099555,0.325487,-0.940291,-0.036201000000000004,0.351528,-0.932937
0.026892,0.343546,-0.938751,-0.155299,0.327702,-0.93193,-0.0642035,0.33562400000000003,-0.9353405
0.027878,0.340582,-0.939802,-0.153103,0.325751,-0.932977,-0.06261249999999999,0.33316650000000003,-0.9363895
0.031234,0.34131,-0.939432,-0.157805,0.328593,-0.931195,-0.0632855,0.3349515,-0.9353135
0.034061,0.336825,-0.940951,-0.153807,0.327631,-0.932202,-0.059872999999999996,0.33222799999999997,-0.9365764999999999
0.031599,0.3339,-0.942079,-0.159347,0.316431,-0.935136,-0.06387399999999999,0.3251655,-0.9386075
0.033608,0.332062,-0.942659,-0.157514,0.316549,-0.935407,-0.061952999999999994,0.3243055,-0.939033
0.031824,0.335024,-0.941672,-0.160484,0.316491,-0.934922,-0.06433,0.32575750000000003,-0.9382969999999999
0.034614,0.330152,-0.943293,-0.159632,0.314962,-0.935584,-0.062509,0.322557,-0.9394385000000001
