gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.214037,0.084661,-0.97315,0.036119,-0.029629,-0.998908,0.125078,0.027516,-0.986029
0.151043,0.186703,-0.970736,-0.118418,0.186923,-0.975211,0.016312500000000008,0.186813,-0.9729735
0.112515,0.172078,-0.978637,-0.170664,0.114717,-0.978628,-0.029074500000000003,0.1433975,-0.9786325
0.227998,0.106477,-0.967822,-0.019599,-0.051386,-0.998487,0.1041995,0.0275455,-0.9831544999999999
0.188088,0.133669,-0.973014,0.009784,0.025974,-0.999615,0.098936,0.0798215,-0.9863145
0.196624,0.120838,-0.973004,-0.00691,0.01572,-0.999853,0.094857,0.068279,-0.9864284999999999
0.160942,0.13666,-0.977457,-0.015554,0.02119,-0.999654,0.072694,0.078925,-0.9885555
0.160123,0.133774,-0.97799,-0.010873,0.02045,-0.999732,0.074625,0.077112,-0.988861
0.187028,0.117749,-0.975272,-0.02475,0.006,-0.999676,0.081139,0.061874500000000006,-0.987474
0.160161,0.089617,-0.983014,0.010005,-0.00265,-0.999946,0.08508299999999999,0.0434835,-0.99148
0.171105,0.07652,-0.982277,0.008917,-0.001741,-0.999959,0.09001100000000001,0.0373895,-0.9911179999999999
0.150238,0.053524,-0.9872,0.009294,-0.004652,-0.999946,0.079766,0.024436,-0.993573
0.166739,0.095902,-0.981326,-0.001466,0.003968,-0.999991,0.0826365,0.049935,-0.9906585
0.163949,0.062003,-0.984518,0.010334,0.015207,-0.999831,0.08714150000000001,0.038605,-0.9921745
0.175989,0.110392,-0.978183,0.018103,-0.007644,-0.999807,0.09704600000000001,0.051374,-0.9889950000000001
0.168899,0.089958,-0.98152,0.026045,-0.031207,-0.999174,0.097472,0.0293755,-0.990347
0.191547,0.085027,-0.977794,0.04259,-0.00891,-0.999053,0.11706849999999999,0.0380585,-0.9884235
0.152512,0.095703,-0.983657,0.036859,0.007087,-0.999295,0.0946855,0.051394999999999996,-0.991476
0.138942,0.12688,-0.982139,0.026366,0.010563,-0.999597,0.082654,0.06872149999999999,-0.990868
0.136402,0.123223,-0.98296,0.024357,0.015829,-0.999578,0.08037949999999999,0.069526,-0.991269
0.150436,0.138079,-0.97893,0.008008,0.043044,-0.999041,0.07922199999999999,0.0905615,-0.9889855
0.205887,0.177022,-0.962431,-0.173953,0.208376,-0.962455,0.015966999999999995,0.192699,-0.9624429999999999
0.080352,0.198511,-0.976799,-0.06517,0.135283,-0.988661,0.0075910000000000005,0.166897,-0.98273
0.202293,0.151043,-0.967607,-0.022045,0.089052,-0.995783,0.090124,0.1200475,-0.981695
0.095731,0.185194,-0.978028,-0.181737,0.182234,-0.966314,-0.043003000000000006,0.183714,-0.972171
0.224091,0.136809,-0.964918,0.011605,0.023943,-0.999646,0.11784800000000001,0.08037599999999999,-0.9822820000000001
0.207078,0.087327,-0.974419,-0.081114,-0.045976,-0.995644,0.06298200000000001,0.0206755,-0.9850315000000001
0.181858,0.093712,-0.978849,-0.097851,-0.05247,-0.993817,0.0420035,0.020621,-0.9863329999999999
0.254943,0.103369,-0.961415,-0.03376,0.010311,-0.999377,0.11059149999999998,0.05684,-0.980396
0.231898,0.169603,-0.95784,-0.036721,0.220835,-0.97462,0.0975885,0.195219,-0.96623
