gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.115791,0.372993,-0.920581,-0.040656,0.366691,-0.929454,0.037567500000000004,0.369842,-0.9250175
0.118159,0.36179,-0.924741,-0.041378,0.351893,-0.935125,0.0383905,0.35684150000000003,-0.929933
0.112482,0.354462,-0.92828,-0.050436,0.350979,-0.935024,0.031023,0.3527205,-0.9316519999999999
0.117323,0.379819,-0.917591,-0.014077,0.36851,-0.929517,0.051623,0.3741645,-0.923554
0.130324,0.391,-0.911117,-0.041003,0.391071,-0.919447,0.0446605,0.3910355,-0.9152819999999999
0.125367,0.381099,-0.915995,-0.020353,0.368541,-0.929389,0.052507000000000005,0.37482000000000004,-0.9226920000000001
0.129318,0.395045,-0.909515,-0.025911,0.360355,-0.932455,0.05170349999999999,0.3777,-0.9209849999999999
0.134117,0.394782,-0.908933,-0.037684,0.352564,-0.935028,0.048216499999999995,0.37367300000000003,-0.9219805
0.085946,0.401922,-0.911631,-0.086022,0.356521,-0.930319,-3.800000000000331e-05,0.3792215,-0.920975
0.108161,0.396797,-0.911512,-0.08096,0.359969,-0.929445,0.013600499999999995,0.378383,-0.9204785
0.109082,0.394854,-0.912245,-0.026606,0.350825,-0.936063,0.041238,0.3728395,-0.9241539999999999
0.082999,0.379276,-0.921554,-0.013209,0.330001,-0.943888,0.034895,0.35463849999999997,-0.9327209999999999
0.07925,0.384411,-0.919754,0.016374,0.366212,-0.930387,0.047812,0.3753115,-0.9250704999999999
0.079281,0.384165,-0.919854,0.020494,0.379861,-0.924816,0.0498875,0.382013,-0.9223349999999999
0.075234,0.384923,-0.919877,0.019081,0.371515,-0.928231,0.0471575,0.37821899999999997,-0.9240539999999999
0.065648,0.379075,-0.923035,0.018678,0.366294,-0.930312,0.042163,0.3726845,-0.9266735
0.215589,0.4162,-0.883345,-0.042407,0.432592,-0.900592,0.086591,0.424396,-0.8919684999999999
0.191509,0.437459,-0.878609,-0.036134,0.413824,-0.90964,0.0776875,0.4256415,-0.8941245
0.106681,0.366742,-0.924186,-0.003403,0.328798,-0.944394,0.051639,0.34777,-0.93429
0.112288,0.363185,-0.924926,0.001557,0.340909,-0.940095,0.0569225,0.352047,-0.9325105
0.103258,0.367643,-0.924217,0.006142,0.343122,-0.939271,0.0547,0.3553825,-0.9317439999999999
0.091178,0.347693,-0.933164,0.004646,0.337463,-0.941327,0.047911999999999996,0.342578,-0.9372455
0.113795,0.369328,-0.922306,-0.013191,0.336373,-0.941636,0.050302,0.35285049999999996,-0.931971
0.121247,0.345695,-0.93048,-0.014031,0.315135,-0.948943,0.053607999999999996,0.330415,-0.9397115
0.109522,0.348793,-0.930778,-0.017982,0.322268,-0.946478,0.04577,0.3355305,-0.938628
0.121753,0.347401,-0.929779,-0.011225,0.311421,-0.950206,0.055264,0.329411,-0.9399925
0.125785,0.33569,-0.933537,-0.005229,0.304343,-0.952548,0.060278000000000005,0.3200165,-0.9430425
0.116914,0.333298,-0.935544,0.001627,0.282269,-0.959334,0.059270500000000004,0.3077835,-0.947439
0.090917,0.335522,-0.937635,-0.027269,0.321884,-0.946386,0.031824,0.32870299999999997,-0.9420105
0.088442,0.332336,-0.939005,-0.026159,0.343339,-0.938847,0.031141500000000003,0.3378375,-0.9389259999999999
0.091063,0.340493,-0.935827,-0.035823,0.347664,-0.936934,0.027620000000000002,0.34407849999999995,-0.9363805000000001
0.113957,0.359893,-0.926008,0.000876,0.329967,-0.943992,0.0574165,0.34493,-0.935
0.126792,0.355646,-0.92598,-0.059045,0.293241,-0.954214,0.033873499999999994,0.3244435,-0.940097
0.124103,0.417366,-0.900224,-0.077597,0.34743,-0.93449,0.023253000000000003,0.382398,-0.917357
0.124819,0.403309,-0.906511,-0.049074,0.370858,-0.927392,0.0378725,0.3870835,-0.9169514999999999
0.118891,0.376133,-0.918906,-0.019742,0.345284,-0.938291,0.0495745,0.3607085,-0.9285985
0.098832,0.373102,-0.922511,-0.028037,0.370945,-0.928232,0.0353975,0.3720235,-0.9253715
0.091388,0.388121,-0.917066,-0.043484,0.38425,-0.922204,0.023951999999999998,0.38618549999999996,-0.919635
0.106368,0.384479,-0.916985,-0.07403,0.370503,-0.925876,0.016169000000000003,0.377491,-0.9214305
0.127019,0.380439,-0.916042,-0.092842,0.363741,-0.926862,0.0170885,0.37209000000000003,-0.9214519999999999
0.108734,0.381953,-0.917763,-0.069719,0.341497,-0.937293,0.019507499999999997,0.36172499999999996,-0.927528
0.086689,0.354121,-0.931173,-0.027156,0.325497,-0.945153,0.0297665,0.339809,-0.9381630000000001
0.098129,0.343737,-0.933925,-0.0151,0.331749,-0.943247,0.041514499999999996,0.337743,-0.9385859999999999
0.064854,0.347991,-0.935252,-0.005783,0.361168,-0.932483,0.0295355,0.3545795,-0.9338675
0.04706,0.347497,-0.936499,-0.067608,0.305729,-0.949715,-0.010274000000000002,0.326613,-0.9431069999999999
0.052298,0.350496,-0.935103,-0.078633,0.311051,-0.947135,-0.013167499999999999,0.3307735,-0.941119
0.060678,0.372645,-0.925988,-0.112459,0.327142,-0.93826,-0.0258905,0.34989349999999997,-0.932124
0.049094,0.376973,-0.924922,-0.096458,0.292697,-0.951328,-0.023682,0.334835,-0.938125
0.091559,0.397308,-0.913106,-0.053883,0.32405,-0.944504,0.018838,0.36067899999999997,-0.928805
0.09661,0.408129,-0.907798,-0.076998,0.336596,-0.938496,0.009806000000000002,0.37236250000000004,-0.9231469999999999
0.08536,0.411937,-0.907205,-0.078461,0.338942,-0.93753,0.003449500000000001,0.37543950000000004,-0.9223675
0.085525,0.413785,-0.906348,-0.083494,0.331437,-0.939776,0.0010155000000000025,0.372611,-0.923062
0.093123,0.418026,-0.90365,-0.074686,0.348204,-0.934439,0.009218499999999998,0.383115,-0.9190445
0.09213,0.39939,-0.91214,-0.055206,0.326326,-0.943644,0.018462000000000003,0.362858,-0.9278919999999999
0.063532,0.394057,-0.916887,-0.058037,0.339126,-0.938949,0.0027475000000000034,0.36659149999999996,-0.927918
0.04915,0.403519,-0.91365,-0.072333,0.334051,-0.939776,-0.011591499999999998,0.36878500000000003,-0.9267129999999999
0.086578,0.406867,-0.909375,-0.071613,0.329867,-0.941307,0.007482500000000003,0.368367,-0.925341
0.207348,0.464209,-0.861114,-0.113753,0.460039,-0.880582,0.0467975,0.462124,-0.8708480000000001
0.087546,0.42436,-0.901251,-0.071139,0.392542,-0.916979,0.008203500000000002,0.408451,-0.909115
0.050632,0.412315,-0.909633,-0.105149,0.345194,-0.932623,-0.0272585,0.3787545,-0.921128
0.052121,0.399487,-0.915256,-0.115473,0.339551,-0.933473,-0.031676,0.369519,-0.9243645
0.083166,0.394655,-0.915058,-0.090111,0.315601,-0.944604,-0.0034724999999999964,0.355128,-0.9298310000000001
0.084144,0.380007,-0.921148,-0.077236,0.303907,-0.949566,0.0034539999999999987,0.34195699999999996,-0.935357
0.081331,0.400975,-0.912471,-0.024251,0.346808,-0.937623,0.02854,0.37389150000000004,-0.925047
0.131172,0.393908,-0.909742,-0.056352,0.410206,-0.91025,0.037410000000000006,0.402057,-0.909996
0.126209,0.388539,-0.912748,-0.125357,0.403068,-0.906544,0.0004259999999999958,0.3958035,-0.909646
0.086323,0.394898,-0.91466,-0.081012,0.29149,-0.953137,0.002655499999999998,0.343194,-0.9338985
0.09199,0.380917,-0.920022,-0.017436,0.292309,-0.956165,0.037277000000000005,0.336613,-0.9380935
0.085659,0.390791,-0.916485,-0.015261,0.320282,-0.947199,0.035199,0.35553650000000003,-0.9318420000000001
0.05069,0.346466,-0.936692,-0.028532,0.318279,-0.947568,0.011079,0.33237249999999996,-0.9421299999999999
0.047589,0.342556,-0.938291,-0.014367,0.318459,-0.947828,0.016611,0.3305075,-0.9430594999999999
0.048749,0.340193,-0.939091,-0.037511,0.31751,-0.947513,0.005618999999999999,0.3288515,-0.9433020000000001
0.055807,0.379391,-0.923552,-0.024748,0.375984,-0.926296,0.015529500000000002,0.37768749999999995,-0.9249240000000001
0.073498,0.377366,-0.923143,-0.017819,0.375215,-0.926767,0.027839499999999996,0.37629049999999997,-0.924955
0.07193,0.385075,-0.920078,-0.034431,0.376945,-0.925596,0.018749499999999995,0.38100999999999996,-0.9228369999999999
0.103559,0.357355,-0.92821,-0.029547,0.325746,-0.944995,0.037006,0.3415505,-0.9366025
0.085715,0.358026,-0.929769,-0.026939,0.324431,-0.945526,0.029387999999999997,0.34122850000000005,-0.9376475
0.091947,0.363552,-0.927025,-0.027604,0.355618,-0.934224,0.0321715,0.359585,-0.9306245
0.108773,0.37217,-0.921769,-0.006867,0.345223,-0.938496,0.050953,0.3586965,-0.9301325
0.105094,0.395205,-0.912561,-0.010723,0.358901,-0.933314,0.047185500000000005,0.37705299999999997,-0.9229375
0.108454,0.401583,-0.909378,-0.049239,0.345114,-0.937268,0.0296075,0.37334849999999997,-0.923323
0.118345,0.404907,-0.906667,-0.027791,0.339067,-0.940351,0.045277000000000005,0.371987,-0.923509
0.106817,0.406798,-0.907251,-0.033637,0.340208,-0.939748,0.03659,0.37350300000000003,-0.9234995
0.087528,0.414943,-0.905628,-0.094263,0.380218,-0.920081,-0.0033675000000000024,0.3975805,-0.9128545
0.077997,0.399405,-0.913451,-0.098829,0.377,-0.920926,-0.010416000000000002,0.3882025,-0.9171885
0.147616,0.365893,-0.918875,-0.050307,0.370788,-0.927354,0.0486545,0.3683405,-0.9231145000000001
0.113419,0.379865,-0.918062,-0.096063,0.380155,-0.919921,0.008678000000000005,0.38001,-0.9189915
0.110623,0.374021,-0.920799,-0.103862,0.371835,-0.92247,0.0033805000000000016,0.37292800000000004,-0.9216345
0.104281,0.370036,-0.923146,-0.10211,0.382457,-0.918314,0.0010854999999999962,0.3762465,-0.92073
0.207977,0.387459,-0.898121,-0.114739,0.394492,-0.911708,0.046619,0.39097550000000003,-0.9049145
0.070036,0.368177,-0.927114,-0.088474,0.321231,-0.942859,-0.009218999999999998,0.344704,-0.9349864999999999
0.12386,0.374512,-0.918912,-0.086441,0.393115,-0.915417,0.018709499999999997,0.38381350000000003,-0.9171644999999999
0.122151,0.373923,-0.91938,-0.065968,0.362275,-0.929734,0.0280915,0.368099,-0.924557
0.091226,0.381582,-0.919822,-0.019134,0.364241,-0.931108,0.036046,0.37291149999999995,-0.925465
0.081506,0.360274,-0.929279,-0.064904,0.328502,-0.942271,0.008300999999999996,0.344388,-0.935775
0.083459,0.35594,-0.930775,-0.059832,0.317066,-0.946514,0.011813500000000001,0.336503,-0.9386445
0.065976,0.343394,-0.936871,-0.050535,0.300024,-0.952592,0.007720500000000005,0.321709,-0.9447315000000001
0.057438,0.356083,-0.932687,-0.03978,0.312513,-0.94908,0.008829,0.334298,-0.9408835
0.072346,0.364157,-0.928523,-0.001525,0.318389,-0.947959,0.0354105,0.341273,-0.938241
0.055288,0.363275,-0.93004,-0.01814,0.317959,-0.947931,0.018574,0.340617,-0.9389855
0.084282,0.372387,-0.924243,-0.04287,0.332242,-0.942219,0.020706,0.3523145,-0.933231
0.064002,0.369718,-0.926937,-0.052511,0.32619,-0.943845,0.005745500000000001,0.347954,-0.9353910000000001
0.08418,0.382037,-0.920305,-0.067447,0.336592,-0.939232,0.008366500000000006,0.3593145,-0.9297685
0.060323,0.374187,-0.925389,-0.034813,0.31926,-0.947027,0.012755000000000002,0.34672349999999996,-0.9362079999999999
0.071503,0.371231,-0.925783,-0.05273,0.352506,-0.934323,0.009386499999999999,0.3618685,-0.930053
0.065245,0.378756,-0.923194,-0.099799,0.356499,-0.92895,-0.017277,0.3676275,-0.926072
0.071412,0.369936,-0.926309,-0.102351,0.35408,-0.929598,-0.015469499999999997,0.362008,-0.9279535000000001
0.063808,0.36673,-0.928137,-0.103234,0.345612,-0.932682,-0.019713,0.356171,-0.9304095
0.097915,0.388913,-0.916057,-0.066543,0.324654,-0.943489,0.015686,0.35678350000000003,-0.929773
0.114403,0.411661,-0.904128,-0.077262,0.431278,-0.898905,0.018570500000000004,0.4214695,-0.9015165
0.089016,0.387252,-0.917666,-0.114238,0.349186,-0.930064,-0.012611000000000004,0.36821899999999996,-0.9238649999999999
0.08201,0.377819,-0.92224,-0.09496,0.321945,-0.941984,-0.006475000000000002,0.349882,-0.932112
0.076999,0.352944,-0.932471,-0.082893,0.319369,-0.943998,-0.0029469999999999982,0.33615649999999997,-0.9382345000000001
0.050454,0.361082,-0.931168,-0.10067,0.338808,-0.935454,-0.025108,0.349945,-0.933311
0.047934,0.362686,-0.930678,-0.099548,0.328006,-0.939416,-0.025807,0.34534600000000004,-0.935047
0.054407,0.35906,-0.931728,-0.10569,0.327907,-0.938779,-0.025641500000000005,0.3434835,-0.9352535
0.043302,0.359321,-0.932209,-0.107823,0.317509,-0.942105,-0.0322605,0.338415,-0.937157
0.034225,0.370971,-0.928014,-0.085933,0.302939,-0.949128,-0.025854,0.336955,-0.938571
