gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.089815,0.233236,-0.968263,-0.060622,0.289218,-0.955342,0.014596500000000002,0.261227,-0.9618025
0.084628,0.205531,-0.974985,-0.080994,0.196308,-0.977191,0.0018169999999999992,0.2009195,-0.9760880000000001
0.091621,0.184011,-0.978645,-0.045296,0.24745,-0.967841,0.023162499999999996,0.2157305,-0.973243
0.016627,0.207601,-0.978072,-0.015994,0.181677,-0.983228,0.0003164999999999991,0.194639,-0.98065
0.03538,0.197948,-0.979574,-0.011403,0.180537,-0.983502,0.011988500000000001,0.1892425,-0.981538
0.079651,0.180883,-0.980274,0.004873,0.176077,-0.984364,0.042262,0.17848,-0.9823189999999999
0.073064,0.185372,-0.979948,0.008852,0.17497,-0.984534,0.040958,0.180171,-0.982241
0.032139,0.165226,-0.985732,-0.002086,0.155088,-0.987898,0.0150265,0.160157,-0.986815
0.030415,0.164445,-0.985917,-0.005327,0.153613,-0.988117,0.012544,0.159029,-0.987017
0.055396,0.197068,-0.978824,0.000145,0.184409,-0.98285,0.0277705,0.19073849999999998,-0.980837
0.055511,0.203236,-0.977555,0.000183,0.185315,-0.982679,0.027847,0.1942755,-0.9801169999999999
0.045814,0.185651,-0.981547,-0.033749,0.138713,-0.989757,0.0060325,0.162182,-0.985652
0.037522,0.183549,-0.982294,0.003913,0.107852,-0.994159,0.0207175,0.1457005,-0.9882265
0.100305,0.16441,-0.981279,0.02747,0.13298,-0.990738,0.0638875,0.148695,-0.9860085000000001
0.096228,0.155375,-0.983157,0.040013,0.107333,-0.993418,0.0681205,0.131354,-0.9882875
0.089482,0.153107,-0.98415,0.039359,0.085093,-0.995595,0.0644205,0.1191,-0.9898724999999999
0.069301,0.144866,-0.987021,0.049175,0.095683,-0.994196,0.059238,0.1202745,-0.9906085
0.081137,0.144752,-0.986136,0.056173,0.078405,-0.995338,0.068655,0.1115785,-0.990737
0.079966,0.159022,-0.984031,0.037901,0.098877,-0.994378,0.0589335,0.1289495,-0.9892045
-0.005314,0.180221,-0.983612,0.008294,0.131276,-0.991311,0.0014899999999999996,0.1557485,-0.9874615
0.003984,0.191602,-0.981465,0.007612,0.160295,-0.98704,0.005797999999999999,0.1759485,-0.9842525
-0.00288,0.196051,-0.980589,-0.027513,0.13945,-0.989847,-0.0151965,0.1677505,-0.985218
0.042081,0.172417,-0.984125,-0.025717,0.115555,-0.992968,0.008182,0.143986,-0.9885465
0.033083,0.172932,-0.984378,-0.03536,0.091744,-0.995155,-0.0011385000000000006,0.132338,-0.9897665
0.043099,0.187259,-0.981365,0.01242,0.127307,-0.991786,0.0277595,0.157283,-0.9865755
0.047535,0.172692,-0.983828,0.000596,0.1487,-0.988882,0.0240655,0.160696,-0.9863550000000001
0.037398,0.194577,-0.980174,-0.002489,0.153506,-0.988145,0.0174545,0.17404150000000002,-0.9841595000000001
0.02069,0.205644,-0.978408,-0.021493,0.179795,-0.983469,-0.0004015000000000008,0.1927195,-0.9809385
0.022508,0.192698,-0.981,-0.015862,0.15667,-0.987524,0.0033229999999999996,0.174684,-0.984262
0.015193,0.175392,-0.984381,-0.01836,0.144179,-0.989381,-0.0015835000000000007,0.1597855,-0.9868809999999999
0.024638,0.207787,-0.977864,-0.017476,0.161585,-0.986704,0.003581000000000001,0.18468600000000002,-0.9822839999999999
0.06079,0.19863,-0.978188,-0.013334,0.155611,-0.987728,0.023728,0.17712050000000001,-0.982958
0.051464,0.195805,-0.979291,0.00327,0.133745,-0.99101,0.027367000000000002,0.164775,-0.9851505
0.031505,0.18434,-0.982358,0.014823,0.127847,-0.991683,0.023163999999999997,0.1560935,-0.9870205
0.046131,0.179978,-0.982588,-0.032662,0.151387,-0.987935,0.006734500000000001,0.1656825,-0.9852615
0.027579,0.18568,-0.982223,-0.036483,0.150957,-0.987867,-0.004452000000000001,0.1683185,-0.985045
0.064287,0.187757,-0.98011,0.013321,0.143567,-0.989551,0.038804,0.165662,-0.9848304999999999
0.065521,0.190893,-0.979422,0.012571,0.133555,-0.990962,0.039046,0.162224,-0.9851920000000001
0.08257,0.194838,-0.977354,-0.005604,0.159232,-0.987225,0.038483,0.177035,-0.9822895
0.077183,0.187045,-0.979315,0.00793,0.126837,-0.991892,0.0425565,0.156941,-0.9856035000000001
0.086267,0.175658,-0.980664,-0.004949,0.169015,-0.985601,0.040659,0.1723365,-0.9831325
0.080551,0.172089,-0.981782,0.014571,0.151891,-0.98829,0.047561,0.16199,-0.985036
0.08125,0.160774,-0.983641,-0.008918,0.143364,-0.98963,0.036166000000000004,0.152069,-0.9866355
0.013834,0.194197,-0.980865,-0.023814,0.136132,-0.990404,-0.004989999999999999,0.1651645,-0.9856345
0.007649,0.196273,-0.98052,-0.026252,0.131439,-0.990977,-0.0093015,0.163856,-0.9857484999999999
0.006184,0.197941,-0.980194,-0.026341,0.134995,-0.990496,-0.0100785,0.166468,-0.985345
0.003963,0.196974,-0.980401,-0.019988,0.139972,-0.989954,-0.008012499999999999,0.168473,-0.9851775
0.040018,0.174365,-0.983868,0.009781,0.119801,-0.99275,0.024899499999999998,0.147083,-0.988309
0.053585,0.162547,-0.985245,0.018267,0.125401,-0.991938,0.035926,0.143974,-0.9885915000000001
0.054601,0.161032,-0.985438,0.034438,0.132407,-0.990597,0.044519500000000004,0.1467195,-0.9880175
0.071737,0.152264,-0.985733,0.024946,0.156487,-0.987365,0.048341499999999996,0.1543755,-0.986549
0.062492,0.154187,-0.986063,0.000977,0.147231,-0.989102,0.0317345,0.15070899999999998,-0.9875825
0.066996,0.150049,-0.986406,0.007441,0.137278,-0.990505,0.0372185,0.1436635,-0.9884554999999999
0.002793,0.164256,-0.986414,-0.048451,0.120748,-0.9915,-0.022829000000000002,0.14250200000000002,-0.9889570000000001
3e-05,0.173603,-0.984816,-0.042904,0.116297,-0.992287,-0.021436999999999998,0.14495,-0.9885515
0.02105,0.174142,-0.984495,-0.033942,0.129795,-0.99096,-0.006446,0.1519685,-0.9877275
0.110841,0.247861,-0.962434,-0.158404,0.299437,-0.940875,-0.023781499999999997,0.27364900000000003,-0.9516545000000001
0.044714,0.153667,-0.987111,-0.029818,0.121331,-0.992164,0.007447999999999998,0.13749899999999998,-0.9896375
0.063133,0.110934,-0.99182,0.003837,0.13616,-0.990679,0.033485,0.123547,-0.9912495
0.064935,0.113731,-0.991387,-0.013477,0.053063,-0.9985,0.025729000000000002,0.083397,-0.9949435
0.056639,0.094516,-0.993911,-0.016921,0.017006,-0.999712,0.019859,0.055761000000000005,-0.9968115
0.017708,-0.019301,-0.999657,-0.017943,0.020189,-0.999635,-0.00011749999999999955,0.00044399999999999995,-0.999646
0.002874,-0.012045,-0.999923,-0.01146,-0.034261,-0.999347,-0.004293,-0.023153,-0.999635
-0.010048,0.015169,-0.999834,0.010994,0.0539,-0.998486,0.00047300000000000033,0.0345345,-0.99916
-0.094229,0.02329,-0.995278,-0.016019,0.091603,-0.995667,-0.05512399999999999,0.057446500000000005,-0.9954725
-0.078775,0.021641,-0.996657,-0.022314,0.060569,-0.997915,-0.0505445,0.041105,-0.997286
0.102003,0.264778,-0.958899,-0.143745,0.297725,-0.943768,-0.020871000000000008,0.2812515,-0.9513335
0.113507,0.222657,-0.968267,-0.158475,0.256647,-0.953424,-0.022484000000000004,0.239652,-0.9608455
0.045391,0.18189,-0.982271,-0.08442,0.208248,-0.974426,-0.019514499999999997,0.195069,-0.9783485000000001
0.027408,0.176288,-0.983957,-0.082508,0.188633,-0.978575,-0.027549999999999998,0.1824605,-0.981266
0.039979,0.164044,-0.985642,-0.032,0.112279,-0.993161,0.0039895,0.1381615,-0.9894015
0.026085,0.152107,-0.98802,-0.029922,0.120774,-0.992229,-0.0019185,0.1364405,-0.9901245000000001
0.018332,0.153834,-0.987927,-0.019363,0.121785,-0.992368,-0.0005154999999999986,0.1378095,-0.9901475
0.041319,0.16378,-0.985631,-0.026434,0.148009,-0.988633,0.007442500000000001,0.1558945,-0.987132
0.048497,0.168748,-0.984465,0.006023,0.122796,-0.992414,0.02726,0.145772,-0.9884395
0.051852,0.160752,-0.985632,0.000892,0.122588,-0.992457,0.026372,0.14167000000000002,-0.9890445
0.042925,0.173792,-0.983846,0.008302,0.115466,-0.993277,0.025613499999999997,0.144629,-0.9885615
0.064381,0.181053,-0.981364,0.053265,0.144954,-0.988004,0.058823,0.1630035,-0.984684
0.085122,0.150957,-0.984869,0.038704,0.133974,-0.990229,0.061913,0.14246550000000002,-0.987549
0.082733,0.148233,-0.985486,0.031606,0.140923,-0.989516,0.0571695,0.14457799999999998,-0.987501
0.07827,0.135274,-0.987712,0.02351,0.134604,-0.990621,0.050890000000000005,0.134939,-0.9891665000000001
0.034436,0.132792,-0.990546,0.002794,0.120237,-0.992741,0.018615,0.1265145,-0.9916435
0.034184,0.137633,-0.989893,0.003781,0.106634,-0.994291,0.0189825,0.1221335,-0.992092
0.070429,0.134387,-0.988423,0.020164,0.111321,-0.99358,0.0452965,0.122854,-0.9910015000000001
0.074042,0.138844,-0.987542,0.019708,0.1545,-0.987796,0.046875,0.146672,-0.987669
0.06731,0.141951,-0.987583,0.024733,0.124162,-0.991954,0.0460215,0.1330565,-0.9897685
0.097387,0.127304,-0.987071,0.026517,0.123143,-0.992035,0.061952,0.1252235,-0.989553
0.087063,0.124094,-0.988444,0.031099,0.124555,-0.991725,0.059081,0.1243245,-0.9900845
0.095209,0.137508,-0.985914,0.036148,0.132631,-0.990506,0.0656785,0.1350695,-0.98821
0.090394,0.13893,-0.986168,0.035016,0.13207,-0.990622,0.062705,0.1355,-0.988395
0.092064,0.146225,-0.984958,0.032535,0.134083,-0.990436,0.062299499999999994,0.140154,-0.987697
0.091686,0.150069,-0.984415,0.023796,0.127759,-0.99152,0.057741,0.138914,-0.9879675
0.048259,0.145731,-0.988146,0.040946,0.116473,-0.992349,0.0446025,0.131102,-0.9902475
0.046886,0.165489,-0.985096,-0.003144,0.144606,-0.989484,0.021870999999999998,0.1550475,-0.98729
0.036725,0.164472,-0.985698,0.008405,0.130835,-0.991368,0.022565,0.1476535,-0.988533
0.049318,0.146777,-0.987939,-0.013086,0.11575,-0.993192,0.018116,0.1312635,-0.9905655
0.046954,0.148877,-0.98774,-0.012567,0.117474,-0.992996,0.0171935,0.1331755,-0.9903679999999999
0.039638,0.142757,-0.988964,0.001063,0.113564,-0.99353,0.0203505,0.1281605,-0.991247
0.044833,0.132016,-0.990233,-0.006812,0.128747,-0.991654,0.0190105,0.13038149999999998,-0.9909435
0.058308,0.140744,-0.988328,-0.003808,0.146318,-0.98923,0.02725,0.14353100000000002,-0.9887790000000001
0.057963,0.1466,-0.987496,-0.014207,0.122671,-0.992346,0.021878,0.13463550000000002,-0.989921
0.033535,0.113226,-0.993003,-0.009023,0.117091,-0.99308,0.012256000000000001,0.1151585,-0.9930414999999999
0.038387,0.141484,-0.989196,0.014448,0.129484,-0.991476,0.0264175,0.135484,-0.990336
0.026593,0.140689,-0.989697,0.007776,0.121355,-0.992579,0.0171845,0.131022,-0.9911380000000001
0.03468,0.146253,-0.988639,0.005278,0.12045,-0.992705,0.019979,0.1333515,-0.990672
0.030086,0.170131,-0.984962,0.001448,0.165622,-0.986188,0.015767,0.16787649999999998,-0.985575
0.036076,0.157017,-0.986937,0.00343,0.13284,-0.991132,0.019753,0.14492850000000002,-0.9890345
0.03137,0.159485,-0.986702,-0.003127,0.131708,-0.991284,0.0141215,0.1455965,-0.988993
0.052337,0.163386,-0.985173,-0.005354,0.123474,-0.992333,0.023491500000000002,0.14343,-0.988753
0.055509,0.161591,-0.985295,-0.001174,0.119655,-0.992815,0.0271675,0.140623,-0.989055
0.055865,0.167547,-0.98428,-0.003744,0.134252,-0.99094,0.0260605,0.15089950000000002,-0.9876100000000001
0.058354,0.163284,-0.984852,-0.015376,0.141013,-0.989888,0.021489,0.15214850000000002,-0.98737
0.046551,0.17899,-0.982749,-0.027855,0.161072,-0.986549,0.009348,0.170031,-0.984649
0.036047,0.167125,-0.985277,-0.018575,0.143857,-0.989424,0.008736,0.155491,-0.9873505
0.041516,0.157142,-0.986703,-0.018305,0.133798,-0.99084,0.0116055,0.14547,-0.9887715
0.031439,0.168601,-0.985183,-0.018256,0.131757,-0.991114,0.0065915,0.150179,-0.9881485000000001
0.038843,0.168401,-0.984953,-0.004994,0.116907,-0.99313,0.016924500000000002,0.142654,-0.9890414999999999
0.041568,0.153489,-0.987276,0.016365,0.099936,-0.994859,0.0289665,0.1267125,-0.9910675
0.046477,0.149099,-0.987729,0.016394,0.087097,-0.996065,0.0314355,0.11809800000000001,-0.991897
0.051805,0.156347,-0.986343,0.017994,0.100113,-0.994813,0.0348995,0.12823,-0.990578
0.050287,0.157517,-0.986235,0.012988,0.128581,-0.991614,0.0316375,0.14304899999999998,-0.9889245
0.050817,0.142164,-0.988538,-0.037689,0.101662,-0.994105,0.006564,0.12191300000000001,-0.9913215
0.135999,0.206535,-0.968941,-0.124684,0.302696,-0.944896,0.005657500000000003,0.2546155,-0.9569185
0.106233,0.210103,-0.97189,-0.066464,0.27503,-0.959136,0.0198845,0.24256650000000002,-0.9655130000000001
0.083395,0.219205,-0.972108,-0.078172,0.281193,-0.956462,0.0026114999999999958,0.250199,-0.9642850000000001
0.110047,0.223662,-0.968434,-0.186575,0.303336,-0.93444,-0.03826399999999999,0.263499,-0.9514370000000001
0.017057,0.120794,-0.992531,-0.053903,0.23127,-0.971395,-0.018423000000000002,0.176032,-0.981963
0.010464,0.155769,-0.987738,-0.025838,0.116558,-0.992848,-0.007687,0.1361635,-0.990293
0.021252,0.164461,-0.986155,-0.026193,0.119084,-0.992539,-0.0024705000000000005,0.1417725,-0.989347
