gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.135037,0.314299,-0.939671,-0.051244,0.304045,-0.951278,0.041896499999999996,0.309172,-0.9454745
0.137961,0.314191,-0.939282,-0.049023,0.300895,-0.952397,0.044469,0.307543,-0.9458394999999999
0.14231,0.319087,-0.93698,-0.044232,0.299752,-0.952991,0.049039,0.3094195,-0.9449855
0.137359,0.316965,-0.938438,-0.044721,0.294216,-0.954692,0.046319000000000006,0.3055905,-0.946565
0.14057,0.324575,-0.935356,-0.029781,0.314578,-0.948764,0.0553945,0.31957650000000004,-0.94206
0.149134,0.343299,-0.927311,-0.013402,0.337376,-0.941274,0.067866,0.3403375,-0.9342925
0.150107,0.338788,-0.928811,-0.018071,0.305349,-0.952069,0.066018,0.3220685,-0.94044
0.112443,0.402545,-0.908468,-0.033636,0.3758,-0.92609,0.0394035,0.38917250000000003,-0.917279
0.099814,0.337935,-0.935862,-0.062712,0.279871,-0.957987,0.018550999999999998,0.308903,-0.9469245
0.113781,0.312612,-0.943042,-0.079087,0.274077,-0.95845,0.017346999999999994,0.2933445,-0.9507460000000001
0.122037,0.284237,-0.950955,-0.065828,0.251545,-0.965604,0.028104500000000004,0.267891,-0.9582795
0.131838,0.313534,-0.94038,-0.029184,0.26592,-0.963553,0.051327000000000005,0.28972699999999996,-0.9519664999999999
0.107652,0.303033,-0.94688,-0.01343,0.280858,-0.959655,0.047111,0.29194549999999997,-0.9532675
0.100094,0.304787,-0.947146,-0.026799,0.281146,-0.959291,0.0366475,0.2929665,-0.9532185
0.115526,0.30052,-0.946753,-0.004238,0.301372,-0.953497,0.055644,0.300946,-0.950125
0.165178,0.311396,-0.935814,-0.018342,0.309172,-0.950829,0.073418,0.310284,-0.9433215
0.166241,0.313373,-0.934966,-0.006162,0.319055,-0.947716,0.0800395,0.316214,-0.941341
0.170637,0.31448,-0.933802,0.00267,0.332691,-0.943032,0.08665350000000001,0.32358549999999997,-0.9384170000000001
0.161933,0.325427,-0.931598,0.008192,0.352737,-0.935687,0.0850625,0.339082,-0.9336425
0.171897,0.331844,-0.92754,0.01489,0.309896,-0.950654,0.09339349999999999,0.32087,-0.9390970000000001
0.160141,0.329982,-0.930305,0.018526,0.30437,-0.952374,0.08933350000000001,0.317176,-0.9413395
0.164719,0.316905,-0.934044,0.016347,0.310733,-0.950357,0.090533,0.31381899999999996,-0.9422005
0.156938,0.325038,-0.932588,0.023967,0.321267,-0.946685,0.09045249999999999,0.3231525,-0.9396365
0.16074,0.326129,-0.931559,0.029356,0.323106,-0.945907,0.095048,0.3246175,-0.938733
0.155277,0.33019,-0.931055,0.025406,0.328885,-0.944028,0.0903415,0.3295375,-0.9375415
0.113143,0.327266,-0.938134,-0.014334,0.298911,-0.954173,0.0494045,0.3130885,-0.9461535000000001
0.112842,0.339298,-0.933886,-0.041679,0.289375,-0.956308,0.0355815,0.3143365,-0.9450970000000001
0.111263,0.330318,-0.937289,-0.035613,0.276058,-0.960481,0.037825,0.303188,-0.948885
0.11418,0.341498,-0.932921,-0.011395,0.301671,-0.953344,0.0513925,0.32158450000000005,-0.9431324999999999
0.148696,0.328297,-0.932797,0.025696,0.305774,-0.951757,0.087196,0.3170355,-0.942277
0.141507,0.328952,-0.933684,-0.013015,0.311697,-0.950093,0.064246,0.3203245,-0.9418884999999999
0.137698,0.330848,-0.933584,-0.026363,0.30862,-0.95082,0.055667499999999995,0.31973399999999996,-0.942202
0.140124,0.396837,-0.907131,-0.044694,0.38919,-0.920073,0.047715,0.3930135,-0.913602
0.140339,0.374844,-0.916404,-0.044739,0.333165,-0.941806,0.047799999999999995,0.3540045,-0.9291050000000001
0.123342,0.366847,-0.922068,-0.003114,0.261236,-0.96527,0.060113999999999994,0.3140415,-0.943669
0.095092,0.357341,-0.929121,-0.014283,0.284729,-0.958502,0.040404499999999996,0.321035,-0.9438115
0.099898,0.31944,-0.942326,-0.043933,0.292304,-0.955316,0.0279825,0.30587200000000003,-0.948821
0.105544,0.318294,-0.942098,-0.049913,0.272491,-0.960863,0.0278155,0.2953925,-0.9514805
0.118146,0.335535,-0.93459,-0.034639,0.324393,-0.945288,0.0417535,0.32996400000000004,-0.9399390000000001
0.133509,0.321204,-0.937552,-0.023835,0.332281,-0.942879,0.054837,0.3267425,-0.9402155000000001
0.129278,0.309569,-0.942048,-0.011744,0.310586,-0.950473,0.058767,0.3100775,-0.9462605
0.124797,0.321927,-0.938504,-0.01983,0.321905,-0.946564,0.0524835,0.321916,-0.942534
0.124577,0.320822,-0.938911,-0.01968,0.314148,-0.94917,0.052448499999999995,0.317485,-0.9440405000000001
0.125239,0.329011,-0.935984,-0.017643,0.320424,-0.94711,0.053798,0.3247175,-0.941547
0.126727,0.326658,-0.936608,-0.020407,0.321087,-0.94683,0.05316,0.3238725,-0.941719
0.143809,0.309607,-0.939927,-0.020541,0.330487,-0.943587,0.061633999999999994,0.32004699999999997,-0.941757
0.1763,0.381208,-0.907523,-0.119214,0.377653,-0.918241,0.028543000000000006,0.3794305,-0.912882
0.112948,0.367581,-0.923107,-0.036005,0.328325,-0.943878,0.038471500000000006,0.34795299999999996,-0.9334925000000001
0.091633,0.349905,-0.932293,0.010068,0.295353,-0.955335,0.05085050000000001,0.322629,-0.943814
0.088945,0.306675,-0.947649,0.01479,0.277395,-0.960642,0.0518675,0.292035,-0.9541455
0.099693,0.289292,-0.952035,-0.005385,0.282968,-0.959114,0.047154,0.28613,-0.9555745
0.111366,0.308832,-0.944574,-0.010218,0.289753,-0.957047,0.050574,0.29929249999999996,-0.9508105
0.113745,0.29921,-0.947384,-0.004374,0.273322,-0.961913,0.0546855,0.286266,-0.9546485
0.121399,0.294747,-0.947833,0.024907,0.281768,-0.959159,0.073153,0.2882575,-0.953496
0.106029,0.291604,-0.950644,0.051617,0.282114,-0.957991,0.078823,0.286859,-0.9543175
0.114222,0.290501,-0.950033,0.075173,0.274183,-0.958735,0.0946975,0.282342,-0.954384
0.134861,0.27416,-0.952181,0.057195,0.248794,-0.966866,0.096028,0.261477,-0.9595235
0.136219,0.282671,-0.949495,0.058582,0.260432,-0.963713,0.0974005,0.2715515,-0.956604
0.142762,0.27395,-0.951089,0.057202,0.25431,-0.96543,0.099982,0.26413,-0.9582595
0.122013,0.276503,-0.953236,0.05876,0.276188,-0.959306,0.0903865,0.2763455,-0.956271
0.137805,0.299577,-0.944067,0.000526,0.303618,-0.952794,0.0691655,0.30159749999999996,-0.9484305
