gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.088131,0.126671,-0.988022,0.002658,0.044054,-0.999026,0.0453945,0.08536250000000001,-0.993524
0.088726,0.121325,-0.988639,8.2e-05,0.040959,-0.999161,0.044404,0.081142,-0.9939
0.095129,0.118999,-0.988327,0.001639,0.043179,-0.999066,0.048384,0.081089,-0.9936965
0.092026,0.11835,-0.988698,0.00221,0.040875,-0.999162,0.047118,0.0796125,-0.99393
0.086887,0.102779,-0.990902,-0.063728,0.067572,-0.995677,0.0115795,0.08517549999999999,-0.9932894999999999
0.098481,0.120968,-0.987759,-0.059914,0.063125,-0.996206,0.0192835,0.0920465,-0.9919825
0.112572,0.106053,-0.987968,-0.056504,0.06414,-0.99634,0.028034000000000003,0.08509649999999999,-0.992154
0.111481,0.12781,-0.985513,-0.005689,0.102207,-0.994747,0.052896,0.11500850000000001,-0.99013
0.13056,0.103265,-0.986048,-0.055571,0.118552,-0.991392,0.0374945,0.1109085,-0.98872
0.104982,0.11994,-0.987215,-0.053124,0.120913,-0.991241,0.025929000000000004,0.1204265,-0.989228
0.128911,0.107179,-0.985847,-0.035362,0.090596,-0.99526,0.0467745,0.09888749999999999,-0.9905535000000001
0.123803,0.108348,-0.986374,-0.079384,0.137984,-0.987248,0.0222095,0.123166,-0.986811
0.131632,0.127957,-0.983006,-0.073291,0.117221,-0.990398,0.029170500000000002,0.122589,-0.986702
0.123589,0.132026,-0.983512,-0.068003,0.108626,-0.991754,0.027793000000000005,0.120326,-0.987633
0.139138,0.177652,-0.974207,-0.04609,0.1195,-0.991764,0.04652400000000001,0.14857599999999999,-0.9829855000000001
0.069376,0.122264,-0.99007,-0.088259,0.112597,-0.989713,-0.009441500000000005,0.1174305,-0.9898914999999999
0.053953,0.110431,-0.992418,-0.080582,0.086188,-0.993015,-0.0133145,0.0983095,-0.9927165
0.055573,0.10624,-0.992786,-0.08396,0.113014,-0.99004,-0.014193500000000005,0.109627,-0.991413
0.041047,0.107778,-0.993327,-0.082576,0.108193,-0.990694,-0.020764499999999998,0.1079855,-0.9920104999999999
0.060004,0.09239,-0.993913,-0.07607,0.09287,-0.992768,-0.008032999999999998,0.09262999999999999,-0.9933405
0.049167,0.097617,-0.994009,-0.077578,0.08939,-0.992971,-0.014205499999999996,0.09350349999999999,-0.99349
0.068726,0.093177,-0.993275,-0.044107,0.098548,-0.994154,0.012309499999999998,0.09586249999999999,-0.9937145000000001
0.072832,0.129643,-0.988882,-0.018799,0.074531,-0.997042,0.0270165,0.10208700000000001,-0.992962
0.071281,0.109659,-0.99141,-0.004955,0.098147,-0.99516,0.033163,0.103903,-0.993285
0.089475,0.111293,-0.989751,0.014879,0.112314,-0.993561,0.052177,0.1118035,-0.9916560000000001
0.099803,0.12442,-0.987198,-0.019733,0.078124,-0.996748,0.040035,0.101272,-0.991973
0.086515,0.118278,-0.989205,-0.081056,0.079399,-0.993542,0.002729499999999996,0.0988385,-0.9913735
0.101515,0.134216,-0.985739,-0.047213,0.081562,-0.995549,0.027150999999999998,0.107889,-0.9906440000000001
0.120351,0.113938,-0.986171,-0.03277,0.084155,-0.995914,0.043790499999999996,0.0990465,-0.9910425
0.074326,0.126189,-0.989218,-0.048767,0.042967,-0.997886,0.012779500000000003,0.084578,-0.993552
0.089518,0.098542,-0.991098,-0.08997,0.070734,-0.993429,-0.00022599999999999704,0.084638,-0.9922635
0.117805,0.111874,-0.986715,-0.078485,0.075515,-0.994051,0.019660000000000004,0.0936945,-0.990383
0.127092,0.102636,-0.986567,-0.07605,0.054423,-0.995618,0.025521000000000002,0.0785295,-0.9910924999999999
0.1154,0.085632,-0.989621,-0.07671,0.056274,-0.995464,0.019345,0.070953,-0.9925425
0.037004,0.096928,-0.994603,-0.028509,0.028571,-0.999185,0.004247500000000001,0.0627495,-0.996894
0.061767,0.074943,-0.995273,-0.107231,0.0459,-0.993174,-0.022732000000000002,0.0604215,-0.9942234999999999
0.09006,0.087846,-0.992055,-0.103658,0.082104,-0.991218,-0.0067989999999999995,0.084975,-0.9916365
0.075601,0.095182,-0.992585,-0.091634,0.100466,-0.990712,-0.008016499999999996,0.097824,-0.9916485
0.094211,0.086228,-0.991811,-0.127748,0.058607,-0.990074,-0.0167685,0.0724175,-0.9909425000000001
0.074209,0.09058,-0.99312,-0.115959,0.059369,-0.991478,-0.020875000000000005,0.0749745,-0.992299
0.08233,0.100109,-0.991564,-0.140539,0.059654,-0.988276,-0.0291045,0.0798815,-0.98992
