gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.076485,0.149504,-0.985799,-0.015123,0.167017,-0.985838,0.030681,0.1582605,-0.9858184999999999
0.077853,0.136432,-0.987585,-0.009022,0.207969,-0.978094,0.0344155,0.17220049999999998,-0.9828395000000001
0.079471,0.154759,-0.984751,-0.030425,0.235809,-0.971323,0.024523,0.195284,-0.978037
0.069592,0.132871,-0.988687,-0.011895,0.157423,-0.98746,0.0288485,0.145147,-0.9880735
0.070003,0.126174,-0.989535,-0.00501,0.14563,-0.989326,0.0324965,0.13590200000000002,-0.9894305000000001
0.074274,0.124419,-0.989446,-0.002332,0.146222,-0.989249,0.035971,0.1353205,-0.9893475
0.072404,0.119443,-0.990197,-0.029222,0.119866,-0.99236,0.021591,0.1196545,-0.9912785
0.09457,0.135059,-0.986314,-0.021986,0.110405,-0.993644,0.036292000000000005,0.12273200000000001,-0.9899789999999999
0.145728,0.21839,-0.964919,-0.04173,0.145365,-0.988498,0.051999,0.1818775,-0.9767085
0.134285,0.225312,-0.964988,-0.05281,0.138892,-0.988898,0.040737499999999996,0.18210199999999999,-0.976943
0.120817,0.206715,-0.970913,-0.065147,0.091808,-0.993643,0.027835,0.1492615,-0.982278
0.0936,0.177991,-0.97957,-0.044255,0.11822,-0.992001,0.0246725,0.1481055,-0.9857855
0.117636,0.159274,-0.980201,-0.049811,0.104501,-0.993277,0.0339125,0.1318875,-0.986739
0.072569,0.102582,-0.992074,-0.048625,0.102775,-0.993515,0.011971999999999997,0.1026785,-0.9927945
0.052863,0.160296,-0.985652,-0.053242,0.072307,-0.99596,-0.0001894999999999987,0.1163015,-0.990806
0.054015,0.172594,-0.983511,-0.021737,0.075484,-0.99691,0.016139,0.124039,-0.9902105
0.066834,0.170267,-0.983129,-0.02513,0.080012,-0.996477,0.020852000000000002,0.12513950000000001,-0.989803
0.07557,0.18994,-0.978883,-0.031689,0.081712,-0.996152,0.021940499999999998,0.135826,-0.9875175
0.103728,0.304923,-0.946711,-0.036988,0.183671,-0.982292,0.03337,0.244297,-0.9645015
0.112214,0.316943,-0.941783,-0.077055,0.209214,-0.974829,0.017579499999999998,0.2630785,-0.958306
0.040564,0.152304,-0.987501,-0.049005,0.166794,-0.984773,-0.0042204999999999986,0.159549,-0.986137
0.045057,0.162588,-0.985665,0.001961,0.147872,-0.989005,0.023509,0.15523,-0.9873350000000001
0.042231,0.178832,-0.982973,0.004176,0.128689,-0.991676,0.0232035,0.1537605,-0.9873244999999999
0.029719,0.187236,-0.981865,-0.04331,0.133045,-0.990163,-0.006795500000000001,0.16014050000000002,-0.986014
0.029589,0.189896,-0.981358,-0.033312,0.130781,-0.990852,-0.0018615000000000003,0.1603385,-0.986105
0.02038,0.194692,-0.980653,-0.029289,0.125641,-0.991643,-0.0044545,0.1601665,-0.986148
0.029808,0.195362,-0.980278,-0.023537,0.183461,-0.982745,0.003135500000000001,0.1894115,-0.9815115
0.027625,0.202796,-0.978831,-0.041418,0.14926,-0.98793,-0.006896500000000002,0.17602800000000002,-0.9833805
0.227239,0.362078,-0.904025,-0.096254,0.329367,-0.939283,0.0654925,0.34572250000000004,-0.921654
0.13478,0.259102,-0.9564,-0.020816,0.230778,-0.972784,0.056982000000000005,0.24494,-0.964592
0.046103,0.175366,-0.983423,0.042951,0.137435,-0.989579,0.044527,0.1564005,-0.9865010000000001
0.035985,0.163058,-0.98596,0.032526,0.10888,-0.993523,0.0342555,0.135969,-0.9897415
0.032729,0.148251,-0.988408,0.063242,0.09513,-0.993454,0.0479855,0.12169050000000001,-0.990931
-0.002327,0.2401,-0.970745,-0.138737,0.228033,-0.963718,-0.070532,0.2340665,-0.9672315
0.006002,0.250746,-0.968034,-0.159464,0.238816,-0.957882,-0.076731,0.24478100000000003,-0.962958
0.014827,0.172746,-0.984855,-0.098118,0.205989,-0.973623,-0.0416455,0.18936750000000002,-0.979239
0.034321,0.212978,-0.976454,0.047046,0.211756,-0.97619,0.0406835,0.212367,-0.976322
0.024811,0.231771,-0.972454,-0.023982,0.194289,-0.980651,0.00041449999999999994,0.21303,-0.9765525
0.031472,0.224855,-0.973884,0.040667,0.23208,-0.971846,0.036069500000000004,0.2284675,-0.972865
0.020076,0.234617,-0.971881,0.003076,0.216507,-0.976276,0.011576,0.22556199999999998,-0.9740785000000001
0.127816,0.357963,-0.924946,-0.091843,0.222627,-0.970568,0.01798650000000001,0.29029499999999997,-0.947757
0.233759,0.405383,-0.883754,-0.107693,0.275675,-0.955199,0.063033,0.34052899999999997,-0.9194765
0.2769,0.387379,-0.879354,-0.036891,0.331524,-0.942725,0.12000449999999999,0.3594515,-0.9110395
0.213829,0.399474,-0.891458,-0.060481,0.245182,-0.967589,0.07667399999999999,0.322328,-0.9295235
0.263396,0.328323,-0.907098,-0.060151,0.19937,-0.978076,0.1016225,0.2638465,-0.942587
0.245218,0.325733,-0.913108,-0.017561,0.249752,-0.968151,0.1138285,0.2877425,-0.9406295
0.183427,0.333951,-0.924571,-0.080432,0.271284,-0.959133,0.0514975,0.3026175,-0.941852
0.201001,0.367831,-0.907909,-0.051091,0.353218,-0.934145,0.07495500000000001,0.3605245,-0.921027
0.193263,0.358873,-0.913159,0.013239,0.339542,-0.940498,0.103251,0.3492075,-0.9268285
0.105039,0.288951,-0.951564,0.047921,0.284253,-0.957551,0.07647999999999999,0.286602,-0.9545575
0.055487,0.174599,-0.983075,0.076723,0.23834,-0.968146,0.066105,0.2064695,-0.9756104999999999
0.08021,0.191743,-0.978162,0.056559,0.169686,-0.983874,0.0683845,0.1807145,-0.981018
0.093838,0.203168,-0.974637,0.068286,0.218455,-0.973455,0.081062,0.21081149999999999,-0.974046
0.074577,0.209814,-0.974893,0.036122,0.220158,-0.974795,0.0553495,0.214986,-0.974844
0.072601,0.219447,-0.97292,-0.006617,0.201292,-0.979509,0.032992,0.2103695,-0.9762145
0.069873,0.225877,-0.971647,0.074743,0.146198,-0.986428,0.07230800000000001,0.1860375,-0.9790375
0.107481,0.240243,-0.964744,0.09451,0.182641,-0.978627,0.10099549999999999,0.21144200000000002,-0.9716855
0.11235,0.249934,-0.961723,0.121405,0.235404,-0.964285,0.1168775,0.242669,-0.963004
0.107726,0.250296,-0.962157,0.116564,0.219697,-0.968579,0.112145,0.2349965,-0.965368
0.102661,0.244937,-0.964089,0.103364,0.230064,-0.967671,0.1030125,0.2375005,-0.96588
0.290342,0.413024,-0.863199,-0.108904,0.273193,-0.955775,0.090719,0.34310850000000004,-0.909487
0.134816,0.332674,-0.933356,-0.026913,0.253675,-0.966915,0.0539515,0.2931745,-0.9501355
0.079878,0.168739,-0.982419,-0.001907,0.116782,-0.993156,0.0389855,0.1427605,-0.9877875
0.053477,0.178995,-0.982396,0.029637,0.123883,-0.991854,0.041557,0.151439,-0.987125
0.04739,0.185731,-0.981457,0.036679,0.133818,-0.990327,0.0420345,0.15977449999999999,-0.985892
0.043468,0.192703,-0.980294,0.015331,0.10937,-0.993883,0.0293995,0.15103650000000002,-0.9870885
0.047028,0.20757,-0.977089,0.042127,0.207881,-0.977247,0.0445775,0.2077255,-0.977168
0.039435,0.213542,-0.976138,0.019641,0.159126,-0.987063,0.029538,0.186334,-0.9816005
0.202656,0.310396,-0.928755,-0.077861,0.228872,-0.970338,0.0623975,0.269634,-0.9495465000000001
0.091567,0.300552,-0.94936,-0.113384,0.212589,-0.970541,-0.010908500000000002,0.2565705,-0.9599504999999999
0.107497,0.184081,-0.977015,-0.014233,0.161547,-0.986762,0.046632,0.172814,-0.9818884999999999
0.056542,0.194941,-0.979184,0.044891,0.192317,-0.980305,0.0507165,0.193629,-0.9797445
0.045716,0.190319,-0.980657,-0.009854,0.100316,-0.994907,0.017931,0.1453175,-0.9877819999999999
0.109791,0.176929,-0.978081,0.116745,0.112588,-0.98676,0.11326800000000001,0.1447585,-0.9824204999999999
0.130755,0.150916,-0.979861,0.148274,0.125318,-0.980974,0.13951449999999999,0.138117,-0.9804174999999999
0.137036,0.111759,-0.984241,0.134629,0.071378,-0.988322,0.1358325,0.0915685,-0.9862815
0.156843,0.135403,-0.978298,0.113706,0.181462,-0.976802,0.13527450000000002,0.1584325,-0.9775499999999999
0.146057,0.191461,-0.970572,0.182629,0.180141,-0.966538,0.16434300000000002,0.185801,-0.968555
0.162325,0.187154,-0.968826,0.107067,0.130941,-0.985592,0.13469599999999998,0.1590475,-0.977209
0.150509,0.215069,-0.964931,0.059914,0.230384,-0.971254,0.1052115,0.2227265,-0.9680925
0.107839,0.243601,-0.963862,0.027526,0.24132,-0.970055,0.0676825,0.24246050000000002,-0.9669585
0.112843,0.240784,-0.963997,0.067457,0.282433,-0.956912,0.09015000000000001,0.2616085,-0.9604545
0.127414,0.253443,-0.958922,0.066584,0.292964,-0.953802,0.096999,0.2732035,-0.956362
0.176988,0.272552,-0.945722,0.081588,0.316063,-0.945224,0.12928800000000001,0.2943075,-0.945473
0.238629,0.332717,-0.912335,0.089321,0.356561,-0.929992,0.163975,0.34463900000000003,-0.9211635
0.247845,0.319905,-0.914458,0.059819,0.305466,-0.950322,0.153832,0.3126855,-0.93239
0.105974,0.181384,-0.977686,0.014389,0.259941,-0.965517,0.0601815,0.22066249999999998,-0.9716015
