gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.164424,0.202307,-0.96542,-0.016455,0.197683,-0.980128,0.0739845,0.19999499999999998,-0.972774
0.16601,0.214597,-0.962491,-0.0173,0.199401,-0.979765,0.07435499999999999,0.206999,-0.971128
0.153002,0.199658,-0.967847,-0.047599,0.213314,-0.975823,0.0527015,0.206486,-0.971835
0.183342,0.122488,-0.975388,-0.022593,0.156479,-0.987423,0.0803745,0.1394835,-0.9814055
0.190503,0.124034,-0.973819,-0.034824,0.152047,-0.98776,0.0778395,0.1380405,-0.9807895
0.202575,0.125519,-0.971189,-0.046144,0.160442,-0.985966,0.07821550000000001,0.1429805,-0.9785775
0.231823,0.126857,-0.964451,-0.062883,0.129938,-0.989526,0.08447,0.1283975,-0.9769885
0.215717,0.113531,-0.969833,-0.065494,0.126481,-0.989805,0.0751115,0.120006,-0.979819
0.216977,0.134645,-0.966846,-0.060959,0.110267,-0.992031,0.078009,0.122456,-0.9794385
0.213428,0.131694,-0.968042,-0.030487,0.117144,-0.992647,0.09147050000000001,0.124419,-0.9803445
0.200441,0.142822,-0.96924,0.001574,0.132192,-0.991223,0.1010075,0.137507,-0.9802314999999999
0.198475,0.147736,-0.968907,0.004322,0.139206,-0.990254,0.1013985,0.14347100000000002,-0.9795805
0.197884,0.155281,-0.967848,0.00543,0.143994,-0.989564,0.101657,0.1496375,-0.9787060000000001
0.196344,0.183979,-0.96312,0.006747,0.142294,-0.989802,0.1015455,0.16313650000000002,-0.976461
0.19737,0.17603,-0.964395,0.010897,0.135292,-0.990746,0.10413349999999999,0.155661,-0.9775705
0.19504,0.152969,-0.968793,-0.021234,0.151274,-0.988264,0.086903,0.1521215,-0.9785285
0.163746,0.192399,-0.967559,-0.033042,0.165515,-0.985654,0.065352,0.17895699999999998,-0.9766064999999999
0.170698,0.19057,-0.966719,-0.034172,0.164632,-0.985763,0.06826299999999999,0.177601,-0.9762409999999999
0.172626,0.187966,-0.966886,-0.034488,0.102347,-0.994151,0.069069,0.1451565,-0.9805185000000001
0.188364,0.159507,-0.96906,-0.011433,0.14375,-0.989548,0.0884655,0.1516285,-0.979304
0.184621,0.161168,-0.969505,-0.006053,0.140828,-0.990016,0.089284,0.15099800000000002,-0.9797605
0.211809,0.153421,-0.965194,0.000623,0.133002,-0.991116,0.106216,0.1432115,-0.978155
0.202306,0.15136,-0.967555,-0.009252,0.127622,-0.99178,0.096527,0.139491,-0.9796675
0.202957,0.156283,-0.966635,-0.013362,0.122068,-0.992432,0.09479749999999999,0.1391755,-0.9795335000000001
0.197949,0.174528,-0.96455,0.005399,0.134657,-0.990878,0.101674,0.1545925,-0.977714
0.205907,0.169537,-0.963774,-0.001238,0.188209,-0.982128,0.10233450000000001,0.178873,-0.972951
0.201267,0.15336,-0.967457,-0.00234,0.173922,-0.984757,0.0994635,0.16364099999999998,-0.9761070000000001
0.190585,0.163256,-0.968,-0.04986,0.117682,-0.991799,0.0703625,0.140469,-0.9798994999999999
0.168247,0.163996,-0.972007,-0.033172,0.139574,-0.989656,0.0675375,0.151785,-0.9808315
0.146594,0.195078,-0.96977,-0.045135,0.134773,-0.989848,0.0507295,0.1649255,-0.9798089999999999
0.157256,0.210559,-0.96485,-0.05892,0.133075,-0.989353,0.049168,0.171817,-0.9771015000000001
0.169284,0.197924,-0.965489,-0.012889,0.108694,-0.993992,0.07819749999999999,0.153309,-0.9797405
0.176903,0.20502,-0.962638,-0.06049,0.146258,-0.987395,0.0582065,0.175639,-0.9750165
0.189335,0.240721,-0.951948,-0.041594,0.176456,-0.983429,0.0738705,0.2085885,-0.9676885
0.195624,0.22611,-0.954256,-0.042923,0.184332,-0.981926,0.07635049999999999,0.205221,-0.968091
0.189194,0.215148,-0.95808,-0.038691,0.175577,-0.983705,0.0752515,0.1953625,-0.9708925
0.183732,0.251851,-0.950165,-0.034314,0.182509,-0.982605,0.074709,0.21717999999999998,-0.966385
0.206742,0.205481,-0.956575,-0.03025,0.157101,-0.987119,0.088246,0.18129099999999998,-0.9718469999999999
0.211917,0.211327,-0.954166,-0.023174,0.158776,-0.987043,0.0943715,0.18505149999999998,-0.9706045
0.220761,0.243396,-0.94447,0.00928,0.211078,-0.977425,0.11502050000000001,0.227237,-0.9609475000000001
0.218414,0.235875,-0.946921,0.010012,0.179749,-0.983662,0.114213,0.207812,-0.9652915
0.216384,0.244075,-0.945307,-0.015962,0.176106,-0.984242,0.100211,0.2100905,-0.9647745
0.209054,0.243003,-0.947231,-0.004081,0.19696,-0.980403,0.1024865,0.2199815,-0.963817
0.190113,0.240863,-0.951757,-0.049989,0.180003,-0.982395,0.070062,0.21043299999999998,-0.967076
0.201072,0.234407,-0.951117,-0.062972,0.179812,-0.981683,0.06905,0.2071095,-0.9663999999999999
0.208683,0.266605,-0.940943,-0.050069,0.178055,-0.982746,0.079307,0.22232999999999997,-0.9618445
0.178989,0.217052,-0.95961,-0.069365,0.182151,-0.980821,0.05481200000000001,0.1996015,-0.9702155
0.186165,0.205986,-0.960683,-0.049197,0.188798,-0.980783,0.068484,0.197392,-0.970733
0.195876,0.245022,-0.949525,-0.033662,0.213382,-0.976389,0.081107,0.229202,-0.962957
0.200376,0.230526,-0.952212,-0.02951,0.20303,-0.978728,0.085433,0.216778,-0.96547
0.182888,0.218812,-0.958475,-0.025492,0.190842,-0.98129,0.07869799999999999,0.204827,-0.9698825
0.165741,0.232276,-0.958425,-0.003064,0.197532,-0.980292,0.0813385,0.214904,-0.9693585
0.176526,0.238267,-0.955022,0.024284,0.230043,-0.972877,0.100405,0.234155,-0.9639495
0.183312,0.230512,-0.955647,-0.019698,0.221754,-0.974904,0.081807,0.226133,-0.9652755
0.18333,0.221745,-0.957716,-0.033691,0.21837,-0.975284,0.0748195,0.22005750000000002,-0.9665
0.211258,0.220938,-0.952133,-0.012622,0.246128,-0.969155,0.099318,0.233533,-0.960644
0.198646,0.251846,-0.947161,0.014342,0.245641,-0.969255,0.10649399999999999,0.2487435,-0.958208
0.211446,0.23351,-0.949086,0.001823,0.209537,-0.977799,0.1066345,0.22152349999999998,-0.9634425
0.211536,0.224987,-0.951122,-0.000521,0.215736,-0.976452,0.1055075,0.2203615,-0.963787
0.132027,0.074106,-0.988472,-0.128958,0.268055,-0.954734,0.001534500000000008,0.1710805,-0.971603
0.21974,0.282239,-0.933839,-0.104664,0.231112,-0.967281,0.057538,0.2566755,-0.95056
0.189751,0.296835,-0.935887,-0.064041,0.227428,-0.971687,0.062855,0.2621315,-0.9537869999999999
0.16522,0.244708,-0.955416,0.015178,0.212632,-0.977014,0.090199,0.22866999999999998,-0.966215
0.161829,0.227355,-0.960271,0.024013,0.25035,-0.967858,0.092921,0.23885250000000002,-0.9640645
0.177463,0.233769,-0.95596,0.019918,0.239519,-0.970687,0.0986905,0.23664400000000002,-0.9633235
0.209239,0.257342,-0.943395,-0.015696,0.229241,-0.973243,0.09677150000000001,0.2432915,-0.9583189999999999
0.215361,0.259579,-0.941402,-0.086528,0.232956,-0.96863,0.0644165,0.2462675,-0.955016
0.220741,0.217644,-0.950739,0.005382,0.201482,-0.979477,0.1130615,0.209563,-0.9651080000000001
0.206731,0.195766,-0.958612,0.000967,0.191488,-0.981494,0.103849,0.193627,-0.970053
0.190196,0.224403,-0.955756,-0.001973,0.196597,-0.980482,0.0941115,0.2105,-0.968119
0.199275,0.225947,-0.953539,0.007104,0.219462,-0.975595,0.1031895,0.2227045,-0.964567
0.207924,0.223842,-0.952188,0.011536,0.201644,-0.979391,0.10973,0.21274300000000002,-0.9657895000000001
0.205446,0.226425,-0.952115,0.007131,0.205308,-0.978671,0.1062885,0.2158665,-0.965393
0.132369,0.195353,-0.971759,-0.028062,0.168337,-0.98533,0.05215349999999999,0.18184499999999998,-0.9785445
0.127693,0.200713,-0.971292,-0.043405,0.169593,-0.984558,0.042144,0.185153,-0.977925
0.097444,0.19793,-0.975361,-0.057548,0.159224,-0.985564,0.019948,0.17857699999999999,-0.9804625
0.072593,0.196666,-0.97778,-0.057424,0.148432,-0.987254,0.007584500000000001,0.172549,-0.982517
0.089854,0.209927,-0.973579,-0.061063,0.156477,-0.985792,0.014395500000000002,0.183202,-0.9796855
0.092196,0.213281,-0.972631,-0.031971,0.165785,-0.985644,0.0301125,0.189533,-0.9791375
0.086136,0.204291,-0.975113,-0.029811,0.160544,-0.986578,0.0281625,0.1824175,-0.9808455
0.084142,0.213378,-0.973339,-0.071674,0.17172,-0.982535,0.0062339999999999965,0.19254900000000003,-0.9779370000000001
0.113768,0.214775,-0.970015,-0.085787,0.181461,-0.979649,0.013990499999999996,0.19811800000000002,-0.9748319999999999
0.092934,0.205336,-0.974269,-0.102912,0.205514,-0.973228,-0.004989,0.205425,-0.9737485
0.147993,0.272626,-0.95067,-0.081847,0.23501,-0.968541,0.033073000000000005,0.253818,-0.9596055
0.151565,0.252086,-0.955762,-0.067799,0.252176,-0.965303,0.041883000000000004,0.252131,-0.9605325
0.17719,0.237864,-0.955,-0.027981,0.248732,-0.968168,0.07460449999999999,0.24329800000000001,-0.961584
0.188476,0.230504,-0.954644,-0.017723,0.244456,-0.969498,0.08537650000000001,0.23748,-0.962071
0.182665,0.231801,-0.955459,-0.022587,0.231109,-0.972666,0.080039,0.23145500000000002,-0.9640625
0.109779,0.198473,-0.973939,-0.028771,0.184684,-0.982377,0.040504,0.19157849999999998,-0.978158
0.15632,0.223458,-0.962097,-0.025395,0.242045,-0.969933,0.06546249999999999,0.2327515,-0.9660150000000001
0.140882,0.198606,-0.969901,-0.005018,0.218029,-0.975929,0.067932,0.2083175,-0.972915
0.134459,0.187479,-0.973022,-0.037758,0.20132,-0.978798,0.0483505,0.1943995,-0.97591
0.123365,0.202143,-0.971555,-0.013769,0.205522,-0.978556,0.054798,0.2038325,-0.9750555
0.132841,0.222066,-0.96594,-0.009852,0.21966,-0.975527,0.061494499999999994,0.220863,-0.9707335
0.138741,0.225716,-0.964263,0.00481,0.227304,-0.973812,0.0717755,0.22651,-0.9690375
0.13786,0.225594,-0.964418,0.009023,0.226043,-0.974075,0.0734415,0.22581849999999998,-0.9692465
0.137609,0.224295,-0.964757,0.001088,0.215974,-0.976398,0.06934850000000001,0.2201345,-0.9705775
0.146646,0.204623,-0.967794,-0.016768,0.2058,-0.97845,0.064939,0.2052115,-0.973122
0.12781,0.097354,-0.987009,-0.09783,0.335162,-0.937068,0.014990000000000003,0.216258,-0.9620385
0.187207,0.238239,-0.952993,-0.084726,0.199432,-0.976242,0.05124050000000001,0.21883550000000002,-0.9646175
0.178921,0.232229,-0.956063,-0.09216,0.20546,-0.974317,0.043380499999999995,0.2188445,-0.96519
0.196479,0.250543,-0.947958,-0.091246,0.205741,-0.974343,0.0526165,0.228142,-0.9611505
0.18474,0.226149,-0.956414,-0.086974,0.196443,-0.97665,0.048882999999999996,0.21129599999999998,-0.966532
0.208953,0.263194,-0.941843,-0.046689,0.222587,-0.973794,0.081132,0.2428905,-0.9578185
0.140061,0.287926,-0.947355,-0.034312,0.280363,-0.959281,0.05287449999999999,0.2841445,-0.953318
0.148286,0.285062,-0.946969,-0.035835,0.270232,-0.962128,0.0562255,0.277647,-0.9545485
0.147866,0.305069,-0.940781,-0.029431,0.278414,-0.96001,0.0592175,0.2917415,-0.9503955
0.181608,0.29139,-0.939207,-0.097648,0.219991,-0.970602,0.041979999999999996,0.2556905,-0.9549045
0.167647,0.279575,-0.945374,-0.058889,0.248257,-0.966903,0.054379,0.26391600000000004,-0.9561385
0.143222,0.237587,-0.96075,-0.083983,0.201231,-0.975937,0.029619499999999993,0.219409,-0.9683435
0.182529,0.263124,-0.947338,-0.044957,0.217841,-0.974948,0.068786,0.24048250000000002,-0.9611430000000001
0.150087,0.238127,-0.959567,-0.015975,0.192862,-0.981096,0.067056,0.2154945,-0.9703314999999999
0.181137,0.232556,-0.955566,-0.003289,0.211656,-0.977339,0.088924,0.22210600000000003,-0.9664524999999999
0.214639,0.235532,-0.947868,-0.035593,0.215951,-0.975755,0.08952299999999999,0.22574149999999998,-0.9618115
0.217664,0.250463,-0.94334,-0.025856,0.191346,-0.981182,0.095904,0.2209045,-0.962261
0.168599,0.255071,-0.95211,-0.045444,0.2094,-0.976774,0.0615775,0.23223549999999998,-0.964442
0.160824,0.249662,-0.954885,-0.053662,0.202455,-0.97782,0.053581,0.2260585,-0.9663525
