1,metric,model,method
0.5789473684210527,acc,LSTM_median,end_to_end
0.47368421052631576,acc,LSTM_median,end_to_end
0.631578947368421,acc,LSTM_median,end_to_end
0.6842105263157895,acc,LSTM_median,end_to_end
0.7894736842105263,acc,LSTM_median,end_to_end
0.5789473684210527,acc,LSTM_median,end_to_end
0.5263157894736842,acc,LSTM_median,end_to_end
0.6666666666666666,acc,LSTM_median,end_to_end
0.6666666666666666,acc,LSTM_median,end_to_end
0.6111111111111112,acc,LSTM_median,end_to_end
0.5666666666666667,roc,LSTM_median,end_to_end
0.4772727272727273,roc,LSTM_median,end_to_end
0.6647727272727273,roc,LSTM_median,end_to_end
0.6777777777777778,roc,LSTM_median,end_to_end
0.7142857142857143,roc,LSTM_median,end_to_end
0.5833333333333333,roc,LSTM_median,end_to_end
0.5227272727272727,roc,LSTM_median,end_to_end
0.6666666666666667,roc,LSTM_median,end_to_end
0.6666666666666667,roc,LSTM_median,end_to_end
0.5519480519480519,roc,LSTM_median,end_to_end
0.42857142857142855,fms,LSTM_median,end_to_end
0.4444444444444445,fms,LSTM_median,end_to_end
0.6666666666666667,fms,LSTM_median,end_to_end
0.6250000000000001,fms,LSTM_median,end_to_end
0.6,fms,LSTM_median,end_to_end
0.6,fms,LSTM_median,end_to_end
0.47058823529411764,fms,LSTM_median,end_to_end
0.6250000000000001,fms,LSTM_median,end_to_end
0.6666666666666666,fms,LSTM_median,end_to_end
0.36363636363636365,fms,LSTM_median,end_to_end
0.6,precision,LSTM_median,end_to_end
0.4,precision,LSTM_median,end_to_end
0.5384615384615384,precision,LSTM_median,end_to_end
0.7142857142857143,precision,LSTM_median,end_to_end
1.0,precision,LSTM_median,end_to_end
0.5454545454545454,precision,LSTM_median,end_to_end
0.4444444444444444,precision,LSTM_median,end_to_end
0.7142857142857143,precision,LSTM_median,end_to_end
0.6666666666666666,precision,LSTM_median,end_to_end
0.5,precision,LSTM_median,end_to_end
0.3333333333333333,recall,LSTM_median,end_to_end
0.5,recall,LSTM_median,end_to_end
0.875,recall,LSTM_median,end_to_end
0.5555555555555556,recall,LSTM_median,end_to_end
0.42857142857142855,recall,LSTM_median,end_to_end
0.6666666666666666,recall,LSTM_median,end_to_end
0.5,recall,LSTM_median,end_to_end
0.5555555555555556,recall,LSTM_median,end_to_end
0.6666666666666666,recall,LSTM_median,end_to_end
0.2857142857142857,recall,LSTM_median,end_to_end
0.8,specificity,LSTM_median,end_to_end
0.45454545454545453,specificity,LSTM_median,end_to_end
0.45454545454545453,specificity,LSTM_median,end_to_end
0.8,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
0.5,specificity,LSTM_median,end_to_end
0.5454545454545454,specificity,LSTM_median,end_to_end
0.7777777777777778,specificity,LSTM_median,end_to_end
0.6666666666666666,specificity,LSTM_median,end_to_end
0.8181818181818182,specificity,LSTM_median,end_to_end
