1,metric,model,method
0.47368421052631576,acc,GRU,multi-chunk
0.5789473684210527,acc,GRU,multi-chunk
0.5789473684210527,acc,GRU,multi-chunk
0.3684210526315789,acc,GRU,multi-chunk
0.8421052631578947,acc,GRU,multi-chunk
0.47368421052631576,acc,GRU,multi-chunk
0.6842105263157895,acc,GRU,multi-chunk
0.5555555555555556,acc,GRU,multi-chunk
0.6666666666666666,acc,GRU,multi-chunk
0.9444444444444444,acc,GRU,multi-chunk
0.4611111111111111,roc,GRU,multi-chunk
0.5681818181818182,roc,GRU,multi-chunk
0.5722222222222222,roc,GRU,multi-chunk
0.3555555555555556,roc,GRU,multi-chunk
0.8636363636363636,roc,GRU,multi-chunk
0.5,roc,GRU,multi-chunk
0.6607142857142857,roc,GRU,multi-chunk
0.45454545454545453,roc,GRU,multi-chunk
0.5714285714285714,roc,GRU,multi-chunk
0.8333333333333333,roc,GRU,multi-chunk
0.5833333333333334,fms,GRU,multi-chunk
0.5,fms,GRU,multi-chunk
0.6363636363636365,fms,GRU,multi-chunk
0.5,fms,GRU,multi-chunk
0.8421052631578948,fms,GRU,multi-chunk
0.0,fms,GRU,multi-chunk
0.5714285714285714,fms,GRU,multi-chunk
0.0,fms,GRU,multi-chunk
0.25,fms,GRU,multi-chunk
0.8,fms,GRU,multi-chunk
0.5,precision,GRU,multi-chunk
0.5,precision,GRU,multi-chunk
0.5833333333333334,precision,GRU,multi-chunk
0.42857142857142855,precision,GRU,multi-chunk
1.0,precision,GRU,multi-chunk
0.0,precision,GRU,multi-chunk
0.5714285714285714,precision,GRU,multi-chunk
0.0,precision,GRU,multi-chunk
1.0,precision,GRU,multi-chunk
1.0,precision,GRU,multi-chunk
0.7,recall,GRU,multi-chunk
0.5,recall,GRU,multi-chunk
0.7,recall,GRU,multi-chunk
0.6,recall,GRU,multi-chunk
0.7272727272727273,recall,GRU,multi-chunk
0.0,recall,GRU,multi-chunk
0.5714285714285714,recall,GRU,multi-chunk
0.0,recall,GRU,multi-chunk
0.14285714285714285,recall,GRU,multi-chunk
0.6666666666666666,recall,GRU,multi-chunk
0.2222222222222222,specificity,GRU,multi-chunk
0.6363636363636364,specificity,GRU,multi-chunk
0.4444444444444444,specificity,GRU,multi-chunk
0.1111111111111111,specificity,GRU,multi-chunk
1.0,specificity,GRU,multi-chunk
1.0,specificity,GRU,multi-chunk
0.75,specificity,GRU,multi-chunk
0.9090909090909091,specificity,GRU,multi-chunk
1.0,specificity,GRU,multi-chunk
1.0,specificity,GRU,multi-chunk
7.0,tp,GRU,multi-chunk
4.0,tp,GRU,multi-chunk
7.0,tp,GRU,multi-chunk
6.0,tp,GRU,multi-chunk
8.0,tp,GRU,multi-chunk
0.0,tp,GRU,multi-chunk
4.0,tp,GRU,multi-chunk
0.0,tp,GRU,multi-chunk
1.0,tp,GRU,multi-chunk
2.0,tp,GRU,multi-chunk
7.0,fp,GRU,multi-chunk
4.0,fp,GRU,multi-chunk
5.0,fp,GRU,multi-chunk
8.0,fp,GRU,multi-chunk
0.0,fp,GRU,multi-chunk
0.0,fp,GRU,multi-chunk
3.0,fp,GRU,multi-chunk
1.0,fp,GRU,multi-chunk
0.0,fp,GRU,multi-chunk
0.0,fp,GRU,multi-chunk
3.0,fn,GRU,multi-chunk
4.0,fn,GRU,multi-chunk
3.0,fn,GRU,multi-chunk
4.0,fn,GRU,multi-chunk
3.0,fn,GRU,multi-chunk
10.0,fn,GRU,multi-chunk
3.0,fn,GRU,multi-chunk
7.0,fn,GRU,multi-chunk
6.0,fn,GRU,multi-chunk
1.0,fn,GRU,multi-chunk
2.0,tn,GRU,multi-chunk
7.0,tn,GRU,multi-chunk
4.0,tn,GRU,multi-chunk
1.0,tn,GRU,multi-chunk
8.0,tn,GRU,multi-chunk
9.0,tn,GRU,multi-chunk
9.0,tn,GRU,multi-chunk
10.0,tn,GRU,multi-chunk
11.0,tn,GRU,multi-chunk
15.0,tn,GRU,multi-chunk
