1,metric,model,method
0.9473684210526315,acc,LSTM_median,end_to_end
0.5263157894736842,acc,LSTM_median,end_to_end
0.5263157894736842,acc,LSTM_median,end_to_end
0.7894736842105263,acc,LSTM_median,end_to_end
0.7368421052631579,acc,LSTM_median,end_to_end
0.7368421052631579,acc,LSTM_median,end_to_end
0.42105263157894735,acc,LSTM_median,end_to_end
0.5555555555555556,acc,LSTM_median,end_to_end
1.0,acc,LSTM_median,end_to_end
0.6111111111111112,acc,LSTM_median,end_to_end
0.9,roc,LSTM_median,end_to_end
0.5,roc,LSTM_median,end_to_end
0.5654761904761905,roc,LSTM_median,end_to_end
0.8461538461538461,roc,LSTM_median,end_to_end
0.7444444444444445,roc,LSTM_median,end_to_end
0.7321428571428571,roc,LSTM_median,end_to_end
0.4222222222222223,roc,LSTM_median,end_to_end
0.5125,roc,LSTM_median,end_to_end
1.0,roc,LSTM_median,end_to_end
0.6111111111111112,roc,LSTM_median,end_to_end
0.888888888888889,fms,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.5263157894736842,fms,LSTM_median,end_to_end
0.7499999999999999,fms,LSTM_median,end_to_end
0.761904761904762,fms,LSTM_median,end_to_end
0.7826086956521738,fms,LSTM_median,end_to_end
0.4210526315789474,fms,LSTM_median,end_to_end
0.2,fms,LSTM_median,end_to_end
1.0,fms,LSTM_median,end_to_end
0.3636363636363636,fms,LSTM_median,end_to_end
1.0,precision,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
0.4166666666666667,precision,LSTM_median,end_to_end
0.6,precision,LSTM_median,end_to_end
0.6666666666666666,precision,LSTM_median,end_to_end
0.8181818181818182,precision,LSTM_median,end_to_end
0.4,precision,LSTM_median,end_to_end
0.5,precision,LSTM_median,end_to_end
1.0,precision,LSTM_median,end_to_end
1.0,precision,LSTM_median,end_to_end
0.8,recall,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.7142857142857143,recall,LSTM_median,end_to_end
1.0,recall,LSTM_median,end_to_end
0.8888888888888888,recall,LSTM_median,end_to_end
0.75,recall,LSTM_median,end_to_end
0.4444444444444444,recall,LSTM_median,end_to_end
0.125,recall,LSTM_median,end_to_end
1.0,recall,LSTM_median,end_to_end
0.2222222222222222,recall,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
0.4166666666666667,specificity,LSTM_median,end_to_end
0.6923076923076923,specificity,LSTM_median,end_to_end
0.6,specificity,LSTM_median,end_to_end
0.7142857142857143,specificity,LSTM_median,end_to_end
0.4,specificity,LSTM_median,end_to_end
0.9,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
