1,metric,model,method
0.8947368421052632,acc,GRU,multiple_chunk_100
0.6842105263157895,acc,GRU,multiple_chunk_100
0.8947368421052632,acc,GRU,multiple_chunk_100
0.8421052631578947,acc,GRU,multiple_chunk_100
0.7368421052631579,acc,GRU,multiple_chunk_100
0.8947368421052632,acc,GRU,multiple_chunk_100
0.8333333333333334,acc,GRU,multiple_chunk_100
0.8333333333333334,acc,GRU,multiple_chunk_100
0.9444444444444444,acc,GRU,multiple_chunk_100
0.7894736842105263,acc,GRU,multiple_chunk_100
0.9090909090909091,roc,GRU,multiple_chunk_100
0.7,roc,GRU,multiple_chunk_100
0.8571428571428572,roc,GRU,multiple_chunk_100
0.8154761904761905,roc,GRU,multiple_chunk_100
0.7444444444444445,roc,GRU,multiple_chunk_100
0.9,roc,GRU,multiple_chunk_100
0.8375,roc,GRU,multiple_chunk_100
0.8333333333333334,roc,GRU,multiple_chunk_100
0.9,roc,GRU,multiple_chunk_100
0.788888888888889,roc,GRU,multiple_chunk_100
0.888888888888889,fms,GRU,multiple_chunk_100
0.5714285714285715,fms,GRU,multiple_chunk_100
0.8333333333333333,fms,GRU,multiple_chunk_100
0.7692307692307692,fms,GRU,multiple_chunk_100
0.761904761904762,fms,GRU,multiple_chunk_100
0.9,fms,GRU,multiple_chunk_100
0.823529411764706,fms,GRU,multiple_chunk_100
0.8421052631578948,fms,GRU,multiple_chunk_100
0.888888888888889,fms,GRU,multiple_chunk_100
0.8000000000000002,fms,GRU,multiple_chunk_100
0.8,precision,GRU,multiple_chunk_100
1.0,precision,GRU,multiple_chunk_100
1.0,precision,GRU,multiple_chunk_100
0.8333333333333334,precision,GRU,multiple_chunk_100
0.6666666666666666,precision,GRU,multiple_chunk_100
0.8181818181818182,precision,GRU,multiple_chunk_100
0.7777777777777778,precision,GRU,multiple_chunk_100
0.8,precision,GRU,multiple_chunk_100
1.0,precision,GRU,multiple_chunk_100
0.8,precision,GRU,multiple_chunk_100
1.0,recall,GRU,multiple_chunk_100
0.4,recall,GRU,multiple_chunk_100
0.7142857142857143,recall,GRU,multiple_chunk_100
0.7142857142857143,recall,GRU,multiple_chunk_100
0.8888888888888888,recall,GRU,multiple_chunk_100
1.0,recall,GRU,multiple_chunk_100
0.875,recall,GRU,multiple_chunk_100
0.8888888888888888,recall,GRU,multiple_chunk_100
0.8,recall,GRU,multiple_chunk_100
0.8,recall,GRU,multiple_chunk_100
0.8181818181818182,specificity,GRU,multiple_chunk_100
1.0,specificity,GRU,multiple_chunk_100
1.0,specificity,GRU,multiple_chunk_100
0.9166666666666666,specificity,GRU,multiple_chunk_100
0.6,specificity,GRU,multiple_chunk_100
0.8,specificity,GRU,multiple_chunk_100
0.8,specificity,GRU,multiple_chunk_100
0.7777777777777778,specificity,GRU,multiple_chunk_100
1.0,specificity,GRU,multiple_chunk_100
0.7777777777777778,specificity,GRU,multiple_chunk_100
