1,metric,model,method
0.5294117647058824,acc,LSTM,end_to_end
0.4117647058823529,acc,LSTM,end_to_end
0.4117647058823529,acc,LSTM,end_to_end
0.5294117647058824,acc,LSTM,end_to_end
0.4117647058823529,acc,LSTM,end_to_end
0.47058823529411764,acc,LSTM,end_to_end
0.29411764705882354,acc,LSTM,end_to_end
0.5294117647058824,acc,LSTM,end_to_end
0.4117647058823529,acc,LSTM,end_to_end
0.5,acc,LSTM,end_to_end
0.5,roc,LSTM,end_to_end
0.4083333333333333,roc,LSTM,end_to_end
0.5,roc,LSTM,end_to_end
0.45,roc,LSTM,end_to_end
0.4027777777777778,roc,LSTM,end_to_end
0.4772727272727273,roc,LSTM,end_to_end
0.5,roc,LSTM,end_to_end
0.5347222222222222,roc,LSTM,end_to_end
0.4083333333333333,roc,LSTM,end_to_end
0.5666666666666668,roc,LSTM,end_to_end
0.0,fms,LSTM,end_to_end
0.2857142857142857,fms,LSTM,end_to_end
0.0,fms,LSTM,end_to_end
0.0,fms,LSTM,end_to_end
0.28571428571428575,fms,LSTM,end_to_end
0.4,fms,LSTM,end_to_end
0.0,fms,LSTM,end_to_end
0.5555555555555556,fms,LSTM,end_to_end
0.2857142857142857,fms,LSTM,end_to_end
0.5555555555555556,fms,LSTM,end_to_end
0.0,precision,LSTM,end_to_end
0.2222222222222222,precision,LSTM,end_to_end
0.0,precision,LSTM,end_to_end
0.0,precision,LSTM,end_to_end
0.3333333333333333,precision,LSTM,end_to_end
0.3333333333333333,precision,LSTM,end_to_end
0.0,precision,LSTM,end_to_end
0.5,precision,LSTM,end_to_end
0.2222222222222222,precision,LSTM,end_to_end
0.4166666666666667,precision,LSTM,end_to_end
0.0,recall,LSTM,end_to_end
0.4,recall,LSTM,end_to_end
0.0,recall,LSTM,end_to_end
0.0,recall,LSTM,end_to_end
0.25,recall,LSTM,end_to_end
0.5,recall,LSTM,end_to_end
0.0,recall,LSTM,end_to_end
0.625,recall,LSTM,end_to_end
0.4,recall,LSTM,end_to_end
0.8333333333333334,recall,LSTM,end_to_end
1.0,specificity,LSTM,end_to_end
0.4166666666666667,specificity,LSTM,end_to_end
1.0,specificity,LSTM,end_to_end
0.9,specificity,LSTM,end_to_end
0.5555555555555556,specificity,LSTM,end_to_end
0.45454545454545453,specificity,LSTM,end_to_end
1.0,specificity,LSTM,end_to_end
0.4444444444444444,specificity,LSTM,end_to_end
0.4166666666666667,specificity,LSTM,end_to_end
0.3,specificity,LSTM,end_to_end
