1,metric,model,method
0.47368421052631576,acc,LSTM_median,end_to_end
0.5789473684210527,acc,LSTM_median,end_to_end
0.47368421052631576,acc,LSTM_median,end_to_end
0.6842105263157895,acc,LSTM_median,end_to_end
0.5263157894736842,acc,LSTM_median,end_to_end
0.631578947368421,acc,LSTM_median,end_to_end
0.47368421052631576,acc,LSTM_median,end_to_end
0.6666666666666666,acc,LSTM_median,end_to_end
0.5,acc,LSTM_median,end_to_end
0.5,acc,LSTM_median,end_to_end
0.5,roc,LSTM_median,end_to_end
0.6,roc,LSTM_median,end_to_end
0.5,roc,LSTM_median,end_to_end
0.6420454545454546,roc,LSTM_median,end_to_end
0.5,roc,LSTM_median,end_to_end
0.5,roc,LSTM_median,end_to_end
0.5,roc,LSTM_median,end_to_end
0.5,roc,LSTM_median,end_to_end
0.40909090909090906,roc,LSTM_median,end_to_end
0.4076923076923077,roc,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.33333333333333337,fms,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.5,fms,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.1818181818181818,fms,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
1.0,precision,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
0.75,precision,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
0.16666666666666666,precision,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.2,recall,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.375,recall,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.2,recall,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
0.9090909090909091,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
0.8181818181818182,specificity,LSTM_median,end_to_end
0.6153846153846154,specificity,LSTM_median,end_to_end
