1,metric,model,method
0.3684210526315789,acc,LSTM_median,end_to_end
0.6842105263157895,acc,LSTM_median,end_to_end
0.6842105263157895,acc,LSTM_median,end_to_end
0.631578947368421,acc,LSTM_median,end_to_end
0.631578947368421,acc,LSTM_median,end_to_end
0.47368421052631576,acc,LSTM_median,end_to_end
0.5789473684210527,acc,LSTM_median,end_to_end
0.7222222222222222,acc,LSTM_median,end_to_end
0.4444444444444444,acc,LSTM_median,end_to_end
0.4444444444444444,acc,LSTM_median,end_to_end
0.37777777777777777,roc,LSTM_median,end_to_end
0.601190476190476,roc,LSTM_median,end_to_end
0.4642857142857143,roc,LSTM_median,end_to_end
0.5795454545454545,roc,LSTM_median,end_to_end
0.5,roc,LSTM_median,end_to_end
0.5,roc,LSTM_median,end_to_end
0.5170454545454546,roc,LSTM_median,end_to_end
0.6846153846153846,roc,LSTM_median,end_to_end
0.5454545454545454,roc,LSTM_median,end_to_end
0.5454545454545454,roc,LSTM_median,end_to_end
0.25,fms,LSTM_median,end_to_end
0.4,fms,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.36363636363636365,fms,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.0,fms,LSTM_median,end_to_end
0.2,fms,LSTM_median,end_to_end
0.5454545454545454,fms,LSTM_median,end_to_end
0.16666666666666669,fms,LSTM_median,end_to_end
0.16666666666666669,fms,LSTM_median,end_to_end
0.3333333333333333,precision,LSTM_median,end_to_end
0.6666666666666666,precision,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
0.6666666666666666,precision,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
0.0,precision,LSTM_median,end_to_end
0.5,precision,LSTM_median,end_to_end
0.5,precision,LSTM_median,end_to_end
1.0,precision,LSTM_median,end_to_end
1.0,precision,LSTM_median,end_to_end
0.2,recall,LSTM_median,end_to_end
0.2857142857142857,recall,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.25,recall,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.0,recall,LSTM_median,end_to_end
0.125,recall,LSTM_median,end_to_end
0.6,recall,LSTM_median,end_to_end
0.09090909090909091,recall,LSTM_median,end_to_end
0.09090909090909091,recall,LSTM_median,end_to_end
0.5555555555555556,specificity,LSTM_median,end_to_end
0.9166666666666666,specificity,LSTM_median,end_to_end
0.9285714285714286,specificity,LSTM_median,end_to_end
0.9090909090909091,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
0.9090909090909091,specificity,LSTM_median,end_to_end
0.7692307692307693,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
1.0,specificity,LSTM_median,end_to_end
