1,metric,model,method
0.3684210526315789,acc,GRU,multi-chunk
0.47368421052631576,acc,GRU,multi-chunk
0.47368421052631576,acc,GRU,multi-chunk
0.6842105263157895,acc,GRU,multi-chunk
0.6842105263157895,acc,GRU,multi-chunk
0.6842105263157895,acc,GRU,multi-chunk
0.3684210526315789,acc,GRU,multi-chunk
0.5263157894736842,acc,GRU,multi-chunk
0.5,acc,GRU,multi-chunk
0.6666666666666666,acc,GRU,multi-chunk
0.33522727272727265,roc,GRU,multi-chunk
0.4777777777777778,roc,GRU,multi-chunk
0.4722222222222222,roc,GRU,multi-chunk
0.659090909090909,roc,GRU,multi-chunk
0.6761363636363636,roc,GRU,multi-chunk
0.659090909090909,roc,GRU,multi-chunk
0.44047619047619047,roc,GRU,multi-chunk
0.5166666666666666,roc,GRU,multi-chunk
0.5375,roc,GRU,multi-chunk
0.5,roc,GRU,multi-chunk
0.14285714285714288,fms,GRU,multi-chunk
0.4444444444444445,fms,GRU,multi-chunk
0.4444444444444444,fms,GRU,multi-chunk
0.5714285714285715,fms,GRU,multi-chunk
0.625,fms,GRU,multi-chunk
0.5714285714285715,fms,GRU,multi-chunk
0.4545454545454545,fms,GRU,multi-chunk
0.4,fms,GRU,multi-chunk
0.30769230769230765,fms,GRU,multi-chunk
0.0,fms,GRU,multi-chunk
0.16666666666666666,precision,GRU,multi-chunk
0.5,precision,GRU,multi-chunk
0.4444444444444444,precision,GRU,multi-chunk
0.6666666666666666,precision,GRU,multi-chunk
0.625,precision,GRU,multi-chunk
0.6666666666666666,precision,GRU,multi-chunk
0.3333333333333333,precision,GRU,multi-chunk
0.5,precision,GRU,multi-chunk
0.6666666666666666,precision,GRU,multi-chunk
0.0,precision,GRU,multi-chunk
0.125,recall,GRU,multi-chunk
0.4,recall,GRU,multi-chunk
0.4444444444444444,recall,GRU,multi-chunk
0.5,recall,GRU,multi-chunk
0.625,recall,GRU,multi-chunk
0.5,recall,GRU,multi-chunk
0.7142857142857143,recall,GRU,multi-chunk
0.3333333333333333,recall,GRU,multi-chunk
0.2,recall,GRU,multi-chunk
0.0,recall,GRU,multi-chunk
0.5454545454545454,specificity,GRU,multi-chunk
0.5555555555555556,specificity,GRU,multi-chunk
0.5,specificity,GRU,multi-chunk
0.8181818181818182,specificity,GRU,multi-chunk
0.7272727272727273,specificity,GRU,multi-chunk
0.8181818181818182,specificity,GRU,multi-chunk
0.16666666666666666,specificity,GRU,multi-chunk
0.7,specificity,GRU,multi-chunk
0.875,specificity,GRU,multi-chunk
1.0,specificity,GRU,multi-chunk
1.0,tp,GRU,multi-chunk
4.0,tp,GRU,multi-chunk
4.0,tp,GRU,multi-chunk
4.0,tp,GRU,multi-chunk
5.0,tp,GRU,multi-chunk
4.0,tp,GRU,multi-chunk
5.0,tp,GRU,multi-chunk
3.0,tp,GRU,multi-chunk
2.0,tp,GRU,multi-chunk
0.0,tp,GRU,multi-chunk
5.0,fp,GRU,multi-chunk
4.0,fp,GRU,multi-chunk
5.0,fp,GRU,multi-chunk
2.0,fp,GRU,multi-chunk
3.0,fp,GRU,multi-chunk
2.0,fp,GRU,multi-chunk
10.0,fp,GRU,multi-chunk
3.0,fp,GRU,multi-chunk
1.0,fp,GRU,multi-chunk
0.0,fp,GRU,multi-chunk
7.0,fn,GRU,multi-chunk
6.0,fn,GRU,multi-chunk
5.0,fn,GRU,multi-chunk
4.0,fn,GRU,multi-chunk
3.0,fn,GRU,multi-chunk
4.0,fn,GRU,multi-chunk
2.0,fn,GRU,multi-chunk
6.0,fn,GRU,multi-chunk
8.0,fn,GRU,multi-chunk
6.0,fn,GRU,multi-chunk
6.0,tn,GRU,multi-chunk
5.0,tn,GRU,multi-chunk
5.0,tn,GRU,multi-chunk
9.0,tn,GRU,multi-chunk
8.0,tn,GRU,multi-chunk
9.0,tn,GRU,multi-chunk
2.0,tn,GRU,multi-chunk
7.0,tn,GRU,multi-chunk
7.0,tn,GRU,multi-chunk
12.0,tn,GRU,multi-chunk
