1,metric,model,method
0.7,acc,GRU,multi-chunk
0.7894736842105263,acc,GRU,multi-chunk
0.631578947368421,acc,GRU,multi-chunk
0.7894736842105263,acc,GRU,multi-chunk
0.6842105263157895,acc,GRU,multi-chunk
0.631578947368421,acc,GRU,multi-chunk
0.8421052631578947,acc,GRU,multi-chunk
0.6842105263157895,acc,GRU,multi-chunk
0.7894736842105263,acc,GRU,multi-chunk
0.47368421052631576,acc,GRU,multi-chunk
0.6666666666666666,roc,GRU,multi-chunk
0.784090909090909,roc,GRU,multi-chunk
0.6190476190476191,roc,GRU,multi-chunk
0.7944444444444444,roc,GRU,multi-chunk
0.5897435897435898,roc,GRU,multi-chunk
0.6444444444444444,roc,GRU,multi-chunk
0.8465909090909092,roc,GRU,multi-chunk
0.7202380952380952,roc,GRU,multi-chunk
0.784090909090909,roc,GRU,multi-chunk
0.46111111111111114,roc,GRU,multi-chunk
0.5714285714285715,fms,GRU,multi-chunk
0.75,fms,GRU,multi-chunk
0.5333333333333333,fms,GRU,multi-chunk
0.7777777777777777,fms,GRU,multi-chunk
0.4,fms,GRU,multi-chunk
0.5333333333333333,fms,GRU,multi-chunk
0.8571428571428572,fms,GRU,multi-chunk
0.6666666666666665,fms,GRU,multi-chunk
0.75,fms,GRU,multi-chunk
0.2857142857142857,fms,GRU,multi-chunk
0.6666666666666666,precision,GRU,multi-chunk
0.75,precision,GRU,multi-chunk
0.5,precision,GRU,multi-chunk
0.875,precision,GRU,multi-chunk
0.5,precision,GRU,multi-chunk
0.8,precision,GRU,multi-chunk
0.9,precision,GRU,multi-chunk
0.5454545454545454,precision,GRU,multi-chunk
0.75,precision,GRU,multi-chunk
0.4,precision,GRU,multi-chunk
0.5,recall,GRU,multi-chunk
0.75,recall,GRU,multi-chunk
0.5714285714285714,recall,GRU,multi-chunk
0.7,recall,GRU,multi-chunk
0.3333333333333333,recall,GRU,multi-chunk
0.4,recall,GRU,multi-chunk
0.8181818181818182,recall,GRU,multi-chunk
0.8571428571428571,recall,GRU,multi-chunk
0.75,recall,GRU,multi-chunk
0.2222222222222222,recall,GRU,multi-chunk
0.8333333333333334,specificity,GRU,multi-chunk
0.8181818181818182,specificity,GRU,multi-chunk
0.6666666666666666,specificity,GRU,multi-chunk
0.8888888888888888,specificity,GRU,multi-chunk
0.8461538461538461,specificity,GRU,multi-chunk
0.8888888888888888,specificity,GRU,multi-chunk
0.875,specificity,GRU,multi-chunk
0.5833333333333334,specificity,GRU,multi-chunk
0.8181818181818182,specificity,GRU,multi-chunk
0.7,specificity,GRU,multi-chunk
4.0,tp,GRU,multi-chunk
6.0,tp,GRU,multi-chunk
4.0,tp,GRU,multi-chunk
7.0,tp,GRU,multi-chunk
2.0,tp,GRU,multi-chunk
4.0,tp,GRU,multi-chunk
9.0,tp,GRU,multi-chunk
6.0,tp,GRU,multi-chunk
6.0,tp,GRU,multi-chunk
2.0,tp,GRU,multi-chunk
2.0,fp,GRU,multi-chunk
2.0,fp,GRU,multi-chunk
4.0,fp,GRU,multi-chunk
1.0,fp,GRU,multi-chunk
2.0,fp,GRU,multi-chunk
1.0,fp,GRU,multi-chunk
1.0,fp,GRU,multi-chunk
5.0,fp,GRU,multi-chunk
2.0,fp,GRU,multi-chunk
3.0,fp,GRU,multi-chunk
4.0,fn,GRU,multi-chunk
2.0,fn,GRU,multi-chunk
3.0,fn,GRU,multi-chunk
3.0,fn,GRU,multi-chunk
4.0,fn,GRU,multi-chunk
6.0,fn,GRU,multi-chunk
2.0,fn,GRU,multi-chunk
1.0,fn,GRU,multi-chunk
2.0,fn,GRU,multi-chunk
7.0,fn,GRU,multi-chunk
10.0,tn,GRU,multi-chunk
9.0,tn,GRU,multi-chunk
8.0,tn,GRU,multi-chunk
8.0,tn,GRU,multi-chunk
11.0,tn,GRU,multi-chunk
8.0,tn,GRU,multi-chunk
7.0,tn,GRU,multi-chunk
7.0,tn,GRU,multi-chunk
9.0,tn,GRU,multi-chunk
7.0,tn,GRU,multi-chunk
