,mae,clf,strategy
0,64.13775646905182,Dummy,left
1,64.85718487389062,Dummy,left
2,64.70331433934705,Dummy,left
3,69.4135423031945,Dummy,left
4,58.64752813216384,Dummy,left
5,61.90770804273832,Dummy,left
6,67.12676421520418,Dummy,left
7,64.56103361543265,Dummy,left
8,65.41782710091444,Dummy,left
9,70.82879072743931,Dummy,left
10,57.40995483618087,LinearReg,left
11,58.42254003700879,LinearReg,left
12,61.260721963616604,LinearReg,left
13,62.51680467296883,LinearReg,left
14,55.192487695814606,LinearReg,left
15,57.67688302165844,LinearReg,left
16,58.2321322666263,LinearReg,left
17,59.074821253457344,LinearReg,left
18,59.213741731676976,LinearReg,left
19,65.6803262161903,LinearReg,left
20,64.66407554448496,Dummy,right
21,64.28758313981888,Dummy,right
22,64.78631055605732,Dummy,right
23,68.38994892201869,Dummy,right
24,59.491531726222,Dummy,right
25,61.62020086621489,Dummy,right
26,66.74567541859338,Dummy,right
27,63.99119027285623,Dummy,right
28,65.27643730396326,Dummy,right
29,71.49513057592944,Dummy,right
30,58.236641385908904,LinearReg,right
31,57.76709615204598,LinearReg,right
32,59.83701909368345,LinearReg,right
33,60.687842837405924,LinearReg,right
34,58.765682815591276,LinearReg,right
35,54.389939763681426,LinearReg,right
36,58.4780737669286,LinearReg,right
37,59.04195827564421,LinearReg,right
38,59.15539469805702,LinearReg,right
39,61.67394367724638,LinearReg,right
40,64.40091600676838,Dummy,both_eyes
41,64.57238400685475,Dummy,both_eyes
42,64.74481244770219,Dummy,both_eyes
43,68.9017456126066,Dummy,both_eyes
44,59.069529929192925,Dummy,both_eyes
45,61.763954454476604,Dummy,both_eyes
46,66.93621981689878,Dummy,both_eyes
47,64.27611194414443,Dummy,both_eyes
48,65.34713220243886,Dummy,both_eyes
49,71.16196065168438,Dummy,both_eyes
50,56.41412674197037,LinearReg,both_eyes
51,55.481258406291325,LinearReg,both_eyes
52,59.92089253485037,LinearReg,both_eyes
53,59.28010995825851,LinearReg,both_eyes
54,55.9926120505706,LinearReg,both_eyes
55,54.85899668791887,LinearReg,both_eyes
56,55.56349891717216,LinearReg,both_eyes
57,57.28745748953685,LinearReg,both_eyes
58,57.13449347102497,LinearReg,both_eyes
59,62.865421397063734,LinearReg,both_eyes
60,64.06301584040371,Dummy,avg
61,64.30643294510173,Dummy,avg
62,64.32391707020975,Dummy,avg
63,68.52141447983705,Dummy,avg
64,58.72930144373389,Dummy,avg
65,61.446713107477805,Dummy,avg
66,66.6476266190196,Dummy,avg
67,64.02136663365303,Dummy,avg
68,65.09623149597617,Dummy,avg
69,70.53187407051259,Dummy,avg
70,56.70645964896522,LinearReg,avg
71,56.288026209590285,LinearReg,avg
72,59.113086136685055,LinearReg,avg
73,59.235863016260836,LinearReg,avg
74,55.962009303729104,LinearReg,avg
75,54.63962899362741,LinearReg,avg
76,55.692344266289716,LinearReg,avg
77,58.15236112135321,LinearReg,avg
78,57.31341775801151,LinearReg,avg
79,61.69128413143954,LinearReg,avg
80,64.28828261798016,Dummy,all
81,64.48373365293708,Dummy,all
82,64.60451398853805,Dummy,all
83,68.77496856835008,Dummy,all
84,58.95612043403992,Dummy,all
85,61.658207338810335,Dummy,all
86,66.8400220842724,Dummy,all
87,64.1911968406473,Dummy,all
88,65.26349863361796,Dummy,all
89,70.95193179129377,Dummy,all
90,56.34226113929527,LinearReg,all
91,55.414068768524515,LinearReg,all
92,59.82976997150495,LinearReg,all
93,59.170638579922354,LinearReg,all
94,55.859165315103866,LinearReg,all
95,54.7569295696199,LinearReg,all
96,55.48561773052834,LinearReg,all
97,57.198547005004144,LinearReg,all
98,57.06557247579983,LinearReg,all
99,62.65967420882132,LinearReg,all
