GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
847.0,473.0,899.0,435.0,873.0,454.0,-1.0,-1.0,0.0,0.0
835.0,446.0,905.0,436.0,870.0,441.0,-1.0,-1.0,0.0,0.0
835.0,448.0,909.0,446.0,872.0,447.0,3.27,3.3,0.0,0.0
852.0,467.0,909.0,446.0,880.0,456.0,-1.0,-1.0,0.0,0.0
849.0,462.0,904.0,434.0,876.0,448.0,-1.0,-1.0,0.0,0.0
854.0,466.0,906.0,437.0,880.0,451.0,3.28,3.28,0.0,0.0
854.0,465.0,905.0,438.0,879.0,451.0,-1.0,-1.0,0.0,0.0
846.0,463.0,891.0,455.0,868.0,459.0,-1.0,-1.0,0.0,0.0
825.0,464.0,874.0,451.0,849.0,457.0,3.28,3.29,0.0,0.0
806.0,468.0,854.0,447.0,830.0,457.0,-1.0,-1.0,0.0,0.0
780.0,476.0,864.0,434.0,822.0,455.0,-1.0,-1.0,0.0,0.0
773.0,485.0,861.0,441.0,817.0,463.0,3.27,3.28,0.0,0.0
778.0,472.0,872.0,447.0,825.0,459.0,-1.0,-1.0,0.0,0.0
780.0,438.0,862.0,449.0,821.0,443.0,-1.0,-1.0,0.0,0.0
779.0,436.0,861.0,446.0,820.0,441.0,3.28,3.27,0.0,0.0
778.0,432.0,856.0,446.0,817.0,439.0,-1.0,-1.0,0.0,0.0
776.0,464.0,855.0,443.0,815.0,453.0,-1.0,-1.0,0.0,0.0
775.0,462.0,854.0,446.0,814.0,454.0,3.27,3.28,0.0,0.0
776.0,465.0,856.0,453.0,816.0,459.0,-1.0,-1.0,0.0,0.0
768.0,444.0,858.0,456.0,813.0,450.0,-1.0,-1.0,0.0,0.0
769.0,445.0,858.0,456.0,813.0,450.0,3.27,3.26,0.0,0.0
755.0,391.0,855.0,451.0,805.0,421.0,-1.0,-1.0,0.0,0.0
773.0,400.0,853.0,451.0,813.0,425.0,-1.0,-1.0,0.0,0.0
773.0,400.0,855.0,449.0,814.0,424.0,3.27,3.25,0.0,0.0
779.0,447.0,849.0,447.0,814.0,447.0,-1.0,-1.0,0.0,0.0
776.0,442.0,864.0,461.0,820.0,451.0,-1.0,-1.0,0.0,0.0
774.0,438.0,848.0,451.0,811.0,444.0,3.25,3.26,0.0,0.0
769.0,445.0,851.0,457.0,810.0,451.0,-1.0,-1.0,0.0,0.0
771.0,448.0,858.0,456.0,814.0,452.0,-1.0,-1.0,0.0,0.0
777.0,453.0,861.0,456.0,819.0,454.0,3.28,3.3,0.0,0.0
794.0,491.0,864.0,456.0,829.0,473.0,-1.0,-1.0,0.0,0.0
793.0,491.0,860.0,467.0,826.0,479.0,-1.0,-1.0,0.0,0.0
788.0,483.0,852.0,467.0,820.0,475.0,3.26,3.31,0.0,0.0
783.0,481.0,856.0,463.0,819.0,472.0,-1.0,-1.0,0.0,0.0
782.0,480.0,860.0,462.0,821.0,471.0,-1.0,-1.0,0.0,0.0
783.0,484.0,865.0,468.0,824.0,476.0,3.29,3.28,0.0,0.0
790.0,483.0,859.0,460.0,824.0,471.0,-1.0,-1.0,0.0,0.0
796.0,471.0,865.0,470.0,830.0,470.0,-1.0,-1.0,0.0,0.0
808.0,476.0,863.0,471.0,835.0,473.0,3.26,3.31,0.0,0.0
816.0,500.0,865.0,462.0,840.0,481.0,-1.0,-1.0,0.0,0.0
809.0,504.0,877.0,477.0,843.0,490.0,-1.0,-1.0,0.0,0.0
809.0,511.0,875.0,470.0,842.0,490.0,3.28,3.28,0.0,0.0
810.0,511.0,876.0,487.0,843.0,499.0,-1.0,-1.0,0.0,0.0
817.0,510.0,874.0,488.0,845.0,499.0,-1.0,-1.0,0.0,0.0
816.0,511.0,875.0,489.0,845.0,500.0,3.29,3.26,0.0,0.0
813.0,515.0,877.0,473.0,845.0,494.0,-1.0,-1.0,0.0,0.0
809.0,516.0,873.0,476.0,841.0,496.0,-1.0,-1.0,0.0,0.0
815.0,523.0,873.0,475.0,844.0,499.0,3.29,3.25,0.0,0.0
814.0,520.0,875.0,471.0,844.0,495.0,-1.0,-1.0,0.0,0.0
815.0,512.0,880.0,487.0,847.0,499.0,-1.0,-1.0,0.0,0.0
813.0,506.0,875.0,480.0,844.0,493.0,3.29,3.36,0.0,0.0
811.0,507.0,871.0,482.0,841.0,494.0,-1.0,-1.0,0.0,0.0
810.0,511.0,869.0,473.0,839.0,492.0,-1.0,-1.0,0.0,0.0
811.0,512.0,870.0,468.0,840.0,490.0,3.28,3.32,0.0,0.0
811.0,504.0,873.0,464.0,842.0,484.0,-1.0,-1.0,0.0,0.0
810.0,496.0,875.0,461.0,842.0,478.0,-1.0,-1.0,0.0,0.0
810.0,491.0,877.0,462.0,843.0,476.0,3.29,3.32,0.0,0.0
809.0,493.0,875.0,466.0,842.0,479.0,-1.0,-1.0,0.0,0.0
809.0,493.0,865.0,468.0,837.0,480.0,-1.0,-1.0,0.0,0.0
806.0,507.0,859.0,455.0,832.0,481.0,3.35,3.33,0.0,0.0
806.0,513.0,859.0,459.0,832.0,486.0,-1.0,-1.0,0.0,0.0
808.0,511.0,877.0,503.0,842.0,507.0,-1.0,-1.0,0.0,0.0
814.0,525.0,880.0,503.0,847.0,514.0,3.37,3.34,0.0,0.0
799.0,501.0,880.0,502.0,839.0,501.0,-1.0,-1.0,0.0,0.0
802.0,491.0,875.0,481.0,838.0,486.0,-1.0,-1.0,0.0,0.0
