GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
684.0,490.0,708.0,488.0,696.0,489.0,-1.0,-1.0,0.0,0.0
685.0,477.0,713.0,486.0,699.0,481.0,-1.0,-1.0,0.0,0.0
724.0,482.0,724.0,482.0,724.0,482.0,3.12,3.12,0.0,0.0
689.0,478.0,730.0,483.0,709.0,480.0,-1.0,-1.0,0.0,0.0
681.0,476.0,720.0,483.0,700.0,479.0,-1.0,-1.0,0.0,0.0
682.0,483.0,682.0,483.0,682.0,483.0,2.43,2.43,0.0,0.0
682.0,476.0,686.0,486.0,684.0,481.0,-1.0,-1.0,0.0,0.0
691.0,477.0,708.0,489.0,699.0,483.0,-1.0,-1.0,0.0,0.0
708.0,489.0,708.0,489.0,708.0,489.0,2.37,2.37,0.0,0.0
675.0,481.0,714.0,496.0,694.0,488.0,-1.0,-1.0,0.0,0.0
669.0,479.0,757.0,444.0,713.0,461.0,-1.0,-1.0,0.0,0.0
759.0,442.0,759.0,442.0,759.0,442.0,2.42,2.42,0.0,0.0
666.0,478.0,757.0,424.0,711.0,451.0,-1.0,-1.0,0.0,0.0
672.0,480.0,696.0,487.0,684.0,483.0,-1.0,-1.0,0.0,0.0
673.0,478.0,696.0,487.0,684.0,482.0,2.04,2.46,0.0,0.0
680.0,479.0,687.0,495.0,683.0,487.0,-1.0,-1.0,0.0,0.0
681.0,476.0,696.0,491.0,688.0,483.0,-1.0,-1.0,0.0,0.0
681.0,477.0,681.0,477.0,681.0,477.0,2.41,2.41,0.0,0.0
692.0,473.0,705.0,487.0,698.0,480.0,-1.0,-1.0,0.0,0.0
698.0,475.0,733.0,433.0,715.0,454.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
704.0,463.0,688.0,450.0,696.0,456.0,-1.0,-1.0,0.0,0.0
700.0,465.0,700.0,465.0,700.0,465.0,-1.0,-1.0,0.0,0.0
700.0,463.0,719.0,428.0,709.0,445.0,2.11,2.72,0.0,0.0
699.0,465.0,720.0,437.0,709.0,451.0,-1.0,-1.0,0.0,0.0
693.0,462.0,736.0,440.0,714.0,451.0,-1.0,-1.0,0.0,0.0
693.0,457.0,735.0,442.0,714.0,449.0,2.33,2.74,0.0,0.0
686.0,464.0,747.0,445.0,716.0,454.0,-1.0,-1.0,0.0,0.0
674.0,496.0,751.0,455.0,712.0,475.0,-1.0,-1.0,0.0,0.0
674.0,496.0,719.0,491.0,696.0,493.0,2.32,2.4,0.0,0.0
663.0,485.0,711.0,481.0,687.0,483.0,-1.0,-1.0,0.0,0.0
666.0,483.0,693.0,490.0,679.0,486.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
694.0,493.0,694.0,493.0,694.0,493.0,-1.0,-1.0,0.0,0.0
690.0,472.0,702.0,477.0,696.0,474.0,-1.0,-1.0,0.0,0.0
693.0,483.0,733.0,470.0,713.0,476.0,3.5,3.24,0.0,0.0
679.0,459.0,707.0,448.0,693.0,453.0,-1.0,-1.0,0.0,0.0
689.0,469.0,744.0,433.0,716.0,451.0,-1.0,-1.0,0.0,0.0
689.0,469.0,714.0,431.0,701.0,450.0,2.37,2.31,0.0,0.0
675.0,481.0,746.0,405.0,710.0,443.0,-1.0,-1.0,0.0,0.0
678.0,480.0,697.0,460.0,687.0,470.0,-1.0,-1.0,0.0,0.0
686.0,485.0,724.0,460.0,705.0,472.0,3.15,3.18,0.0,0.0
678.0,464.0,730.0,451.0,704.0,457.0,-1.0,-1.0,0.0,0.0
689.0,462.0,689.0,462.0,689.0,462.0,-1.0,-1.0,0.0,0.0
705.0,448.0,705.0,448.0,705.0,448.0,2.14,2.14,0.0,0.0
722.0,462.0,710.0,438.0,716.0,450.0,-1.0,-1.0,0.0,0.0
770.0,528.0,770.0,528.0,770.0,528.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
606.0,586.0,606.0,586.0,606.0,586.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
685.0,317.0,685.0,317.0,685.0,317.0,-1.0,-1.0,0.0,0.0
617.0,350.0,639.0,329.0,628.0,339.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
595.0,326.0,617.0,333.0,606.0,329.0,-1.0,-1.0,0.0,0.0
592.0,318.0,617.0,343.0,604.0,330.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
593.0,333.0,612.0,333.0,602.0,333.0,-1.0,-1.0,0.0,0.0
592.0,297.0,632.0,304.0,612.0,300.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
596.0,297.0,653.0,294.0,624.0,295.0,-1.0,-1.0,0.0,0.0
607.0,353.0,647.0,297.0,627.0,325.0,-1.0,-1.0,0.0,0.0
647.0,297.0,647.0,297.0,647.0,297.0,2.39,2.39,0.0,0.0
602.0,356.0,612.0,321.0,607.0,338.0,-1.0,-1.0,0.0,0.0
607.0,369.0,621.0,321.0,614.0,345.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
612.0,372.0,643.0,325.0,627.0,348.0,-1.0,-1.0,0.0,0.0
604.0,358.0,725.0,339.0,664.0,348.0,-1.0,-1.0,0.0,0.0
646.0,306.0,646.0,306.0,646.0,306.0,2.83,2.83,0.0,0.0
603.0,356.0,636.0,274.0,619.0,315.0,-1.0,-1.0,0.0,0.0
597.0,347.0,632.0,303.0,614.0,325.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
599.0,347.0,643.0,295.0,621.0,321.0,-1.0,-1.0,0.0,0.0
601.0,355.0,645.0,271.0,623.0,313.0,-1.0,-1.0,0.0,0.0
645.0,271.0,645.0,271.0,645.0,271.0,2.56,2.56,0.0,0.0
604.0,351.0,630.0,266.0,617.0,308.0,-1.0,-1.0,0.0,0.0
616.0,347.0,645.0,247.0,630.0,297.0,-1.0,-1.0,0.0,0.0
645.0,247.0,645.0,247.0,645.0,247.0,3.0,3.0,0.0,0.0
614.0,325.0,664.0,264.0,639.0,294.0,-1.0,-1.0,0.0,0.0
609.0,336.0,635.0,289.0,622.0,312.0,-1.0,-1.0,0.0,0.0
635.0,289.0,635.0,289.0,635.0,289.0,3.43,3.43,0.0,0.0
572.0,372.0,617.0,328.0,594.0,350.0,-1.0,-1.0,0.0,0.0
527.0,389.0,585.0,369.0,556.0,379.0,-1.0,-1.0,0.0,0.0
585.0,369.0,585.0,369.0,585.0,369.0,2.94,2.94,0.0,0.0
443.0,466.0,443.0,466.0,443.0,466.0,-1.0,-1.0,0.0,0.0
341.0,547.0,614.0,443.0,477.0,495.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
341.0,546.0,428.0,512.0,384.0,529.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
