GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
1168.0,860.0,1262.0,849.0,1215.0,854.0,2.91,2.34,0.0,0.0
1168.0,860.0,1168.0,860.0,1168.0,860.0,-1.0,-1.0,0.0,0.0
1184.0,859.0,1269.0,847.0,1226.0,853.0,-1.0,-1.0,0.0,0.0
1194.0,861.0,1237.0,844.0,1215.0,852.0,2.8,2.43,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1179.0,858.0,1231.0,835.0,1205.0,846.0,-1.0,-1.0,0.0,0.0
1172.0,854.0,1244.0,873.0,1208.0,863.0,2.83,2.43,0.0,0.0
1202.0,928.0,1202.0,928.0,1202.0,928.0,-1.0,-1.0,0.0,0.0
1155.0,855.0,1202.0,928.0,1178.0,891.0,-1.0,-1.0,0.0,0.0
1160.0,853.0,1262.0,811.0,1211.0,832.0,2.81,2.34,0.0,0.0
1262.0,811.0,1262.0,811.0,1262.0,811.0,-1.0,-1.0,0.0,0.0
1173.0,859.0,1292.0,786.0,1232.0,822.0,-1.0,-1.0,0.0,0.0
1178.0,857.0,1276.0,830.0,1227.0,843.0,2.73,2.39,0.0,0.0
1185.0,841.0,1185.0,841.0,1185.0,841.0,-1.0,-1.0,0.0,0.0
1169.0,831.0,1265.0,838.0,1217.0,834.0,-1.0,-1.0,0.0,0.0
1159.0,840.0,1159.0,840.0,1159.0,840.0,2.79,2.79,0.0,0.0
1163.0,838.0,1163.0,838.0,1163.0,838.0,-1.0,-1.0,0.0,0.0
1173.0,834.0,1272.0,829.0,1222.0,831.0,-1.0,-1.0,0.0,0.0
1167.0,831.0,1167.0,831.0,1167.0,831.0,2.84,2.84,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1145.0,847.0,1251.0,866.0,1198.0,856.0,-1.0,-1.0,0.0,0.0
1136.0,867.0,1264.0,850.0,1200.0,858.0,2.89,2.29,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1192.0,865.0,1288.0,853.0,1240.0,859.0,-1.0,-1.0,0.0,0.0
1204.0,850.0,1204.0,850.0,1204.0,850.0,2.81,2.81,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1168.0,861.0,1287.0,837.0,1227.0,849.0,-1.0,-1.0,0.0,0.0
1187.0,845.0,1294.0,834.0,1240.0,839.0,2.78,2.14,0.0,0.0
1299.0,790.0,1299.0,790.0,1299.0,790.0,-1.0,-1.0,0.0,0.0
1200.0,856.0,1200.0,856.0,1200.0,856.0,-1.0,-1.0,0.0,0.0
1181.0,879.0,1256.0,845.0,1218.0,862.0,2.84,2.39,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1121.0,864.0,1209.0,759.0,1165.0,811.0,-1.0,-1.0,0.0,0.0
990.0,799.0,990.0,799.0,990.0,799.0,2.87,2.87,0.0,0.0
989.0,799.0,989.0,799.0,989.0,799.0,-1.0,-1.0,0.0,0.0
991.0,704.0,1101.0,796.0,1046.0,750.0,-1.0,-1.0,0.0,0.0
992.0,674.0,992.0,674.0,992.0,674.0,2.83,2.83,0.0,0.0
986.0,669.0,971.0,675.0,978.0,672.0,-1.0,-1.0,0.0,0.0
976.0,667.0,986.0,651.0,981.0,659.0,-1.0,-1.0,0.0,0.0
969.0,654.0,969.0,654.0,969.0,654.0,2.72,2.72,0.0,0.0
948.0,648.0,948.0,648.0,948.0,648.0,-1.0,-1.0,0.0,0.0
966.0,661.0,945.0,633.0,955.0,647.0,-1.0,-1.0,0.0,0.0
971.0,661.0,971.0,661.0,971.0,661.0,2.71,2.71,0.0,0.0
973.0,684.0,973.0,684.0,973.0,684.0,-1.0,-1.0,0.0,0.0
984.0,678.0,945.0,662.0,964.0,670.0,-1.0,-1.0,0.0,0.0
991.0,744.0,965.0,655.0,978.0,699.0,2.86,2.36,0.0,0.0
977.0,689.0,991.0,634.0,984.0,661.0,-1.0,-1.0,0.0,0.0
977.0,654.0,977.0,654.0,977.0,654.0,-1.0,-1.0,0.0,0.0
978.0,676.0,982.0,651.0,980.0,663.0,2.81,2.1,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
969.0,670.0,969.0,640.0,969.0,655.0,-1.0,-1.0,0.0,0.0
937.0,637.0,937.0,637.0,937.0,637.0,2.78,2.78,0.0,0.0
884.0,604.0,925.0,608.0,904.0,606.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
851.0,545.0,885.0,612.0,868.0,578.0,2.67,2.49,0.0,0.0
874.0,542.0,884.0,615.0,879.0,578.0,-1.0,-1.0,0.0,0.0
874.0,542.0,874.0,542.0,874.0,542.0,-1.0,-1.0,0.0,0.0
854.0,556.0,850.0,635.0,852.0,595.0,2.79,2.93,0.0,0.0
848.0,559.0,848.0,559.0,848.0,559.0,-1.0,-1.0,0.0,0.0
873.0,542.0,845.0,572.0,859.0,557.0,-1.0,-1.0,0.0,0.0
876.0,540.0,876.0,540.0,876.0,540.0,2.75,2.75,0.0,0.0
879.0,543.0,879.0,543.0,879.0,543.0,-1.0,-1.0,0.0,0.0
875.0,530.0,828.0,558.0,851.0,544.0,-1.0,-1.0,0.0,0.0
856.0,545.0,847.0,545.0,851.0,545.0,2.68,2.22,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
844.0,599.0,844.0,599.0,844.0,599.0,-1.0,-1.0,0.0,0.0
865.0,545.0,838.0,690.0,851.0,617.0,2.71,2.85,0.0,0.0
878.0,519.0,866.0,650.0,872.0,584.0,-1.0,-1.0,0.0,0.0
867.0,538.0,868.0,616.0,867.0,577.0,-1.0,-1.0,0.0,0.0
884.0,566.0,877.0,537.0,880.0,551.0,2.75,2.29,0.0,0.0
874.0,570.0,863.0,544.0,868.0,557.0,-1.0,-1.0,0.0,0.0
888.0,577.0,889.0,534.0,888.0,555.0,-1.0,-1.0,0.0,0.0
892.0,570.0,879.0,553.0,885.0,561.0,2.73,2.49,0.0,0.0
885.0,526.0,859.0,542.0,872.0,534.0,-1.0,-1.0,0.0,0.0
851.0,551.0,851.0,551.0,851.0,551.0,-1.0,-1.0,0.0,0.0
883.0,485.0,856.0,547.0,869.0,516.0,2.81,2.4,0.0,0.0
854.0,535.0,854.0,535.0,854.0,535.0,-1.0,-1.0,0.0,0.0
827.0,539.0,865.0,524.0,846.0,531.0,-1.0,-1.0,0.0,0.0
811.0,533.0,860.0,512.0,835.0,522.0,2.81,2.4,0.0,0.0
