GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
781.0,514.0,788.0,519.0,784.0,516.0,-1.0,-1.0,0.0,0.0
774.0,497.0,785.0,519.0,779.0,508.0,-1.0,-1.0,0.0,0.0
803.0,530.0,789.0,500.0,796.0,515.0,3.02,2.57,0.0,0.0
786.0,480.0,787.0,530.0,786.0,505.0,-1.0,-1.0,0.0,0.0
795.0,494.0,791.0,516.0,793.0,505.0,-1.0,-1.0,0.0,0.0
783.0,488.0,791.0,531.0,787.0,509.0,2.58,2.6,0.0,0.0
793.0,502.0,794.0,530.0,793.0,516.0,-1.0,-1.0,0.0,0.0
776.0,516.0,794.0,537.0,785.0,526.0,-1.0,-1.0,0.0,0.0
789.0,531.0,804.0,513.0,796.0,522.0,3.06,2.56,0.0,0.0
786.0,533.0,799.0,505.0,792.0,519.0,-1.0,-1.0,0.0,0.0
794.0,526.0,791.0,504.0,792.0,515.0,-1.0,-1.0,0.0,0.0
785.0,517.0,781.0,526.0,783.0,521.0,2.6,2.72,0.0,0.0
785.0,522.0,783.0,535.0,784.0,528.0,-1.0,-1.0,0.0,0.0
795.0,550.0,784.0,542.0,789.0,546.0,-1.0,-1.0,0.0,0.0
794.0,550.0,786.0,534.0,790.0,542.0,2.96,2.52,0.0,0.0
802.0,544.0,781.0,521.0,791.0,532.0,-1.0,-1.0,0.0,0.0
804.0,551.0,779.0,516.0,791.0,533.0,-1.0,-1.0,0.0,0.0
804.0,551.0,779.0,513.0,791.0,532.0,2.49,2.54,0.0,0.0
788.0,546.0,786.0,504.0,787.0,525.0,-1.0,-1.0,0.0,0.0
795.0,535.0,792.0,495.0,793.0,515.0,-1.0,-1.0,0.0,0.0
795.0,535.0,794.0,519.0,794.0,527.0,2.97,2.55,0.0,0.0
775.0,514.0,787.0,519.0,781.0,516.0,-1.0,-1.0,0.0,0.0
766.0,518.0,785.0,510.0,775.0,514.0,-1.0,-1.0,0.0,0.0
764.0,509.0,780.0,528.0,772.0,518.0,2.47,2.73,0.0,0.0
773.0,514.0,789.0,544.0,781.0,529.0,-1.0,-1.0,0.0,0.0
789.0,516.0,789.0,516.0,789.0,516.0,-1.0,-1.0,0.0,0.0
793.0,521.0,790.0,528.0,791.0,524.0,2.74,2.61,0.0,0.0
786.0,502.0,791.0,532.0,788.0,517.0,-1.0,-1.0,0.0,0.0
774.0,465.0,774.0,465.0,774.0,465.0,-1.0,-1.0,0.0,0.0
775.0,465.0,797.0,558.0,786.0,511.0,2.89,2.73,0.0,0.0
803.0,511.0,794.0,502.0,798.0,506.0,-1.0,-1.0,0.0,0.0
794.0,521.0,787.0,535.0,790.0,528.0,-1.0,-1.0,0.0,0.0
783.0,507.0,792.0,521.0,787.0,514.0,2.94,2.66,0.0,0.0
789.0,507.0,789.0,527.0,789.0,517.0,-1.0,-1.0,0.0,0.0
792.0,528.0,783.0,531.0,787.0,529.0,-1.0,-1.0,0.0,0.0
793.0,528.0,786.0,536.0,789.0,532.0,2.85,2.63,0.0,0.0
808.0,538.0,802.0,530.0,805.0,534.0,-1.0,-1.0,0.0,0.0
837.0,499.0,834.0,523.0,835.0,511.0,-1.0,-1.0,0.0,0.0
829.0,499.0,848.0,531.0,838.0,515.0,2.62,2.6,0.0,0.0
842.0,510.0,838.0,530.0,840.0,520.0,-1.0,-1.0,0.0,0.0
846.0,497.0,835.0,540.0,840.0,518.0,-1.0,-1.0,0.0,0.0
847.0,477.0,838.0,535.0,842.0,506.0,2.51,2.63,0.0,0.0
840.0,476.0,851.0,537.0,845.0,506.0,-1.0,-1.0,0.0,0.0
844.0,541.0,848.0,525.0,846.0,533.0,-1.0,-1.0,0.0,0.0
844.0,541.0,835.0,534.0,839.0,537.0,2.62,2.69,0.0,0.0
820.0,510.0,834.0,527.0,827.0,518.0,-1.0,-1.0,0.0,0.0
831.0,485.0,831.0,531.0,831.0,508.0,-1.0,-1.0,0.0,0.0
834.0,495.0,838.0,527.0,836.0,511.0,2.69,2.85,0.0,0.0
846.0,509.0,839.0,516.0,842.0,512.0,-1.0,-1.0,0.0,0.0
841.0,526.0,838.0,507.0,839.0,516.0,-1.0,-1.0,0.0,0.0
854.0,535.0,838.0,507.0,846.0,521.0,3.07,2.63,0.0,0.0
840.0,526.0,835.0,549.0,837.0,537.0,-1.0,-1.0,0.0,0.0
846.0,501.0,832.0,554.0,839.0,527.0,-1.0,-1.0,0.0,0.0
841.0,493.0,842.0,518.0,841.0,505.0,2.61,2.59,0.0,0.0
848.0,498.0,832.0,524.0,840.0,511.0,-1.0,-1.0,0.0,0.0
