GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
509.0,323.0,509.0,323.0,509.0,323.0,2.34,2.34,0.0,0.0
505.0,321.0,510.0,345.0,507.0,333.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
506.0,323.0,522.0,349.0,514.0,336.0,2.35,2.31,0.0,0.0
509.0,322.0,526.0,354.0,517.0,338.0,-1.0,-1.0,0.0,0.0
506.0,329.0,525.0,349.0,515.0,339.0,-1.0,-1.0,0.0,0.0
509.0,328.0,521.0,350.0,515.0,339.0,2.34,2.34,0.0,0.0
510.0,329.0,522.0,351.0,516.0,340.0,-1.0,-1.0,0.0,0.0
514.0,327.0,522.0,351.0,518.0,339.0,-1.0,-1.0,0.0,0.0
497.0,312.0,522.0,351.0,509.0,331.0,2.32,2.33,0.0,0.0
497.0,312.0,520.0,350.0,508.0,331.0,-1.0,-1.0,0.0,0.0
497.0,317.0,519.0,347.0,508.0,332.0,-1.0,-1.0,0.0,0.0
502.0,316.0,514.0,339.0,508.0,327.0,2.34,2.32,0.0,0.0
502.0,316.0,514.0,339.0,508.0,327.0,-1.0,-1.0,0.0,0.0
506.0,315.0,510.0,338.0,508.0,326.0,-1.0,-1.0,0.0,0.0
509.0,319.0,516.0,349.0,512.0,334.0,2.33,2.32,0.0,0.0
510.0,320.0,515.0,346.0,512.0,333.0,-1.0,-1.0,0.0,0.0
508.0,322.0,515.0,345.0,511.0,333.0,-1.0,-1.0,0.0,0.0
509.0,326.0,521.0,352.0,515.0,339.0,2.33,2.3,0.0,0.0
509.0,326.0,525.0,349.0,517.0,337.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
508.0,322.0,517.0,341.0,512.0,331.0,2.33,2.26,0.0,0.0
508.0,322.0,520.0,342.0,514.0,332.0,-1.0,-1.0,0.0,0.0
506.0,320.0,517.0,340.0,511.0,330.0,-1.0,-1.0,0.0,0.0
501.0,321.0,517.0,342.0,509.0,331.0,2.3,2.29,0.0,0.0
509.0,330.0,518.0,346.0,513.0,338.0,-1.0,-1.0,0.0,0.0
508.0,328.0,516.0,347.0,512.0,337.0,-1.0,-1.0,0.0,0.0
505.0,325.0,517.0,350.0,511.0,337.0,2.33,2.29,0.0,0.0
505.0,324.0,515.0,348.0,510.0,336.0,-1.0,-1.0,0.0,0.0
497.0,323.0,513.0,345.0,505.0,334.0,-1.0,-1.0,0.0,0.0
496.0,328.0,514.0,348.0,505.0,338.0,2.32,2.3,0.0,0.0
496.0,328.0,518.0,345.0,507.0,336.0,-1.0,-1.0,0.0,0.0
510.0,336.0,520.0,341.0,515.0,338.0,-1.0,-1.0,0.0,0.0
510.0,316.0,520.0,344.0,515.0,330.0,2.3,2.34,0.0,0.0
510.0,316.0,519.0,350.0,514.0,333.0,-1.0,-1.0,0.0,0.0
508.0,320.0,518.0,353.0,513.0,336.0,-1.0,-1.0,0.0,0.0
499.0,316.0,517.0,350.0,508.0,333.0,2.31,2.29,0.0,0.0
499.0,316.0,512.0,348.0,505.0,332.0,-1.0,-1.0,0.0,0.0
498.0,327.0,511.0,356.0,504.0,341.0,-1.0,-1.0,0.0,0.0
472.0,320.0,472.0,333.0,472.0,326.0,2.34,2.31,0.0,0.0
427.0,300.0,427.0,300.0,427.0,300.0,-1.0,-1.0,0.0,0.0
432.0,297.0,361.0,265.0,396.0,281.0,-1.0,-1.0,0.0,0.0
275.0,201.0,282.0,220.0,278.0,210.0,2.29,2.3,0.0,0.0
