GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
442.0,592.0,414.0,550.0,428.0,571.0,2.8,2.43,0.0,0.0
440.0,591.0,420.0,537.0,430.0,564.0,-1.0,-1.0,0.0,0.0
435.0,589.0,418.0,507.0,426.0,548.0,-1.0,-1.0,0.0,0.0
427.0,582.0,422.0,514.0,424.0,548.0,2.73,2.5,0.0,0.0
439.0,587.0,417.0,518.0,428.0,552.0,-1.0,-1.0,0.0,0.0
440.0,581.0,419.0,550.0,429.0,565.0,-1.0,-1.0,0.0,0.0
445.0,579.0,425.0,550.0,435.0,564.0,2.66,2.5,0.0,0.0
444.0,582.0,431.0,559.0,437.0,570.0,-1.0,-1.0,0.0,0.0
443.0,583.0,433.0,548.0,438.0,565.0,-1.0,-1.0,0.0,0.0
429.0,590.0,415.0,544.0,422.0,567.0,2.66,2.42,0.0,0.0
447.0,566.0,415.0,538.0,431.0,552.0,-1.0,-1.0,0.0,0.0
446.0,568.0,414.0,538.0,430.0,553.0,-1.0,-1.0,0.0,0.0
446.0,568.0,411.0,530.0,428.0,549.0,2.66,2.29,0.0,0.0
430.0,585.0,413.0,534.0,421.0,559.0,-1.0,-1.0,0.0,0.0
431.0,578.0,418.0,549.0,424.0,563.0,-1.0,-1.0,0.0,0.0
432.0,582.0,419.0,550.0,425.0,566.0,2.69,2.67,0.0,0.0
449.0,584.0,423.0,554.0,436.0,569.0,-1.0,-1.0,0.0,0.0
452.0,597.0,421.0,546.0,436.0,571.0,-1.0,-1.0,0.0,0.0
463.0,603.0,463.0,603.0,463.0,603.0,2.72,2.72,0.0,0.0
460.0,610.0,419.0,525.0,439.0,567.0,-1.0,-1.0,0.0,0.0
454.0,597.0,423.0,522.0,438.0,559.0,-1.0,-1.0,0.0,0.0
440.0,594.0,431.0,525.0,435.0,559.0,2.64,2.37,0.0,0.0
438.0,591.0,439.0,536.0,438.0,563.0,-1.0,-1.0,0.0,0.0
445.0,597.0,434.0,530.0,439.0,563.0,-1.0,-1.0,0.0,0.0
460.0,601.0,433.0,512.0,446.0,556.0,2.65,2.19,0.0,0.0
459.0,594.0,417.0,510.0,438.0,552.0,-1.0,-1.0,0.0,0.0
460.0,580.0,418.0,514.0,439.0,547.0,-1.0,-1.0,0.0,0.0
460.0,581.0,410.0,517.0,435.0,549.0,2.68,2.16,0.0,0.0
451.0,575.0,426.0,523.0,438.0,549.0,-1.0,-1.0,0.0,0.0
431.0,553.0,431.0,509.0,431.0,531.0,-1.0,-1.0,0.0,0.0
431.0,553.0,431.0,511.0,431.0,532.0,2.72,2.23,0.0,0.0
449.0,558.0,433.0,511.0,441.0,534.0,-1.0,-1.0,0.0,0.0
454.0,571.0,430.0,524.0,442.0,547.0,-1.0,-1.0,0.0,0.0
455.0,566.0,438.0,547.0,446.0,556.0,2.76,2.7,0.0,0.0
447.0,569.0,434.0,538.0,440.0,553.0,-1.0,-1.0,0.0,0.0
444.0,573.0,433.0,537.0,438.0,555.0,-1.0,-1.0,0.0,0.0
445.0,585.0,431.0,502.0,438.0,543.0,2.7,2.17,0.0,0.0
429.0,552.0,432.0,502.0,430.0,527.0,-1.0,-1.0,0.0,0.0
426.0,551.0,424.0,501.0,425.0,526.0,-1.0,-1.0,0.0,0.0
425.0,559.0,431.0,514.0,428.0,536.0,2.55,2.16,0.0,0.0
425.0,558.0,426.0,524.0,425.0,541.0,-1.0,-1.0,0.0,0.0
427.0,578.0,438.0,564.0,432.0,571.0,-1.0,-1.0,0.0,0.0
442.0,593.0,440.0,559.0,441.0,576.0,2.66,2.36,0.0,0.0
438.0,600.0,445.0,553.0,441.0,576.0,-1.0,-1.0,0.0,0.0
439.0,582.0,444.0,539.0,441.0,560.0,-1.0,-1.0,0.0,0.0
419.0,576.0,441.0,541.0,430.0,558.0,2.54,2.22,0.0,0.0
445.0,547.0,428.0,551.0,436.0,549.0,-1.0,-1.0,0.0,0.0
440.0,553.0,428.0,551.0,434.0,552.0,-1.0,-1.0,0.0,0.0
441.0,547.0,443.0,545.0,442.0,546.0,2.54,2.4,0.0,0.0
433.0,553.0,453.0,539.0,443.0,546.0,-1.0,-1.0,0.0,0.0
427.0,561.0,433.0,540.0,430.0,550.0,-1.0,-1.0,0.0,0.0
