GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
647.0,1920.0,647.0,1920.0,647.0,1920.0,-1.0,-1.0,0.0,0.0
658.0,1930.0,658.0,1930.0,658.0,1930.0,3.35,3.35,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
650.0,2006.0,403.0,1620.0,526.0,1813.0,-1.0,-1.0,0.0,0.0
622.0,2107.0,622.0,2107.0,622.0,2107.0,3.34,3.34,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
624.0,2114.0,624.0,2114.0,624.0,2114.0,-1.0,-1.0,0.0,0.0
684.0,1708.0,684.0,1708.0,684.0,1708.0,3.4,3.4,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
687.0,1730.0,687.0,1730.0,687.0,1730.0,3.37,3.37,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
574.0,378.0,574.0,378.0,574.0,378.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
596.0,383.0,596.0,383.0,596.0,383.0,-1.0,-1.0,0.0,0.0
591.0,413.0,591.0,413.0,591.0,413.0,-1.0,-1.0,0.0,0.0
590.0,430.0,590.0,430.0,590.0,430.0,3.16,3.16,0.0,0.0
607.0,452.0,607.0,452.0,607.0,452.0,-1.0,-1.0,0.0,0.0
600.0,472.0,600.0,472.0,600.0,472.0,-1.0,-1.0,0.0,0.0
600.0,475.0,600.0,475.0,600.0,475.0,3.18,3.18,0.0,0.0
571.0,485.0,571.0,485.0,571.0,485.0,-1.0,-1.0,0.0,0.0
616.0,428.0,616.0,428.0,616.0,428.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
601.0,425.0,601.0,425.0,601.0,425.0,-1.0,-1.0,0.0,0.0
