GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
682.0,561.0,663.0,525.0,672.0,543.0,-1.0,-1.0,0.0,0.0
666.0,517.0,660.0,522.0,663.0,519.0,3.02,2.95,0.0,0.0
664.0,515.0,660.0,519.0,662.0,517.0,-1.0,-1.0,0.0,0.0
671.0,516.0,659.0,526.0,665.0,521.0,-1.0,-1.0,0.0,0.0
664.0,511.0,661.0,538.0,662.0,524.0,3.02,2.99,0.0,0.0
661.0,505.0,670.0,536.0,665.0,520.0,-1.0,-1.0,0.0,0.0
661.0,512.0,670.0,536.0,665.0,524.0,-1.0,-1.0,0.0,0.0
669.0,506.0,672.0,529.0,670.0,517.0,3.09,3.02,0.0,0.0
669.0,506.0,662.0,511.0,665.0,508.0,-1.0,-1.0,0.0,0.0
684.0,517.0,652.0,518.0,668.0,517.0,-1.0,-1.0,0.0,0.0
685.0,523.0,651.0,517.0,668.0,520.0,3.09,3.01,0.0,0.0
677.0,525.0,664.0,531.0,670.0,528.0,-1.0,-1.0,0.0,0.0
668.0,528.0,665.0,520.0,666.0,524.0,-1.0,-1.0,0.0,0.0
660.0,519.0,665.0,516.0,662.0,517.0,3.04,3.01,0.0,0.0
656.0,516.0,669.0,534.0,662.0,525.0,-1.0,-1.0,0.0,0.0
652.0,506.0,665.0,532.0,658.0,519.0,-1.0,-1.0,0.0,0.0
658.0,512.0,664.0,545.0,661.0,528.0,2.95,3.15,0.0,0.0
664.0,510.0,664.0,547.0,664.0,528.0,-1.0,-1.0,0.0,0.0
671.0,501.0,666.0,542.0,668.0,521.0,-1.0,-1.0,0.0,0.0
684.0,544.0,672.0,541.0,678.0,542.0,3.17,3.03,0.0,0.0
686.0,543.0,669.0,533.0,677.0,538.0,-1.0,-1.0,0.0,0.0
686.0,543.0,675.0,536.0,680.0,539.0,-1.0,-1.0,0.0,0.0
672.0,523.0,673.0,552.0,672.0,537.0,3.15,3.07,0.0,0.0
675.0,526.0,676.0,557.0,675.0,541.0,-1.0,-1.0,0.0,0.0
680.0,519.0,676.0,557.0,678.0,538.0,-1.0,-1.0,0.0,0.0
678.0,520.0,665.0,537.0,671.0,528.0,3.13,3.06,0.0,0.0
674.0,519.0,658.0,516.0,666.0,517.0,-1.0,-1.0,0.0,0.0
679.0,519.0,655.0,519.0,667.0,519.0,-1.0,-1.0,0.0,0.0
671.0,508.0,652.0,524.0,661.0,516.0,2.94,3.03,0.0,0.0
680.0,512.0,656.0,539.0,668.0,525.0,-1.0,-1.0,0.0,0.0
672.0,525.0,654.0,538.0,663.0,531.0,-1.0,-1.0,0.0,0.0
658.0,517.0,653.0,523.0,655.0,520.0,3.07,3.0,0.0,0.0
658.0,517.0,651.0,521.0,654.0,519.0,-1.0,-1.0,0.0,0.0
651.0,503.0,659.0,523.0,655.0,513.0,-1.0,-1.0,0.0,0.0
657.0,505.0,655.0,533.0,656.0,519.0,3.14,3.03,0.0,0.0
676.0,515.0,654.0,536.0,665.0,525.0,-1.0,-1.0,0.0,0.0
676.0,517.0,655.0,536.0,665.0,526.0,-1.0,-1.0,0.0,0.0
671.0,513.0,662.0,524.0,666.0,518.0,3.07,2.95,0.0,0.0
656.0,505.0,654.0,528.0,655.0,516.0,-1.0,-1.0,0.0,0.0
655.0,519.0,650.0,518.0,652.0,518.0,-1.0,-1.0,0.0,0.0
661.0,526.0,654.0,510.0,657.0,518.0,3.14,2.94,0.0,0.0
668.0,526.0,655.0,506.0,661.0,516.0,-1.0,-1.0,0.0,0.0
671.0,531.0,660.0,512.0,665.0,521.0,-1.0,-1.0,0.0,0.0
672.0,509.0,663.0,513.0,667.0,511.0,3.06,2.97,0.0,0.0
