GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
456.0,462.0,464.0,455.0,460.0,458.0,-1.0,-1.0,0.0,0.0
457.0,460.0,451.0,448.0,454.0,454.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
453.0,464.0,455.0,516.0,454.0,490.0,-1.0,-1.0,0.0,0.0
454.0,449.0,458.0,468.0,456.0,458.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
461.0,450.0,437.0,471.0,449.0,460.0,-1.0,-1.0,0.0,0.0
464.0,461.0,435.0,482.0,449.0,471.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
473.0,471.0,451.0,464.0,462.0,467.0,-1.0,-1.0,0.0,0.0
467.0,485.0,445.0,458.0,456.0,471.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
464.0,470.0,464.0,470.0,464.0,470.0,-1.0,-1.0,0.0,0.0
466.0,467.0,408.0,361.0,437.0,414.0,-1.0,-1.0,0.0,0.0
438.0,418.0,438.0,418.0,438.0,418.0,1.88,1.88,0.0,0.0
460.0,446.0,431.0,406.0,445.0,426.0,-1.0,-1.0,0.0,0.0
452.0,467.0,452.0,467.0,452.0,467.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
445.0,475.0,437.0,422.0,441.0,448.0,-1.0,-1.0,0.0,0.0
449.0,470.0,449.0,436.0,449.0,453.0,-1.0,-1.0,0.0,0.0
466.0,459.0,466.0,459.0,466.0,459.0,2.6,2.6,0.0,0.0
464.0,474.0,465.0,460.0,464.0,467.0,-1.0,-1.0,0.0,0.0
460.0,491.0,457.0,457.0,458.0,474.0,-1.0,-1.0,0.0,0.0
457.0,457.0,457.0,457.0,457.0,457.0,1.88,1.88,0.0,0.0
453.0,490.0,456.0,473.0,454.0,481.0,-1.0,-1.0,0.0,0.0
461.0,471.0,461.0,471.0,461.0,471.0,-1.0,-1.0,0.0,0.0
457.0,474.0,457.0,474.0,457.0,474.0,2.05,2.05,0.0,0.0
460.0,474.0,452.0,465.0,456.0,469.0,-1.0,-1.0,0.0,0.0
457.0,467.0,446.0,494.0,451.0,480.0,-1.0,-1.0,0.0,0.0
