GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
347.0,585.0,1711.0,150.0,1029.0,367.0,-1.0,-1.0,0.0,0.0
338.0,580.0,1299.0,111.0,818.0,345.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
356.0,574.0,1334.0,134.0,845.0,354.0,-1.0,-1.0,0.0,0.0
400.0,573.0,1535.0,161.0,967.0,367.0,-1.0,-1.0,0.0,0.0
400.0,573.0,400.0,573.0,400.0,573.0,2.53,2.53,0.0,0.0
421.0,563.0,1441.0,287.0,931.0,425.0,-1.0,-1.0,0.0,0.0
422.0,551.0,422.0,551.0,422.0,551.0,-1.0,-1.0,0.0,0.0
1114.0,429.0,1114.0,429.0,1114.0,429.0,2.34,2.34,0.0,0.0
424.0,548.0,1329.0,339.0,876.0,443.0,-1.0,-1.0,0.0,0.0
423.0,548.0,972.0,350.0,697.0,449.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
425.0,545.0,972.0,350.0,698.0,447.0,-1.0,-1.0,0.0,0.0
439.0,569.0,439.0,569.0,439.0,569.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
438.0,567.0,438.0,567.0,438.0,567.0,-1.0,-1.0,0.0,0.0
439.0,569.0,439.0,569.0,439.0,569.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
433.0,571.0,1072.0,-115.0,752.0,228.0,-1.0,-1.0,0.0,0.0
434.0,572.0,434.0,572.0,434.0,572.0,-1.0,-1.0,0.0,0.0
440.0,579.0,440.0,579.0,440.0,579.0,2.32,2.32,0.0,0.0
