GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
561.0,398.0,564.0,366.0,562.0,382.0,2.22,2.12,0.0,0.0
550.0,400.0,564.0,373.0,557.0,386.0,-1.0,-1.0,0.0,0.0
550.0,401.0,572.0,374.0,561.0,387.0,-1.0,-1.0,0.0,0.0
541.0,399.0,575.0,377.0,558.0,388.0,2.04,2.18,0.0,0.0
547.0,402.0,588.0,373.0,567.0,387.0,-1.0,-1.0,0.0,0.0
544.0,405.0,575.0,376.0,559.0,390.0,-1.0,-1.0,0.0,0.0
544.0,405.0,577.0,380.0,560.0,392.0,2.13,2.05,0.0,0.0
531.0,394.0,551.0,360.0,541.0,377.0,-1.0,-1.0,0.0,0.0
554.0,439.0,554.0,355.0,554.0,397.0,-1.0,-1.0,0.0,0.0
544.0,424.0,558.0,362.0,551.0,393.0,2.14,2.13,0.0,0.0
556.0,424.0,565.0,365.0,560.0,394.0,-1.0,-1.0,0.0,0.0
558.0,406.0,567.0,370.0,562.0,388.0,-1.0,-1.0,0.0,0.0
561.0,404.0,566.0,369.0,563.0,386.0,2.11,2.08,0.0,0.0
577.0,397.0,558.0,371.0,567.0,384.0,-1.0,-1.0,0.0,0.0
560.0,404.0,563.0,371.0,561.0,387.0,-1.0,-1.0,0.0,0.0
555.0,396.0,563.0,371.0,559.0,383.0,2.12,2.13,0.0,0.0
555.0,399.0,572.0,367.0,563.0,383.0,-1.0,-1.0,0.0,0.0
559.0,396.0,569.0,368.0,564.0,382.0,-1.0,-1.0,0.0,0.0
581.0,421.0,571.0,368.0,576.0,394.0,2.43,2.06,0.0,0.0
571.0,428.0,566.0,362.0,568.0,395.0,-1.0,-1.0,0.0,0.0
559.0,422.0,569.0,363.0,564.0,392.0,-1.0,-1.0,0.0,0.0
559.0,422.0,565.0,359.0,562.0,390.0,2.32,2.13,0.0,0.0
559.0,422.0,587.0,379.0,573.0,400.0,-1.0,-1.0,0.0,0.0
556.0,428.0,578.0,386.0,567.0,407.0,-1.0,-1.0,0.0,0.0
555.0,425.0,578.0,386.0,566.0,405.0,2.75,2.18,0.0,0.0
568.0,423.0,552.0,362.0,560.0,392.0,-1.0,-1.0,0.0,0.0
566.0,426.0,557.0,352.0,561.0,389.0,-1.0,-1.0,0.0,0.0
561.0,425.0,547.0,339.0,554.0,382.0,2.18,1.97,0.0,0.0
539.0,428.0,558.0,340.0,548.0,384.0,-1.0,-1.0,0.0,0.0
543.0,438.0,552.0,332.0,547.0,385.0,-1.0,-1.0,0.0,0.0
