GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
505.0,320.0,505.0,320.0,505.0,320.0,2.95,2.95,0.0,0.0
500.0,317.0,361.0,265.0,430.0,291.0,-1.0,-1.0,0.0,0.0
497.0,350.0,497.0,350.0,497.0,350.0,-1.0,-1.0,0.0,0.0
494.0,347.0,494.0,347.0,494.0,347.0,2.95,2.95,0.0,0.0
494.0,345.0,364.0,214.0,429.0,279.0,-1.0,-1.0,0.0,0.0
528.0,379.0,528.0,379.0,528.0,379.0,-1.0,-1.0,0.0,0.0
523.0,376.0,363.0,255.0,443.0,315.0,2.91,3.09,0.0,0.0
523.0,376.0,343.0,246.0,433.0,311.0,-1.0,-1.0,0.0,0.0
477.0,366.0,317.0,257.0,397.0,311.0,-1.0,-1.0,0.0,0.0
484.0,373.0,314.0,262.0,399.0,317.0,2.91,2.97,0.0,0.0
488.0,375.0,329.0,285.0,408.0,330.0,-1.0,-1.0,0.0,0.0
464.0,358.0,338.0,279.0,401.0,318.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
517.0,390.0,317.0,202.0,417.0,296.0,-1.0,-1.0,0.0,0.0
524.0,394.0,524.0,394.0,524.0,394.0,-1.0,-1.0,0.0,0.0
429.0,347.0,429.0,347.0,429.0,347.0,2.85,2.85,0.0,0.0
424.0,350.0,299.0,206.0,361.0,278.0,-1.0,-1.0,0.0,0.0
282.0,221.0,282.0,221.0,282.0,221.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
440.0,350.0,250.0,237.0,345.0,293.0,-1.0,-1.0,0.0,0.0
273.0,215.0,273.0,215.0,273.0,215.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
326.0,272.0,302.0,214.0,314.0,243.0,-1.0,-1.0,0.0,0.0
289.0,229.0,289.0,229.0,289.0,229.0,-1.0,-1.0,0.0,0.0
387.0,307.0,263.0,266.0,325.0,286.0,2.75,2.87,0.0,0.0
399.0,324.0,262.0,265.0,330.0,294.0,-1.0,-1.0,0.0,0.0
259.0,263.0,259.0,263.0,259.0,263.0,-1.0,-1.0,0.0,0.0
390.0,322.0,390.0,322.0,390.0,322.0,2.73,2.73,0.0,0.0
373.0,320.0,251.0,261.0,312.0,290.0,-1.0,-1.0,0.0,0.0
410.0,329.0,410.0,329.0,410.0,329.0,-1.0,-1.0,0.0,0.0
477.0,352.0,477.0,352.0,477.0,352.0,2.7,2.7,0.0,0.0
477.0,352.0,267.0,237.0,372.0,294.0,-1.0,-1.0,0.0,0.0
429.0,325.0,292.0,217.0,360.0,271.0,-1.0,-1.0,0.0,0.0
429.0,323.0,277.0,245.0,353.0,284.0,2.72,2.84,0.0,0.0
439.0,324.0,277.0,240.0,358.0,282.0,-1.0,-1.0,0.0,0.0
446.0,331.0,446.0,331.0,446.0,331.0,-1.0,-1.0,0.0,0.0
448.0,332.0,448.0,332.0,448.0,332.0,2.73,2.73,0.0,0.0
439.0,336.0,316.0,198.0,377.0,267.0,-1.0,-1.0,0.0,0.0
427.0,343.0,427.0,343.0,427.0,343.0,-1.0,-1.0,0.0,0.0
