GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
1126.0,627.0,1169.0,639.0,1147.0,633.0,-1.0,-1.0,0.0,0.0
1118.0,640.0,1174.0,632.0,1146.0,636.0,-1.0,-1.0,0.0,0.0
1115.0,637.0,1168.0,636.0,1141.0,636.0,3.17,3.31,0.0,0.0
1111.0,625.0,1168.0,632.0,1139.0,628.0,-1.0,-1.0,0.0,0.0
1114.0,627.0,1172.0,631.0,1143.0,629.0,-1.0,-1.0,0.0,0.0
1113.0,626.0,1173.0,633.0,1143.0,629.0,3.1,3.28,0.0,0.0
1119.0,639.0,1171.0,637.0,1145.0,638.0,-1.0,-1.0,0.0,0.0
1119.0,634.0,1162.0,641.0,1140.0,637.0,-1.0,-1.0,0.0,0.0
1118.0,634.0,1162.0,636.0,1140.0,635.0,3.13,3.22,0.0,0.0
1116.0,616.0,1164.0,635.0,1140.0,625.0,-1.0,-1.0,0.0,0.0
1122.0,613.0,1168.0,632.0,1145.0,622.0,-1.0,-1.0,0.0,0.0
1127.0,616.0,1169.0,631.0,1148.0,623.0,3.15,3.23,0.0,0.0
1124.0,617.0,1173.0,617.0,1148.0,617.0,-1.0,-1.0,0.0,0.0
1123.0,618.0,1174.0,617.0,1148.0,617.0,-1.0,-1.0,0.0,0.0
1126.0,621.0,1165.0,637.0,1145.0,629.0,3.08,3.28,0.0,0.0
1120.0,612.0,1161.0,644.0,1140.0,628.0,-1.0,-1.0,0.0,0.0
1109.0,621.0,1161.0,640.0,1135.0,630.0,-1.0,-1.0,0.0,0.0
1112.0,639.0,1185.0,616.0,1148.0,627.0,3.14,3.24,0.0,0.0
1123.0,643.0,1171.0,625.0,1147.0,634.0,-1.0,-1.0,0.0,0.0
1130.0,635.0,1174.0,626.0,1152.0,630.0,-1.0,-1.0,0.0,0.0
1127.0,634.0,1173.0,625.0,1150.0,629.0,3.12,3.22,0.0,0.0
1116.0,628.0,1184.0,628.0,1150.0,628.0,-1.0,-1.0,0.0,0.0
1113.0,636.0,1183.0,636.0,1148.0,636.0,-1.0,-1.0,0.0,0.0
1114.0,615.0,1185.0,633.0,1149.0,624.0,3.1,3.22,0.0,0.0
1123.0,628.0,1192.0,610.0,1157.0,619.0,-1.0,-1.0,0.0,0.0
1126.0,627.0,1192.0,610.0,1159.0,618.0,-1.0,-1.0,0.0,0.0
1127.0,628.0,1188.0,630.0,1157.0,629.0,3.07,3.27,0.0,0.0
1117.0,615.0,1176.0,642.0,1146.0,628.0,-1.0,-1.0,0.0,0.0
1103.0,592.0,1165.0,627.0,1134.0,609.0,-1.0,-1.0,0.0,0.0
1096.0,572.0,1130.0,599.0,1113.0,585.0,3.14,3.4,0.0,0.0
997.0,500.0,1075.0,515.0,1036.0,507.0,-1.0,-1.0,0.0,0.0
873.0,398.0,949.0,394.0,911.0,396.0,-1.0,-1.0,0.0,0.0
771.0,328.0,827.0,304.0,799.0,316.0,3.01,3.25,0.0,0.0
673.0,304.0,707.0,263.0,690.0,283.0,-1.0,-1.0,0.0,0.0
586.0,299.0,609.0,242.0,597.0,270.0,-1.0,-1.0,0.0,0.0
497.0,290.0,519.0,239.0,508.0,264.0,3.03,3.33,0.0,0.0
411.0,287.0,434.0,226.0,422.0,256.0,-1.0,-1.0,0.0,0.0
371.0,282.0,393.0,224.0,382.0,253.0,-1.0,-1.0,0.0,0.0
360.0,284.0,384.0,224.0,372.0,254.0,2.98,3.34,0.0,0.0
359.0,275.0,388.0,226.0,373.0,250.0,-1.0,-1.0,0.0,0.0
358.0,282.0,385.0,222.0,371.0,252.0,-1.0,-1.0,0.0,0.0
350.0,277.0,351.0,224.0,350.0,250.0,2.99,3.16,0.0,0.0
348.0,276.0,350.0,232.0,349.0,254.0,-1.0,-1.0,0.0,0.0
347.0,269.0,357.0,228.0,352.0,248.0,-1.0,-1.0,0.0,0.0
345.0,271.0,357.0,238.0,351.0,254.0,2.97,3.19,0.0,0.0
348.0,273.0,366.0,227.0,357.0,250.0,-1.0,-1.0,0.0,0.0
344.0,276.0,363.0,224.0,353.0,250.0,-1.0,-1.0,0.0,0.0
343.0,276.0,362.0,226.0,352.0,251.0,2.95,3.16,0.0,0.0
345.0,278.0,348.0,209.0,346.0,243.0,-1.0,-1.0,0.0,0.0
263.0,220.0,297.0,165.0,280.0,192.0,-1.0,-1.0,0.0,0.0
186.0,170.0,200.0,88.0,193.0,129.0,2.88,3.06,0.0,0.0
122.0,135.0,190.0,95.0,156.0,115.0,-1.0,-1.0,0.0,0.0
117.0,145.0,181.0,105.0,149.0,125.0,-1.0,-1.0,0.0,0.0
130.0,161.0,181.0,113.0,155.0,137.0,2.88,2.98,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
132.0,161.0,132.0,161.0,132.0,161.0,-1.0,-1.0,0.0,0.0
152.0,193.0,177.0,111.0,164.0,152.0,2.79,2.92,0.0,0.0
154.0,191.0,181.0,112.0,167.0,151.0,-1.0,-1.0,0.0,0.0
121.0,165.0,159.0,91.0,140.0,128.0,-1.0,-1.0,0.0,0.0
123.0,166.0,157.0,92.0,140.0,129.0,2.72,2.82,0.0,0.0
132.0,170.0,150.0,79.0,141.0,124.0,-1.0,-1.0,0.0,0.0
135.0,171.0,159.0,99.0,147.0,135.0,-1.0,-1.0,0.0,0.0
139.0,171.0,159.0,97.0,149.0,134.0,2.7,2.83,0.0,0.0
136.0,167.0,164.0,101.0,150.0,134.0,-1.0,-1.0,0.0,0.0
130.0,168.0,166.0,116.0,148.0,142.0,-1.0,-1.0,0.0,0.0
157.0,208.0,159.0,102.0,158.0,155.0,2.68,2.75,0.0,0.0
157.0,208.0,159.0,109.0,158.0,158.0,-1.0,-1.0,0.0,0.0
165.0,211.0,143.0,83.0,154.0,147.0,-1.0,-1.0,0.0,0.0
133.0,180.0,141.0,81.0,137.0,130.0,2.57,2.76,0.0,0.0
147.0,179.0,130.0,77.0,138.0,128.0,-1.0,-1.0,0.0,0.0
133.0,188.0,125.0,95.0,129.0,141.0,-1.0,-1.0,0.0,0.0
120.0,195.0,112.0,136.0,116.0,165.0,2.44,2.3,0.0,0.0
131.0,159.0,131.0,159.0,131.0,159.0,-1.0,-1.0,0.0,0.0
129.0,193.0,132.0,159.0,130.0,176.0,-1.0,-1.0,0.0,0.0
148.0,208.0,148.0,208.0,148.0,208.0,2.51,2.51,0.0,0.0
122.0,160.0,122.0,160.0,122.0,160.0,-1.0,-1.0,0.0,0.0
165.0,252.0,127.0,150.0,146.0,201.0,-1.0,-1.0,0.0,0.0
153.0,243.0,133.0,128.0,143.0,185.0,2.46,2.57,0.0,0.0
134.0,130.0,134.0,130.0,134.0,130.0,-1.0,-1.0,0.0,0.0
160.0,236.0,129.0,134.0,144.0,185.0,-1.0,-1.0,0.0,0.0
160.0,237.0,132.0,134.0,146.0,185.0,2.43,2.58,0.0,0.0
155.0,138.0,155.0,138.0,155.0,138.0,-1.0,-1.0,0.0,0.0
161.0,238.0,140.0,139.0,150.0,188.0,-1.0,-1.0,0.0,0.0
161.0,239.0,136.0,137.0,148.0,188.0,2.38,2.18,0.0,0.0
151.0,230.0,131.0,152.0,141.0,191.0,-1.0,-1.0,0.0,0.0
149.0,229.0,125.0,162.0,137.0,195.0,-1.0,-1.0,0.0,0.0
157.0,238.0,130.0,133.0,143.0,185.0,2.29,2.53,0.0,0.0
162.0,238.0,138.0,143.0,150.0,190.0,-1.0,-1.0,0.0,0.0
164.0,240.0,136.0,140.0,150.0,190.0,-1.0,-1.0,0.0,0.0
153.0,235.0,130.0,145.0,141.0,190.0,2.34,2.41,0.0,0.0
124.0,152.0,124.0,152.0,124.0,152.0,-1.0,-1.0,0.0,0.0
155.0,245.0,126.0,152.0,140.0,198.0,-1.0,-1.0,0.0,0.0
164.0,253.0,149.0,142.0,156.0,197.0,2.33,2.54,0.0,0.0
129.0,141.0,129.0,141.0,129.0,141.0,-1.0,-1.0,0.0,0.0
171.0,260.0,136.0,139.0,153.0,199.0,-1.0,-1.0,0.0,0.0
163.0,259.0,132.0,136.0,147.0,197.0,2.37,2.53,0.0,0.0
131.0,135.0,131.0,135.0,131.0,135.0,-1.0,-1.0,0.0,0.0
166.0,255.0,126.0,141.0,146.0,198.0,-1.0,-1.0,0.0,0.0
177.0,254.0,140.0,143.0,158.0,198.0,2.43,2.47,0.0,0.0
200.0,240.0,187.0,139.0,193.0,189.0,-1.0,-1.0,0.0,0.0
241.0,233.0,200.0,146.0,220.0,189.0,-1.0,-1.0,0.0,0.0
289.0,212.0,242.0,130.0,265.0,171.0,2.36,2.49,0.0,0.0
275.0,246.0,236.0,134.0,255.0,190.0,-1.0,-1.0,0.0,0.0
276.0,247.0,238.0,134.0,257.0,190.0,-1.0,-1.0,0.0,0.0
276.0,251.0,236.0,133.0,256.0,192.0,2.35,2.55,0.0,0.0
271.0,250.0,234.0,134.0,252.0,192.0,-1.0,-1.0,0.0,0.0
275.0,252.0,229.0,128.0,252.0,190.0,-1.0,-1.0,0.0,0.0
282.0,249.0,232.0,125.0,257.0,187.0,2.33,2.62,0.0,0.0
282.0,246.0,238.0,129.0,260.0,187.0,-1.0,-1.0,0.0,0.0
279.0,235.0,238.0,135.0,258.0,185.0,-1.0,-1.0,0.0,0.0
287.0,244.0,233.0,132.0,260.0,188.0,2.18,2.63,0.0,0.0
285.0,241.0,223.0,130.0,254.0,185.0,-1.0,-1.0,0.0,0.0
280.0,237.0,231.0,126.0,255.0,181.0,-1.0,-1.0,0.0,0.0
265.0,225.0,228.0,119.0,246.0,172.0,2.32,2.61,0.0,0.0
272.0,246.0,222.0,109.0,247.0,177.0,-1.0,-1.0,0.0,0.0
274.0,241.0,223.0,99.0,248.0,170.0,-1.0,-1.0,0.0,0.0
267.0,232.0,223.0,92.0,245.0,162.0,2.44,2.61,0.0,0.0
247.0,199.0,215.0,79.0,231.0,139.0,-1.0,-1.0,0.0,0.0
232.0,209.0,213.0,69.0,222.0,139.0,-1.0,-1.0,0.0,0.0
222.0,199.0,211.0,68.0,216.0,133.0,2.53,2.72,0.0,0.0
242.0,153.0,227.0,72.0,234.0,112.0,-1.0,-1.0,0.0,0.0
230.0,166.0,224.0,72.0,227.0,119.0,-1.0,-1.0,0.0,0.0
229.0,164.0,231.0,64.0,230.0,114.0,2.55,2.76,0.0,0.0
253.0,160.0,247.0,60.0,250.0,110.0,-1.0,-1.0,0.0,0.0
290.0,156.0,307.0,47.0,298.0,101.0,-1.0,-1.0,0.0,0.0
330.0,174.0,304.0,53.0,317.0,113.0,2.45,2.77,0.0,0.0
340.0,181.0,302.0,48.0,321.0,114.0,-1.0,-1.0,0.0,0.0
338.0,181.0,292.0,49.0,315.0,115.0,-1.0,-1.0,0.0,0.0
333.0,172.0,299.0,43.0,316.0,107.0,2.53,2.73,0.0,0.0
342.0,180.0,301.0,43.0,321.0,111.0,-1.0,-1.0,0.0,0.0
338.0,176.0,303.0,42.0,320.0,109.0,-1.0,-1.0,0.0,0.0
369.0,192.0,300.0,49.0,334.0,120.0,2.51,2.79,0.0,0.0
331.0,169.0,300.0,49.0,315.0,109.0,-1.0,-1.0,0.0,0.0
328.0,168.0,304.0,45.0,316.0,106.0,-1.0,-1.0,0.0,0.0
315.0,162.0,305.0,39.0,310.0,100.0,2.59,2.8,0.0,0.0
321.0,172.0,300.0,34.0,310.0,103.0,-1.0,-1.0,0.0,0.0
316.0,171.0,296.0,32.0,306.0,101.0,-1.0,-1.0,0.0,0.0
314.0,170.0,293.0,34.0,303.0,102.0,2.58,2.81,0.0,0.0
304.0,51.0,304.0,51.0,304.0,51.0,-1.0,-1.0,0.0,0.0
310.0,170.0,308.0,55.0,309.0,112.0,-1.0,-1.0,0.0,0.0
305.0,162.0,306.0,49.0,305.0,105.0,2.67,2.78,0.0,0.0
294.0,28.0,294.0,28.0,294.0,28.0,-1.0,-1.0,0.0,0.0
300.0,147.0,288.0,22.0,294.0,84.0,-1.0,-1.0,0.0,0.0
308.0,154.0,295.0,29.0,301.0,91.0,2.65,2.89,0.0,0.0
298.0,35.0,298.0,35.0,298.0,35.0,-1.0,-1.0,0.0,0.0
301.0,161.0,302.0,40.0,301.0,100.0,-1.0,-1.0,0.0,0.0
