GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
828.0,415.0,855.0,431.0,841.0,423.0,-1.0,-1.0,0.0,0.0
827.0,421.0,853.0,420.0,840.0,420.0,2.66,2.76,0.0,0.0
831.0,431.0,852.0,430.0,841.0,430.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
835.0,432.0,854.0,431.0,844.0,431.0,2.61,2.7,0.0,0.0
840.0,423.0,861.0,429.0,850.0,426.0,-1.0,-1.0,0.0,0.0
835.0,433.0,853.0,438.0,844.0,435.0,-1.0,-1.0,0.0,0.0
841.0,437.0,854.0,441.0,847.0,439.0,2.56,2.82,0.0,0.0
829.0,434.0,854.0,454.0,841.0,444.0,-1.0,-1.0,0.0,0.0
833.0,436.0,852.0,450.0,842.0,443.0,-1.0,-1.0,0.0,0.0
839.0,450.0,852.0,455.0,845.0,452.0,2.64,2.78,0.0,0.0
839.0,440.0,853.0,442.0,846.0,441.0,-1.0,-1.0,0.0,0.0
838.0,465.0,853.0,448.0,845.0,456.0,-1.0,-1.0,0.0,0.0
834.0,465.0,850.0,448.0,842.0,456.0,2.69,2.81,0.0,0.0
815.0,439.0,835.0,452.0,825.0,445.0,-1.0,-1.0,0.0,0.0
815.0,439.0,841.0,444.0,828.0,441.0,-1.0,-1.0,0.0,0.0
815.0,413.0,848.0,445.0,831.0,429.0,2.51,2.79,0.0,0.0
816.0,442.0,848.0,438.0,832.0,440.0,-1.0,-1.0,0.0,0.0
834.0,413.0,850.0,436.0,842.0,424.0,-1.0,-1.0,0.0,0.0
823.0,425.0,845.0,438.0,834.0,431.0,2.59,2.82,0.0,0.0
848.0,453.0,848.0,453.0,848.0,453.0,-1.0,-1.0,0.0,0.0
821.0,412.0,844.0,454.0,832.0,433.0,-1.0,-1.0,0.0,0.0
824.0,414.0,844.0,446.0,834.0,430.0,2.58,2.78,0.0,0.0
807.0,416.0,843.0,440.0,825.0,428.0,-1.0,-1.0,0.0,0.0
823.0,417.0,818.0,434.0,820.0,425.0,-1.0,-1.0,0.0,0.0
835.0,415.0,846.0,438.0,840.0,426.0,2.94,2.75,0.0,0.0
847.0,430.0,846.0,427.0,846.0,428.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
839.0,429.0,853.0,437.0,846.0,433.0,2.61,2.86,0.0,0.0
824.0,425.0,825.0,465.0,824.0,445.0,-1.0,-1.0,0.0,0.0
814.0,441.0,850.0,457.0,832.0,449.0,-1.0,-1.0,0.0,0.0
813.0,430.0,847.0,452.0,830.0,441.0,2.49,2.77,0.0,0.0
841.0,455.0,844.0,446.0,842.0,450.0,-1.0,-1.0,0.0,0.0
831.0,431.0,836.0,451.0,833.0,441.0,-1.0,-1.0,0.0,0.0
830.0,437.0,838.0,451.0,834.0,444.0,2.61,2.84,0.0,0.0
825.0,445.0,834.0,449.0,829.0,447.0,-1.0,-1.0,0.0,0.0
829.0,445.0,844.0,448.0,836.0,446.0,-1.0,-1.0,0.0,0.0
829.0,445.0,838.0,451.0,833.0,448.0,2.57,2.83,0.0,0.0
815.0,431.0,841.0,447.0,828.0,439.0,-1.0,-1.0,0.0,0.0
856.0,451.0,856.0,451.0,856.0,451.0,-1.0,-1.0,0.0,0.0
820.0,438.0,864.0,453.0,842.0,445.0,2.65,2.86,0.0,0.0
824.0,449.0,829.0,463.0,826.0,456.0,-1.0,-1.0,0.0,0.0
818.0,447.0,852.0,456.0,835.0,451.0,-1.0,-1.0,0.0,0.0
816.0,444.0,846.0,451.0,831.0,447.0,2.63,2.79,0.0,0.0
827.0,444.0,849.0,460.0,838.0,452.0,-1.0,-1.0,0.0,0.0
831.0,444.0,840.0,466.0,835.0,455.0,-1.0,-1.0,0.0,0.0
832.0,454.0,839.0,463.0,835.0,458.0,2.72,2.79,0.0,0.0
829.0,442.0,833.0,452.0,831.0,447.0,-1.0,-1.0,0.0,0.0
836.0,442.0,843.0,448.0,839.0,445.0,-1.0,-1.0,0.0,0.0
833.0,432.0,844.0,450.0,838.0,441.0,2.64,2.83,0.0,0.0
826.0,434.0,848.0,448.0,837.0,441.0,-1.0,-1.0,0.0,0.0
824.0,415.0,843.0,447.0,833.0,431.0,-1.0,-1.0,0.0,0.0
826.0,415.0,843.0,442.0,834.0,428.0,2.65,2.87,0.0,0.0
814.0,413.0,831.0,436.0,822.0,424.0,-1.0,-1.0,0.0,0.0
811.0,420.0,831.0,441.0,821.0,430.0,-1.0,-1.0,0.0,0.0
792.0,430.0,831.0,457.0,811.0,443.0,2.84,2.95,0.0,0.0
814.0,420.0,835.0,456.0,824.0,438.0,-1.0,-1.0,0.0,0.0
808.0,435.0,836.0,453.0,822.0,444.0,-1.0,-1.0,0.0,0.0
812.0,432.0,836.0,453.0,824.0,442.0,2.68,2.91,0.0,0.0
811.0,436.0,828.0,454.0,819.0,445.0,-1.0,-1.0,0.0,0.0
811.0,439.0,832.0,452.0,821.0,445.0,-1.0,-1.0,0.0,0.0
807.0,438.0,832.0,452.0,819.0,445.0,2.65,2.93,0.0,0.0
806.0,441.0,840.0,453.0,823.0,447.0,-1.0,-1.0,0.0,0.0
803.0,444.0,843.0,450.0,823.0,447.0,-1.0,-1.0,0.0,0.0
809.0,433.0,813.0,427.0,811.0,430.0,2.6,2.8,0.0,0.0
818.0,429.0,811.0,423.0,814.0,426.0,-1.0,-1.0,0.0,0.0
835.0,438.0,811.0,423.0,823.0,430.0,-1.0,-1.0,0.0,0.0
835.0,438.0,837.0,456.0,836.0,447.0,2.58,2.96,0.0,0.0
819.0,432.0,843.0,466.0,831.0,449.0,-1.0,-1.0,0.0,0.0
815.0,468.0,856.0,460.0,835.0,464.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
831.0,462.0,860.0,464.0,845.0,463.0,-1.0,-1.0,0.0,0.0
830.0,462.0,842.0,467.0,836.0,464.0,-1.0,-1.0,0.0,0.0
820.0,445.0,848.0,463.0,834.0,454.0,2.67,2.87,0.0,0.0
814.0,432.0,846.0,464.0,830.0,448.0,-1.0,-1.0,0.0,0.0
813.0,434.0,848.0,476.0,830.0,455.0,-1.0,-1.0,0.0,0.0
812.0,462.0,843.0,471.0,827.0,466.0,2.79,2.89,0.0,0.0
812.0,462.0,834.0,455.0,823.0,458.0,-1.0,-1.0,0.0,0.0
808.0,433.0,838.0,441.0,823.0,437.0,-1.0,-1.0,0.0,0.0
804.0,411.0,832.0,439.0,818.0,425.0,2.67,2.79,0.0,0.0
