GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
835.0,534.0,825.0,446.0,830.0,490.0,-1.0,-1.0,0.0,0.0
834.0,531.0,825.0,500.0,829.0,515.0,2.62,2.61,0.0,0.0
838.0,540.0,819.0,494.0,828.0,517.0,-1.0,-1.0,0.0,0.0
808.0,509.0,808.0,509.0,808.0,509.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
705.0,460.0,787.0,455.0,746.0,457.0,-1.0,-1.0,0.0,0.0
761.0,451.0,808.0,464.0,784.0,457.0,-1.0,-1.0,0.0,0.0
814.0,473.0,814.0,473.0,814.0,473.0,2.7,2.7,0.0,0.0
864.0,497.0,838.0,489.0,851.0,493.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
808.0,428.0,833.0,492.0,820.0,460.0,2.31,2.66,0.0,0.0
808.0,428.0,808.0,428.0,808.0,428.0,-1.0,-1.0,0.0,0.0
841.0,458.0,833.0,491.0,837.0,474.0,-1.0,-1.0,0.0,0.0
846.0,439.0,846.0,482.0,846.0,460.0,2.45,2.67,0.0,0.0
836.0,452.0,847.0,479.0,841.0,465.0,-1.0,-1.0,0.0,0.0
841.0,428.0,844.0,487.0,842.0,457.0,-1.0,-1.0,0.0,0.0
846.0,452.0,846.0,485.0,846.0,468.0,2.52,2.58,0.0,0.0
844.0,454.0,844.0,454.0,844.0,454.0,-1.0,-1.0,0.0,0.0
835.0,483.0,835.0,483.0,835.0,483.0,-1.0,-1.0,0.0,0.0
826.0,494.0,836.0,485.0,831.0,489.0,2.5,2.61,0.0,0.0
835.0,484.0,835.0,484.0,835.0,484.0,-1.0,-1.0,0.0,0.0
829.0,492.0,849.0,479.0,839.0,485.0,-1.0,-1.0,0.0,0.0
837.0,501.0,844.0,487.0,840.0,494.0,2.54,2.61,0.0,0.0
835.0,506.0,835.0,506.0,835.0,506.0,-1.0,-1.0,0.0,0.0
833.0,492.0,841.0,495.0,837.0,493.0,-1.0,-1.0,0.0,0.0
826.0,456.0,840.0,492.0,833.0,474.0,2.5,2.56,0.0,0.0
817.0,460.0,807.0,466.0,812.0,463.0,-1.0,-1.0,0.0,0.0
807.0,466.0,807.0,466.0,807.0,466.0,-1.0,-1.0,0.0,0.0
826.0,479.0,823.0,468.0,824.0,473.0,2.54,2.59,0.0,0.0
832.0,480.0,815.0,494.0,823.0,487.0,-1.0,-1.0,0.0,0.0
842.0,480.0,814.0,469.0,828.0,474.0,-1.0,-1.0,0.0,0.0
833.0,470.0,836.0,458.0,834.0,464.0,2.46,2.63,0.0,0.0
837.0,479.0,837.0,414.0,837.0,446.0,-1.0,-1.0,0.0,0.0
833.0,490.0,833.0,490.0,833.0,490.0,-1.0,-1.0,0.0,0.0
846.0,495.0,828.0,475.0,837.0,485.0,2.61,2.56,0.0,0.0
873.0,539.0,829.0,484.0,851.0,511.0,-1.0,-1.0,0.0,0.0
874.0,516.0,855.0,509.0,864.0,512.0,-1.0,-1.0,0.0,0.0
875.0,549.0,853.0,551.0,864.0,550.0,2.58,2.66,0.0,0.0
873.0,543.0,873.0,543.0,873.0,543.0,-1.0,-1.0,0.0,0.0
866.0,554.0,837.0,555.0,851.0,554.0,-1.0,-1.0,0.0,0.0
863.0,516.0,843.0,547.0,853.0,531.0,2.48,2.68,0.0,0.0
