GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
1027.0,387.0,1044.0,319.0,1035.0,353.0,-1.0,-1.0,0.0,0.0
1014.0,389.0,1048.0,339.0,1031.0,364.0,-1.0,-1.0,0.0,0.0
1021.0,387.0,1047.0,347.0,1034.0,367.0,2.68,2.86,0.0,0.0
1015.0,379.0,1035.0,337.0,1025.0,358.0,-1.0,-1.0,0.0,0.0
1012.0,368.0,1035.0,337.0,1023.0,352.0,-1.0,-1.0,0.0,0.0
1017.0,369.0,1045.0,331.0,1031.0,350.0,2.62,2.87,0.0,0.0
1017.0,369.0,1045.0,329.0,1031.0,349.0,-1.0,-1.0,0.0,0.0
1017.0,372.0,1046.0,327.0,1031.0,349.0,-1.0,-1.0,0.0,0.0
1017.0,350.0,1048.0,329.0,1032.0,339.0,2.57,2.84,0.0,0.0
1026.0,368.0,1048.0,329.0,1037.0,348.0,-1.0,-1.0,0.0,0.0
1032.0,370.0,1043.0,327.0,1037.0,348.0,-1.0,-1.0,0.0,0.0
1023.0,376.0,1045.0,322.0,1034.0,349.0,2.65,2.84,0.0,0.0
1023.0,376.0,1055.0,317.0,1039.0,346.0,-1.0,-1.0,0.0,0.0
1032.0,377.0,1051.0,313.0,1041.0,345.0,-1.0,-1.0,0.0,0.0
1037.0,370.0,1058.0,316.0,1047.0,343.0,2.61,2.86,0.0,0.0
1037.0,370.0,1058.0,316.0,1047.0,343.0,-1.0,-1.0,0.0,0.0
1031.0,365.0,1035.0,312.0,1033.0,338.0,-1.0,-1.0,0.0,0.0
1030.0,363.0,1036.0,324.0,1033.0,343.0,2.64,2.82,0.0,0.0
1030.0,363.0,1027.0,317.0,1028.0,340.0,-1.0,-1.0,0.0,0.0
1029.0,366.0,1045.0,323.0,1037.0,344.0,-1.0,-1.0,0.0,0.0
1014.0,373.0,1043.0,331.0,1028.0,352.0,2.67,2.85,0.0,0.0
1012.0,371.0,1012.0,371.0,1012.0,371.0,-1.0,-1.0,0.0,0.0
1014.0,369.0,1044.0,338.0,1029.0,353.0,-1.0,-1.0,0.0,0.0
1013.0,356.0,1042.0,340.0,1027.0,348.0,2.68,2.9,0.0,0.0
1019.0,361.0,1042.0,340.0,1030.0,350.0,-1.0,-1.0,0.0,0.0
1029.0,364.0,1029.0,339.0,1029.0,351.0,-1.0,-1.0,0.0,0.0
1039.0,368.0,1028.0,346.0,1033.0,357.0,2.61,2.89,0.0,0.0
1032.0,355.0,1028.0,346.0,1030.0,350.0,-1.0,-1.0,0.0,0.0
1020.0,334.0,1012.0,265.0,1016.0,299.0,-1.0,-1.0,0.0,0.0
1004.0,291.0,1013.0,253.0,1008.0,272.0,2.63,2.85,0.0,0.0
992.0,263.0,1015.0,229.0,1003.0,246.0,-1.0,-1.0,0.0,0.0
990.0,257.0,1011.0,224.0,1000.0,240.0,-1.0,-1.0,0.0,0.0
994.0,254.0,1010.0,207.0,1002.0,230.0,2.59,2.88,0.0,0.0
1009.0,247.0,1009.0,215.0,1009.0,231.0,-1.0,-1.0,0.0,0.0
1008.0,247.0,1007.0,215.0,1007.0,231.0,-1.0,-1.0,0.0,0.0
986.0,266.0,1005.0,212.0,995.0,239.0,2.6,2.9,0.0,0.0
982.0,264.0,1001.0,201.0,991.0,232.0,-1.0,-1.0,0.0,0.0
988.0,257.0,1025.0,207.0,1006.0,232.0,-1.0,-1.0,0.0,0.0
987.0,257.0,1016.0,201.0,1001.0,229.0,2.56,2.87,0.0,0.0
984.0,258.0,1025.0,203.0,1004.0,230.0,-1.0,-1.0,0.0,0.0
984.0,260.0,1021.0,202.0,1002.0,231.0,-1.0,-1.0,0.0,0.0
990.0,276.0,1025.0,197.0,1007.0,236.0,2.69,2.88,0.0,0.0
994.0,270.0,1025.0,197.0,1009.0,233.0,-1.0,-1.0,0.0,0.0
1003.0,275.0,1020.0,204.0,1011.0,239.0,-1.0,-1.0,0.0,0.0
995.0,260.0,1020.0,206.0,1007.0,233.0,2.63,2.82,0.0,0.0
994.0,259.0,1020.0,196.0,1007.0,227.0,-1.0,-1.0,0.0,0.0
990.0,258.0,1021.0,189.0,1005.0,223.0,-1.0,-1.0,0.0,0.0
993.0,252.0,1040.0,216.0,1016.0,234.0,2.62,2.86,0.0,0.0
961.0,263.0,1019.0,203.0,990.0,233.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
867.0,280.0,1013.0,201.0,940.0,240.0,2.64,2.93,0.0,0.0
776.0,303.0,676.0,282.0,726.0,292.0,-1.0,-1.0,0.0,0.0
591.0,301.0,639.0,270.0,615.0,285.0,-1.0,-1.0,0.0,0.0
565.0,300.0,617.0,277.0,591.0,288.0,2.65,2.94,0.0,0.0
568.0,292.0,614.0,277.0,591.0,284.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
564.0,313.0,605.0,285.0,584.0,299.0,2.63,2.94,0.0,0.0
558.0,306.0,557.0,250.0,557.0,278.0,-1.0,-1.0,0.0,0.0
558.0,307.0,579.0,272.0,568.0,289.0,-1.0,-1.0,0.0,0.0
557.0,299.0,580.0,261.0,568.0,280.0,2.54,2.86,0.0,0.0
558.0,290.0,594.0,270.0,576.0,280.0,-1.0,-1.0,0.0,0.0
566.0,288.0,588.0,264.0,577.0,276.0,-1.0,-1.0,0.0,0.0
572.0,290.0,590.0,269.0,581.0,279.0,2.64,2.79,0.0,0.0
563.0,308.0,587.0,270.0,575.0,289.0,-1.0,-1.0,0.0,0.0
563.0,308.0,590.0,267.0,576.0,287.0,-1.0,-1.0,0.0,0.0
563.0,313.0,587.0,267.0,575.0,290.0,2.61,2.9,0.0,0.0
562.0,307.0,593.0,264.0,577.0,285.0,-1.0,-1.0,0.0,0.0
562.0,307.0,596.0,265.0,579.0,286.0,-1.0,-1.0,0.0,0.0
560.0,312.0,595.0,264.0,577.0,288.0,2.67,2.86,0.0,0.0
557.0,314.0,587.0,261.0,572.0,287.0,-1.0,-1.0,0.0,0.0
557.0,313.0,596.0,260.0,576.0,286.0,-1.0,-1.0,0.0,0.0
561.0,311.0,582.0,273.0,571.0,292.0,2.62,2.8,0.0,0.0
564.0,316.0,587.0,278.0,575.0,297.0,-1.0,-1.0,0.0,0.0
562.0,316.0,590.0,271.0,576.0,293.0,-1.0,-1.0,0.0,0.0
559.0,311.0,595.0,267.0,577.0,289.0,2.63,2.89,0.0,0.0
576.0,284.0,596.0,267.0,586.0,275.0,-1.0,-1.0,0.0,0.0
554.0,314.0,600.0,274.0,577.0,294.0,-1.0,-1.0,0.0,0.0
552.0,315.0,592.0,271.0,572.0,293.0,2.61,2.75,0.0,0.0
564.0,307.0,595.0,275.0,579.0,291.0,-1.0,-1.0,0.0,0.0
564.0,307.0,583.0,257.0,573.0,282.0,-1.0,-1.0,0.0,0.0
563.0,285.0,590.0,276.0,576.0,280.0,2.58,2.76,0.0,0.0
562.0,284.0,576.0,273.0,569.0,278.0,-1.0,-1.0,0.0,0.0
563.0,284.0,577.0,292.0,570.0,288.0,-1.0,-1.0,0.0,0.0
556.0,253.0,575.0,287.0,565.0,270.0,2.47,2.89,0.0,0.0
556.0,253.0,579.0,263.0,567.0,258.0,-1.0,-1.0,0.0,0.0
