GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
617.0,435.0,631.0,427.0,624.0,431.0,-1.0,-1.0,0.0,0.0
630.0,453.0,658.0,448.0,644.0,450.0,-1.0,-1.0,0.0,0.0
667.0,481.0,675.0,465.0,671.0,473.0,2.62,2.61,0.0,0.0
754.0,551.0,736.0,491.0,745.0,521.0,-1.0,-1.0,0.0,0.0
774.0,557.0,792.0,527.0,783.0,542.0,-1.0,-1.0,0.0,0.0
794.0,571.0,816.0,569.0,805.0,570.0,2.71,2.57,0.0,0.0
820.0,592.0,807.0,564.0,813.0,578.0,-1.0,-1.0,0.0,0.0
818.0,599.0,800.0,572.0,809.0,585.0,-1.0,-1.0,0.0,0.0
818.0,604.0,801.0,593.0,809.0,598.0,2.73,2.67,0.0,0.0
822.0,590.0,805.0,587.0,813.0,588.0,-1.0,-1.0,0.0,0.0
814.0,602.0,822.0,598.0,818.0,600.0,-1.0,-1.0,0.0,0.0
821.0,605.0,819.0,587.0,820.0,596.0,2.7,2.49,0.0,0.0
811.0,586.0,811.0,586.0,811.0,586.0,-1.0,-1.0,0.0,0.0
814.0,594.0,803.0,586.0,808.0,590.0,-1.0,-1.0,0.0,0.0
796.0,545.0,803.0,586.0,799.0,565.0,3.02,2.51,0.0,0.0
799.0,547.0,802.0,583.0,800.0,565.0,-1.0,-1.0,0.0,0.0
808.0,569.0,820.0,575.0,814.0,572.0,-1.0,-1.0,0.0,0.0
821.0,609.0,823.0,577.0,822.0,593.0,2.72,2.56,0.0,0.0
822.0,611.0,822.0,581.0,822.0,596.0,-1.0,-1.0,0.0,0.0
824.0,595.0,815.0,583.0,819.0,589.0,-1.0,-1.0,0.0,0.0
827.0,603.0,813.0,588.0,820.0,595.0,2.7,2.7,0.0,0.0
816.0,581.0,828.0,564.0,822.0,572.0,-1.0,-1.0,0.0,0.0
824.0,599.0,814.0,587.0,819.0,593.0,-1.0,-1.0,0.0,0.0
819.0,598.0,818.0,584.0,818.0,591.0,2.76,2.53,0.0,0.0
802.0,592.0,815.0,586.0,808.0,589.0,-1.0,-1.0,0.0,0.0
796.0,590.0,813.0,557.0,804.0,573.0,-1.0,-1.0,0.0,0.0
793.0,589.0,814.0,555.0,803.0,572.0,2.7,2.52,0.0,0.0
799.0,580.0,813.0,577.0,806.0,578.0,-1.0,-1.0,0.0,0.0
798.0,565.0,830.0,584.0,814.0,574.0,-1.0,-1.0,0.0,0.0
807.0,567.0,829.0,581.0,818.0,574.0,2.69,2.51,0.0,0.0
805.0,567.0,825.0,581.0,815.0,574.0,-1.0,-1.0,0.0,0.0
824.0,620.0,813.0,579.0,818.0,599.0,-1.0,-1.0,0.0,0.0
